,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
757,Marc Cavosie,C,ALB/LE,28.11,18,0,3,0,3,3,28,0.0,0.0,0.17,0.0,0.17,0.17,1.56
758,Pascal Morency,RW,BRI,27.568,46,2,1,0,3,3,32,6.25,0.04,0.02,0.0,0.07,0.07,0.7
759,Charlie Kronschnabel,C,HER/SYR,26.602,27,2,1,0,3,3,27,7.41,0.07,0.04,0.0,0.11,0.11,1.0
760,Mark Mitera,D,ABB/SA,21.901,32,0,3,0,3,3,26,0.0,0.0,0.09,0.0,0.09,0.09,0.81
761,Drew Paris,D,TOR,21.345,2,1,1,1,2,3,4,25.0,0.5,0.5,0.5,1.0,1.5,2.0
762,Lukas Kaspar,LW,ADK,23.979,8,1,1,1,2,3,7,14.29,0.12,0.12,0.12,0.25,0.38,0.88
763,Keven Veilleux,RW,WBS,20.219,9,2,0,1,2,3,14,14.29,0.22,0.0,0.11,0.22,0.33,1.56
764,Tyler Arnason,C,HFD,30.503,11,0,2,1,2,3,17,0.0,0.0,0.18,0.09,0.18,0.27,1.55
765,Pierre-Luc Letourneau-Leblond,LW,LOW,24.282,5,0,1,1,1,2,5,0.0,0.0,0.2,0.2,0.2,0.4,1.0
766,Myles Stoesz,LW,LOW,22.582,35,1,0,1,1,2,21,4.76,0.03,0.0,0.03,0.03,0.06,0.6
767,Mathieu Curadeau,C,HAM/WOR,24.644,6,1,0,1,1,2,9,11.11,0.17,0.0,0.17,0.17,0.33,1.5
768,Elgin Reid,D,ALB,22.56,9,0,1,1,1,2,9,0.0,0.0,0.11,0.11,0.11,0.22,1.0
769,Trent Campbell,LW,WOR/HOU,26.727,6,1,0,1,1,2,9,11.11,0.17,0.0,0.17,0.17,0.33,1.5
770,Josh Gratton,LW,CHI,27.018,21,0,1,1,1,2,26,0.0,0.0,0.05,0.05,0.05,0.1,1.24
771,Ville Koistinen,D,RCH,27.248,8,1,0,1,1,2,12,8.33,0.12,0.0,0.12,0.12,0.25,1.5
772,Shawn Lalonde,D,RFD,19.519,8,1,0,1,1,2,16,6.25,0.12,0.0,0.12,0.12,0.25,2.0
773,Daniel Tkaczuk,C,RCH/HFD/SYR,30.101,12,0,1,1,1,2,10,0.0,0.0,0.08,0.08,0.08,0.17,0.83
774,Kevin Shattenkirk,D,LE,20.627,3,0,1,1,1,2,8,0.0,0.0,0.33,0.33,0.33,0.67,2.67
775,Nick Ross,D,SA,20.595,47,0,0,2,0,2,33,0.0,0.0,0.0,0.04,0.0,0.04,0.7
776,Paul Crosty,D,GR,26.925,58,0,0,2,0,2,37,0.0,0.0,0.0,0.03,0.0,0.03,0.64
777,Matt Smaby,D,NOR,24.92,7,0,0,2,0,2,9,0.0,0.0,0.0,0.29,0.0,0.29,1.29
778,Steve MacIntyre,LW,RCH,29.104,34,0,0,2,0,2,14,0.0,0.0,0.0,0.06,0.0,0.06,0.41
779,Josh Lunden,LW,SA,23.557,8,0,0,2,0,2,15,0.0,0.0,0.0,0.25,0.0,0.25,1.88
780,Brian Lashoff,D,GR,19.168,6,0,0,2,0,2,3,0.0,0.0,0.0,0.33,0.0,0.33,0.5
781,Anton Gustafsson,C,HER,19.554,1,0,1,1,1,2,0,0.0,0.0,1.0,1.0,1.0,2.0,0.0
782,David Hale,D,NOR,28.244,4,1,0,1,1,2,6,16.67,0.25,0.0,0.25,0.25,0.5,1.5
783,Joe Colborne,C,PRO,19.625,6,0,1,1,1,2,4,0.0,0.0,0.17,0.17,0.17,0.33,0.67
784,Philippe Paradis,LW,TOR,18.703,4,0,1,1,1,2,7,0.0,0.0,0.25,0.25,0.25,0.5,1.75
785,Dustin Friesen,D,BRI,26.544,8,1,0,1,1,2,8,12.5,0.12,0.0,0.12,0.12,0.25,1.0
786,Eddie DelGrosso,D,SPR,24.053,8,0,1,1,1,2,9,0.0,0.0,0.12,0.12,0.12,0.25,1.12
787,Anthony Peluso,RW,PEO,20.411,22,1,0,1,1,2,7,14.29,0.05,0.0,0.05,0.05,0.09,0.32
788,Jannik Hansen,D,MTB,23.505,5,0,1,1,1,2,6,0.0,0.0,0.2,0.2,0.2,0.4,1.2
789,Bryan Ewing,RW,RFD/SPR,23.812,10,1,0,1,1,2,13,7.69,0.1,0.0,0.1,0.1,0.2,1.3
790,Jason Pitton,LW,SPR,23.316,25,1,0,1,1,2,14,7.14,0.04,0.0,0.04,0.04,0.08,0.56
791,Luke Beaverson,D,RCH,24.762,29,0,1,1,1,2,12,0.0,0.0,0.03,0.03,0.03,0.07,0.41
792,Mike Carman,C,LE,21.421,10,2,0,0,2,2,15,13.33,0.2,0.0,0.0,0.2,0.2,1.5
793,Erik Christensen,C,MTB,25.747,6,2,0,0,2,2,14,14.29,0.33,0.0,0.0,0.33,0.33,2.33
794,Tim Miller,RW,SYR,22.53,21,1,1,0,2,2,15,6.67,0.05,0.05,0.0,0.1,0.1,0.71
795,Chris Murray,D,LOW,24.721,18,1,1,0,2,2,14,7.14,0.06,0.06,0.0,0.11,0.11,0.78
796,Darryl Bootland,RW,MTB,27.869,12,1,1,0,2,2,10,10.0,0.08,0.08,0.0,0.17,0.17,0.83
797,Mark McCutcheon,C,POR/MTB,25.32,17,2,0,0,2,2,20,10.0,0.12,0.0,0.0,0.12,0.12,1.18
798,Mike Walsh,LW,GR,26.675,18,2,0,0,2,2,12,16.67,0.11,0.0,0.0,0.11,0.11,0.67
799,Carl Gunnarsson,D,TOR,22.851,12,0,2,0,2,2,15,0.0,0.0,0.17,0.0,0.17,0.17,1.25
800,Scott Lehman,D,CHI,23.694,11,0,2,0,2,2,4,0.0,0.0,0.18,0.0,0.18,0.18,0.36
801,Mathieu Dandenault,D,HFD,33.616,19,1,1,0,2,2,23,4.35,0.05,0.05,0.0,0.11,0.11,1.21
802,Brandon Yip,RW,LE,24.392,6,2,0,0,2,2,12,16.67,0.33,0.0,0.0,0.33,0.33,2.0
803,Victor Bartley,D,BRI,21.577,8,2,0,0,2,2,15,13.33,0.25,0.0,0.0,0.25,0.25,1.88
804,Brent Henley,LW,HFD,29.044,16,0,1,1,1,2,17,0.0,0.0,0.06,0.06,0.06,0.12,1.06
805,Scott Hotham,D,RCH,25.159,9,2,0,0,2,2,10,20.0,0.22,0.0,0.0,0.22,0.22,1.11
806,Connor Shields,LW,NOR/BNG,25.695,5,2,0,0,2,2,5,40.0,0.4,0.0,0.0,0.4,0.4,1.0
807,John Scott Dickson,LW,RCH,25.432,9,0,2,0,2,2,7,0.0,0.0,0.22,0.0,0.22,0.22,0.78
808,Devin Timberlake,RW,PRO,24.332,6,2,0,0,2,2,12,16.67,0.33,0.0,0.0,0.33,0.33,2.0
809,Trevor Bruess,RW,HER,23.691,14,1,0,1,1,2,14,7.14,0.07,0.0,0.07,0.07,0.14,1.0
810,Ryan Lannon,D,HOU,26.755,27,1,0,1,1,2,18,5.56,0.04,0.0,0.04,0.04,0.07,0.67
811,Devin DiDiomete,LW,HFD,21.353,34,0,1,1,1,2,24,0.0,0.0,0.03,0.03,0.03,0.06,0.71
812,Tony Romano,RW,BRI,21.695,21,1,0,1,1,2,31,3.23,0.05,0.0,0.05,0.05,0.1,1.48
813,Reid Simpson,LW,CHI,40.321,14,0,1,1,1,2,10,0.0,0.0,0.07,0.07,0.07,0.14,0.71
814,Boyd Gordon,C,HER,25.909,2,0,1,1,1,2,1,0.0,0.0,0.5,0.5,0.5,1.0,0.5
815,Brandon Bollig,LW,RFD,22.623,3,1,1,0,2,2,4,25.0,0.33,0.33,0.0,0.67,0.67,1.33
816,Rhett Rakhshani,RW,BRI,21.528,5,0,2,0,2,2,7,0.0,0.0,0.4,0.0,0.4,0.4,1.4
817,Maxime Sauve,C,PRO,19.625,6,2,0,0,2,2,10,20.0,0.33,0.0,0.0,0.33,0.33,1.67
818,Cody Eakin,C,HER,18.314,4,2,0,0,2,2,6,33.33,0.5,0.0,0.0,0.5,0.5,1.5
819,Aaron Volpatti,LW,MTB,24.296,8,1,1,0,2,2,8,12.5,0.12,0.12,0.0,0.25,0.25,1.0
820,Mark Olver,C,LE,21.706,6,2,0,0,2,2,12,16.67,0.33,0.0,0.0,0.33,0.33,2.0
821,David Sloane,D,ADK,24.444,20,0,0,1,0,1,7,0.0,0.0,0.0,0.05,0.0,0.05,0.35
