,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%,Cluster
58,Robert Thomas,C,LDN,16.206,40,3,7,5,10,15,29,10.34,0.07,0.17,0.12,0.25,0.38,0.72,3.57,0.09,2,6,33.33,0,8,0,1,15,6.67,129,228,56.58,0
59,Liam Hawel,C,SSM,16.411,65,4,8,3,12,15,41,9.76,0.06,0.12,0.05,0.18,0.23,0.63,4.93,0.08,2,6,33.33,0,7,0,2,28,7.14,112,273,41.03,0
60,Nicholas Porco,LW,SAG,16.512,57,5,4,5,9,14,82,6.1,0.09,0.07,0.09,0.16,0.25,1.44,7.87,0.14,2,11,18.18,0,12,0,3,59,5.08,10,23,43.48,0
61,Cole MacKay,RW,SSM,16.258,42,5,4,5,9,14,50,10,0.12,0.1,0.12,0.21,0.33,1.19,5.22,0.12,3,11,27.27,1,7,14.29,1,32,3.12,3,11,27.27,0
62,Tyler Tucker,D,BAR,16.542,62,1,6,7,7,14,83,1.2,0.02,0.1,0.11,0.11,0.23,1.34,2.88,0.05,0,1,0,0,0,0,1,82,1.22,0,0,0,0
63,Brett Neumann,C,ER,16.581,52,7,6,1,13,14,92,7.61,0.13,0.12,0.02,0.25,0.27,1.77,8.88,0.17,1,10,10,3,16,18.75,3,66,4.55,101,202,50,0
64,MacKenzie Entwistle,RW,HAM,16.173,60,6,4,4,10,14,63,9.52,0.1,0.07,0.07,0.17,0.23,1.05,7.28,0.12,2,10,20,1,11,9.09,3,42,7.14,75,169,44.38,0
65,Elijah Roberts,D,KIT,16.644,59,3,3,8,6,14,73,4.11,0.05,0.05,0.14,0.1,0.24,1.24,3.72,0.06,0,3,0,0,2,0,3,68,4.41,0,0,0,0
66,DJ Busdeker,RW,SAG,16.975,39,7,5,2,12,14,66,10.61,0.18,0.13,0.05,0.31,0.36,1.69,7.58,0.19,2,12,16.67,3,13,23.08,2,41,4.88,9,18,50,0
67,Hunter Holmes,C,FLNT,16.641,67,5,5,3,10,13,63,7.94,0.07,0.07,0.04,0.15,0.19,0.94,6.77,0.1,1,8,12.5,0,16,0,4,39,10.26,201,496,40.52,0
68,Mason Primeau,C,GUE,16.134,60,7,4,2,11,13,55,12.73,0.12,0.07,0.03,0.18,0.22,0.92,5.21,0.09,1,8,12.5,3,9,33.33,3,38,7.89,91,207,43.96,0
69,Isaac Ratcliffe,LW,GUE,16.581,46,5,3,5,8,13,69,7.25,0.11,0.07,0.11,0.17,0.28,1.5,6.69,0.15,1,9,11.11,0,10,0,4,50,8,12,26,46.15,0
70,Jacob Paquette,D,KGN,16.307,56,3,1,9,4,13,35,8.57,0.05,0.02,0.16,0.07,0.23,0.62,1.86,0.03,0,2,0,0,2,0,3,31,9.68,0,0,0,0
