,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
373,Hubert Lamarre,C,QUE,18.374,14,1,1,1,2,3,12,8.33,0.07,0.07,0.07,0.14,0.21,0.86,0.96,0.07,196.63,14.04,0.31,0.31,0.31,0.61,0.92,3.66,0.29,16.88,18.12,50.7,56.05,-33.94,23.81,5,16,1,3,33.33,0,1,0.0,0,8,0.0,70,116,60.34
374,Ludovic Beaupre,RW,CHI,19.48,28,0,2,1,2,3,4,0.0,0.0,0.07,0.04,0.07,0.11,0.14,0.38,0.01,239.5,8.55,0.0,0.5,0.25,0.5,0.75,1.0,0.1,15.96,18.0,34.09,56.85,-1.39,37.5,3,5,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0
375,Alexander McQuaid,D,SNB,17.276,53,0,2,1,2,3,21,0.0,0.0,0.04,0.02,0.04,0.06,0.4,1.15,0.02,905.7,17.09,0.0,0.13,0.07,0.13,0.2,1.39,0.08,16.29,17.51,38.42,50.47,-21.66,23.26,20,66,0,2,0.0,0,0,0.0,0,19,0.0,0,0,0.0
376,Andrew Picco,D,RIM,16.455,21,0,2,1,2,3,13,0.0,0.0,0.1,0.05,0.1,0.14,0.62,0.23,0.01,326.79,15.56,0.0,0.37,0.18,0.37,0.55,2.39,0.04,17.03,16.97,56.32,49.08,11.07,62.96,17,10,0,0,0.0,0,0,0.0,0,13,0.0,0,0,0.0
377,Mitch Graham,RW,DRU,18.199,12,2,0,1,2,3,11,18.18,0.17,0.0,0.08,0.17,0.25,0.92,1.06,0.09,119.77,9.98,1.0,0.0,0.5,1.0,1.5,5.51,0.53,16.26,15.24,53.79,44.59,13.74,71.43,5,2,1,3,33.33,0,0,0.0,1,8,12.5,2,5,40.0
378,Francis Brunelle,LW,CAP,18.193,44,1,1,1,2,3,17,5.88,0.02,0.02,0.02,0.05,0.07,0.39,2.0,0.05,424.91,9.66,0.14,0.14,0.14,0.28,0.42,2.4,0.28,16.1,17.47,46.32,48.76,-5.21,44.44,12,15,1,1,100.0,0,3,0.0,0,13,0.0,0,2,0.0
379,Zach Beaton,LW,CHA,18.514,45,2,1,0,3,3,27,7.41,0.04,0.02,0.0,0.07,0.07,0.6,2.65,0.06,418.02,9.29,0.29,0.14,0.0,0.43,0.43,3.88,0.38,15.94,16.37,40.37,44.02,-21.03,25.0,4,12,0,2,0.0,1,7,14.29,1,18,5.56,2,7,28.57
380,David Perklin,LW,SHA,18.538,17,2,1,0,3,3,14,14.29,0.12,0.06,0.0,0.18,0.18,0.82,1.72,0.1,187.05,11.0,0.64,0.32,0.0,0.96,0.96,4.49,0.55,16.69,17.42,39.06,54.91,-19.83,25.0,3,9,0,2,0.0,1,2,50.0,1,10,10.0,0,0,0.0
381,Trey Lewis,D,HAL,20.293,11,1,1,1,2,3,10,10.0,0.09,0.09,0.09,0.18,0.27,0.91,0.55,0.05,276.38,25.13,0.22,0.22,0.22,0.43,0.65,2.17,0.12,17.14,18.45,56.59,53.46,-35.37,27.59,8,21,1,1,100.0,0,0,0.0,0,9,0.0,0,0,0.0
382,Cody Drover,LW,MON,18.292,13,2,0,1,2,3,13,15.38,0.15,0.0,0.08,0.15,0.23,1.0,1.55,0.12,164.45,12.65,0.73,0.0,0.36,0.73,1.09,4.74,0.56,16.6,16.7,40.91,48.36,-8.53,40.0,6,9,1,2,50.0,0,1,0.0,1,10,10.0,3,5,60.0
383,Brandon Vuic,LW,HAL,18.196,23,3,0,0,3,3,13,23.08,0.13,0.0,0.0,0.13,0.13,0.57,0.94,0.04,193.51,8.41,0.93,0.0,0.0,0.93,0.93,4.03,0.29,15.79,16.39,58.47,39.6,-0.63,66.67,4,2,1,2,50.0,0,1,0.0,2,10,20.0,1,3,33.33
384,Jonathan Deschamps,D,SHE,17.416,61,0,2,1,2,3,44,0.0,0.0,0.03,0.02,0.03,0.05,0.72,0.97,0.02,1152.31,18.89,0.0,0.1,0.05,0.1,0.16,2.29,0.05,16.99,18.27,37.68,56.11,-20.88,21.88,28,100,0,0,0.0,0,0,0.0,0,44,0.0,0,0,0.0
385,Michael Rheaume,LW,VIC,18.93,5,1,1,1,2,3,9,11.11,0.2,0.2,0.2,0.4,0.6,1.8,2.49,0.5,95.11,19.02,0.63,0.63,0.63,1.26,1.89,5.68,1.57,17.5,18.38,48.8,51.85,19.85,55.56,5,4,0,2,0.0,1,4,25.0,0,3,0.0,1,1,100.0
386,Steven Johnston,LW,GAT,19.138,8,1,0,1,1,2,4,25.0,0.12,0.0,0.12,0.12,0.25,0.5,0.66,0.08,86.75,10.84,0.69,0.0,0.69,0.69,1.38,2.77,0.46,17.23,17.42,53.08,53.22,32.94,80.0,4,1,1,1,100.0,0,1,0.0,0,2,0.0,0,1,0.0
387,Alexandre Roy,LW,DRU,20.115,9,1,0,1,1,2,12,8.33,0.11,0.0,0.11,0.11,0.22,1.33,1.11,0.12,118.54,13.17,0.51,0.0,0.51,0.51,1.01,6.07,0.56,18.13,18.49,50.25,53.37,-49.21,18.18,2,9,1,2,50.0,0,1,0.0,0,9,0.0,7,26,26.92
388,Benoit Villeneuve,D,SHE,17.621,5,0,0,2,0,2,1,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.01,0.0,71.66,14.33,0.0,0.0,1.67,0.0,1.67,0.84,0.01,16.94,17.32,36.9,53.97,4.17,37.5,3,5,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0
389,Samuel Blier,LW,CHI,16.258,22,1,0,1,1,2,13,7.69,0.05,0.0,0.05,0.05,0.09,0.59,1.23,0.06,246.64,11.21,0.24,0.0,0.24,0.24,0.49,3.16,0.3,16.58,18.71,32.75,58.1,-27.6,9.52,2,19,0,0,0.0,0,3,0.0,1,10,10.0,87,189,46.03
390,Antoine Marcoux,C,VIC,16.835,21,1,0,1,1,2,15,6.67,0.05,0.0,0.05,0.05,0.1,0.71,1.02,0.05,198.62,9.46,0.3,0.0,0.3,0.3,0.6,4.53,0.31,18.23,15.93,53.43,49.32,-15.72,44.44,4,5,0,0,0.0,0,1,0.0,1,14,7.14,55,131,41.98
391,Mike Molloy,C,HAL,18.812,6,0,1,1,1,2,2,0.0,0.0,0.17,0.17,0.17,0.33,0.33,0.02,0.0,51.6,8.6,0.0,1.16,1.16,1.16,2.33,2.33,0.03,15.82,18.93,55.78,48.31,33.33,100.0,2,0,0,0,0.0,0,0,0.0,0,2,0.0,2,3,66.67
392,Brennan Bailey,D,HAL,19.609,7,0,1,1,1,2,9,0.0,0.0,0.14,0.14,0.14,0.29,1.29,0.14,0.02,92.58,13.23,0.0,0.65,0.65,0.65,1.3,5.83,0.09,16.06,17.14,61.3,48.27,26.81,83.33,5,1,0,0,0.0,0,0,0.0,0,9,0.0,0,0,0.0
393,Felix Landry,LW,DRU,18.024,18,0,1,1,1,2,7,0.0,0.0,0.06,0.06,0.06,0.11,0.39,0.47,0.03,154.96,8.61,0.0,0.39,0.39,0.39,0.77,2.71,0.18,15.64,16.78,52.83,48.1,-14.72,40.0,2,3,0,1,0.0,0,0,0.0,0,6,0.0,0,1,0.0
394,Connor Donaghey,RW,SNB,19.549,22,0,1,1,1,2,22,0.0,0.0,0.05,0.05,0.05,0.09,1.0,1.67,0.08,226.68,10.3,0.0,0.26,0.26,0.26,0.53,5.82,0.44,17.29,17.55,38.23,49.33,-23.98,16.67,2,10,0,3,0.0,0,2,0.0,0,17,0.0,2,4,50.0
395,Simon-Claude Blackburn,RW,CHI,18.221,7,0,1,1,1,2,12,0.0,0.0,0.14,0.14,0.14,0.29,1.71,0.35,0.05,104.21,14.89,0.0,0.58,0.58,0.58,1.15,6.91,0.2,15.56,16.99,36.72,54.07,4.19,30.0,3,7,0,0,0.0,0,0,0.0,0,12,0.0,1,3,33.33
396,Axel Rioux,RW,SHE,20.589,10,1,0,1,1,2,4,25.0,0.1,0.0,0.1,0.1,0.2,0.4,0.68,0.07,119.96,12.0,0.5,0.0,0.5,0.5,1.0,2.0,0.34,18.71,18.25,41.61,53.38,-17.92,30.0,3,7,0,1,0.0,0,1,0.0,1,2,50.0,26,64,40.62
397,Liam Hynes,RW,MON/BAT,17.553,44,1,0,1,1,2,24,4.17,0.02,0.0,0.02,0.02,0.05,0.55,2.23,0.05,448.84,10.2,0.13,0.0,0.13,0.13,0.27,3.21,0.3,16.36,16.88,42.21,50.6,-16.82,25.0,6,18,0,1,0.0,0,1,0.0,1,22,4.55,18,51,35.29
398,Campbell Pickard,LW,BAC,16.222,5,1,0,1,1,2,3,33.33,0.2,0.0,0.2,0.2,0.4,0.6,0.55,0.11,50.42,10.08,1.19,0.0,1.19,1.19,2.38,3.57,0.65,15.85,15.12,61.2,36.37,15.06,66.67,2,1,1,2,50.0,0,0,0.0,0,1,0.0,15,28,53.57
399,Marco Sedlar,RW,CHA,18.046,11,2,0,0,2,2,7,28.57,0.18,0.0,0.0,0.18,0.18,0.64,1.12,0.1,127.28,11.57,0.94,0.0,0.0,0.94,0.94,3.3,0.53,17.6,17.47,47.54,52.04,-21.17,27.27,3,8,2,3,66.67,0,2,0.0,0,2,0.0,12,34,35.29
400,Mason Gray,LW,SHA,18.681,24,2,0,0,2,2,24,8.33,0.08,0.0,0.0,0.08,0.08,1.0,2.79,0.12,243.82,10.16,0.49,0.0,0.0,0.49,0.49,5.91,0.69,17.59,17.79,44.28,51.41,3.25,40.0,4,6,0,4,0.0,1,3,33.33,1,17,5.88,0,0,0.0
401,Tucker White,D,MON,17.599,41,0,1,1,1,2,9,0.0,0.0,0.02,0.02,0.02,0.05,0.22,0.18,0.0,506.78,12.36,0.0,0.12,0.12,0.12,0.24,1.07,0.02,17.02,17.34,47.12,50.14,-31.5,24.0,6,19,0,0,0.0,0,0,0.0,0,9,0.0,0,0,0.0
402,Evan Scott,D,SHA,17.509,46,0,2,0,2,2,19,0.0,0.0,0.04,0.0,0.04,0.04,0.41,0.37,0.01,749.26,16.29,0.0,0.16,0.0,0.16,0.16,1.52,0.03,16.44,17.64,41.83,55.51,-18.63,23.08,15,50,0,0,0.0,0,0,0.0,0,19,0.0,0,0,0.0
403,Gareth Nicholson,D,CAP/MON,18.273,39,1,0,1,1,2,10,10.0,0.03,0.0,0.03,0.03,0.05,0.26,0.28,0.01,464.96,11.92,0.13,0.0,0.13,0.13,0.26,1.29,0.04,16.97,16.41,50.29,45.32,-5.72,41.67,10,14,0,0,0.0,0,0,0.0,1,10,10.0,0,1,0.0
404,Julien Proulx,LW,VIC,17.676,34,1,0,1,1,2,11,9.09,0.03,0.0,0.03,0.03,0.06,0.32,1.25,0.04,273.55,8.05,0.22,0.0,0.22,0.22,0.44,2.41,0.27,17.33,16.24,48.03,51.22,9.5,60.0,3,2,1,1,100.0,0,1,0.0,0,9,0.0,0,0,0.0
405,Jacob Vance,D,VIC,16.704,13,0,1,1,1,2,7,0.0,0.0,0.08,0.08,0.08,0.15,0.54,0.74,0.06,158.62,12.2,0.0,0.38,0.38,0.38,0.76,2.65,0.28,17.27,17.37,44.63,52.49,1.35,50.0,4,4,0,1,0.0,0,2,0.0,0,4,0.0,0,0,0.0
406,Nicolas Dumulong,D,BAT,17.487,25,0,1,0,1,1,21,0.0,0.0,0.04,0.0,0.04,0.04,0.84,0.47,0.02,425.04,17.0,0.0,0.14,0.0,0.14,0.14,2.96,0.07,16.74,17.39,36.9,51.12,16.2,43.75,14,18,0,0,0.0,0,0,0.0,0,21,0.0,0,0,0.0
407,Cavan Fitzgerald,D,HAL,17.063,3,1,0,0,1,1,1,100.0,0.33,0.0,0.0,0.33,0.33,0.33,0.02,0.01,38.72,12.91,1.55,0.0,0.0,1.55,1.55,1.55,0.03,13.18,19.02,57.53,54.17,11.67,66.67,2,1,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0
