,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
200,Dmitri Zaitsev,D,MJ,19.658,61,6,6,16,12,28,0.1,0.1,0.26,0.2,0.46
201,Ondrej Vala,D,KAM/EVT,19.425,59,7,14,7,21,28,0.12,0.24,0.12,0.36,0.47
202,Liam Kindree,RW,KEL,17.703,50,8,13,6,21,27,0.16,0.26,0.12,0.42,0.54
203,Bowen Byram,D,VAN,16.258,60,6,13,8,19,27,0.1,0.22,0.13,0.32,0.45
204,Brandon Schuldhaus,D,MJ/RD,19.56,64,8,7,12,15,27,0.12,0.11,0.19,0.23,0.42
205,Josh Tarzwell,C,LET/RD,17.602,69,10,12,5,22,27,0.14,0.17,0.07,0.32,0.39
206,Kristians Rubins,D,MH,19.762,60,7,6,14,13,27,0.12,0.1,0.23,0.22,0.45
207,Jackson Caller,D,SAS,18.171,70,3,10,13,13,26,0.04,0.14,0.19,0.19,0.37
208,Baron Thompson,RW,BDN,18.571,60,13,12,1,25,26,0.22,0.2,0.02,0.42,0.43
209,Linus Nassen,D,MH,19.352,44,1,7,18,8,26,0.02,0.16,0.41,0.18,0.59
210,Jared Dmytriw,RW,VAN/RD,19.278,71,15,7,4,22,26,0.21,0.1,0.06,0.31,0.37
211,Sahvan Khaira,D,SC,19.702,65,6,8,12,14,26,0.09,0.12,0.18,0.22,0.4
212,Brayden Pachal,D,PA,18.065,68,7,11,8,18,26,0.1,0.16,0.12,0.26,0.38
213,Bryan Lockner,RW,MH/REG,17.449,70,14,4,8,18,26,0.2,0.06,0.11,0.26,0.37
214,Brendan Semchuk,RW,VAN/EDM,18.566,49,12,8,6,20,26,0.24,0.16,0.12,0.41,0.53
215,Sasha Mutala,RW,TC,16.362,68,11,9,6,20,26,0.16,0.13,0.09,0.29,0.38
216,Orrin Centazzo,LW,KAM/EVT,17.413,72,11,10,5,21,26,0.15,0.14,0.07,0.29,0.36
217,Oleg Sosunov,D,MJ,19.425,71,7,8,11,15,26,0.1,0.11,0.15,0.21,0.37
218,Hayden Ostir,RW,MH/SPO,18.196,41,9,11,6,20,26,0.22,0.27,0.15,0.49,0.63
219,Ty Prefontaine,D,LET,18.673,71,5,11,9,16,25,0.07,0.15,0.13,0.23,0.35
220,Jett Woo,D,MJ,17.137,44,9,6,10,15,25,0.2,0.14,0.23,0.34,0.57
221,Brendan De Jong,D,POR,19.483,68,6,9,10,15,25,0.09,0.13,0.15,0.22,0.37
222,Reece Harsch,D,SEA,18.689,53,10,7,8,17,25,0.19,0.13,0.15,0.32,0.47
223,Chase Hartje,D,BDN/MJ,17.747,58,3,11,11,14,25,0.05,0.19,0.19,0.24,0.43
224,David Kope,RW,EDM,16.931,63,14,6,5,20,25,0.22,0.1,0.08,0.32,0.4
225,Kaid Oliver,LW,VIC,17.643,64,6,7,12,13,25,0.09,0.11,0.19,0.2,0.39
226,James Hilsendager,D,KEL,20.49,54,6,11,7,17,24,0.11,0.2,0.13,0.31,0.44
227,Riley Sawchuk,C,TC,18.497,70,15,6,3,21,24,0.21,0.09,0.04,0.3,0.34
228,Jake Gricius,C,POR,17.925,69,13,7,4,20,24,0.19,0.1,0.06,0.29,0.35
229,Tate Olson,D,LET,20.488,54,2,10,12,12,24,0.04,0.19,0.22,0.22,0.44
230,Max Patterson,RW,SC,17.72,72,9,10,5,19,24,0.12,0.14,0.07,0.26,0.33
231,Blake Bargar,RW,SEA,19.529,58,11,9,4,20,24,0.19,0.16,0.07,0.34,0.41
232,Matthew Robertson,D,EDM,16.521,67,7,7,10,14,24,0.1,0.1,0.15,0.21,0.36
233,Mark Rubinchik,D,SAS,18.489,67,4,10,9,14,23,0.06,0.15,0.13,0.21,0.34
234,Zach Wytinck,D,BDN,18.486,68,4,5,14,9,23,0.06,0.07,0.21,0.13,0.34
235,Egor Zudilov,LW,LET,17.013,64,7,5,11,12,23,0.11,0.08,0.17,0.19,0.36
236,Andrew Fyten,RW,SC/CGY,18.924,69,9,11,3,20,23,0.13,0.16,0.04,0.29,0.33
237,Luke Toporowski,LW,SPO,16.427,61,10,6,7,16,23,0.16,0.1,0.11,0.26,0.38
238,Ryan Schoettler,D,PG,18.144,72,8,8,7,16,23,0.11,0.11,0.1,0.22,0.32
239,Owen Hardy,LW,VAN,18.588,56,11,7,5,18,23,0.2,0.12,0.09,0.32,0.41
240,Elijah Brown,C,MH/SEA,17.695,43,8,10,5,18,23,0.19,0.23,0.12,0.42,0.53
241,Braden Schneider,D,BDN,15.987,66,1,7,14,8,22,0.02,0.11,0.21,0.12,0.33
242,Spencer Moe,C,PA,17.69,72,9,9,4,18,22,0.12,0.12,0.06,0.25,0.31
243,Dylan MacPherson,D,MH,19.387,67,4,15,3,19,22,0.06,0.22,0.04,0.28,0.33
244,Tate Popple,C,MJ,17.536,71,6,10,6,16,22,0.08,0.14,0.08,0.23,0.31
245,Erik Gardiner,LW,KEL,18.489,31,7,8,7,15,22,0.23,0.26,0.23,0.48,0.71
246,Matthew Quigley,D,POR,18.697,68,2,10,10,12,22,0.03,0.15,0.15,0.18,0.32
247,Mason Mannek,C,POR,17.432,58,10,8,4,18,22,0.17,0.14,0.07,0.31,0.38
248,Jackson Shepard,LW,KAM,17.547,72,9,9,4,18,22,0.12,0.12,0.06,0.25,0.31
249,Michael Farren,RW,SAS,17.408,62,11,7,4,18,22,0.18,0.11,0.06,0.29,0.35
250,Keenan Taphorn,RW,KTN,17.701,61,7,12,2,19,21,0.11,0.2,0.03,0.31,0.34
251,Maxwell James,LW,TC,20.425,58,7,9,5,16,21,0.12,0.16,0.09,0.28,0.36
252,Alex Kannok Leipert,D,VAN,17.156,60,5,9,7,14,21,0.08,0.15,0.12,0.23,0.35
253,Barrett Sheen,LW,MJ/KTN,18.987,60,5,11,5,16,21,0.08,0.18,0.08,0.27,0.35
254,Evan Fiala,D,SAS,20.274,71,7,3,10,10,20,0.1,0.04,0.14,0.14,0.28
255,Gage Ramsay,C,SAS,18.919,63,6,12,2,18,20,0.1,0.19,0.03,0.29,0.32
256,Jeff de Wit,C,REG/VIC/KTN,19.508,43,11,6,3,17,20,0.26,0.14,0.07,0.4,0.47
