,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
799,Owen Tippett,RW,MISS,16.578,48,15,1,4,16,20,0.31,0.02,0.08,0.33,0.42
800,Ryan McLeod,C,MISS,15.984,62,7,8,5,15,20,0.11,0.13,0.08,0.24,0.32
801,Max Kislinger,LW,NB,17.591,68,12,6,2,18,20,0.18,0.09,0.03,0.26,0.29
802,Ryan Cranford,RW,KGN,17.435,68,13,7,0,20,20,0.19,0.1,0.0,0.29,0.29
803,RJ Mahalak,LW,PLY/SAR,19.23,67,7,8,5,15,20,0.06,0.07,0.08,0.135,0.215
804,Daniel  Poliziani,D,GUE,18.84,116,3,11,6,14,20,0.025,0.095,0.055,0.12,0.17
805,Conor  Cummins,D,SBY,18.732,235,7,7,6,14,20,0.04,0.025,0.028,0.065,0.092
806,Jacob Collins,D,PLY/FLNT,16.906,77,5,9,6,14,20,0.06,0.1,0.055,0.155,0.21
807,Nick Pastorious,RW,SSM/BAR/NIAG,18.477,135,10,5,5,15,20,0.062,0.032,0.04,0.095,0.143
808,Nick Zottl,D,MISS,18.928,120,5,5,9,10,19,0.025,0.025,0.08,0.05,0.13
809,Matthew Paton,RW,ER,19.256,67,7,7,5,14,19,0.1,0.1,0.07,0.21,0.28
810,Sasha Chmelevski,C,OTT/SAR,16.269,34,11,7,1,18,19,0.32,0.21,0.03,0.53,0.56
811,Jack Walchessen,RW,PBO,20.43,63,8,8,3,16,19,0.13,0.13,0.05,0.25,0.3
812,Jacob Jammes,LW,LDN/MISS,17.294,69,4,7,8,11,19,0.06,0.12,0.125,0.18,0.3
813,Nathan Glass,D,ER/SAG,18.837,133,2,6,11,8,19,0.055,0.025,0.09,0.078,0.17
814,Andrew Ming,LW,BELV/HAM,18.507,111,5,10,4,15,19,0.022,0.045,0.02,0.068,0.088
815,Jason Smith,C,MISS,17.886,106,9,4,6,13,19,0.075,0.035,0.055,0.11,0.17
816,Reid McNeill,D,LDN/BAR,18.88,113,5,3,10,8,18,0.045,0.03,0.095,0.075,0.17
817,Stephen Gibson,D,MISS,17.786,130,6,4,8,10,18,0.04,0.03,0.06,0.07,0.13
818,Jake Henderson,RW,KIT,18.588,58,8,5,5,13,18,0.14,0.09,0.09,0.22,0.31
819,David Mazurek,C,KGN,19.56,58,7,7,4,14,18,0.12,0.12,0.07,0.24,0.31
820,Riley Bruce,D,NB,17.416,161,1,7,10,8,18,0.01,0.06,0.073,0.07,0.138
821,Mike Mascioli,RW,BELV,20.496,60,8,5,5,13,18,0.13,0.08,0.08,0.22,0.3
822,Jeremy Gottzmann,C,ER/PBO,17.954,79,3,8,7,11,18,0.025,0.085,0.075,0.11,0.19
823,Frank Schumacher,D,SBY/SAG/NIAG,18.176,72,6,3,9,9,18,0.14,0.02,0.342,0.162,0.505
824,Cameron Lizotte,D,PBO/BAR,17.31,160,2,7,9,9,18,0.008,0.032,0.068,0.04,0.108
825,Doug Blaisdell,D,KIT,17.816,176,4,8,6,12,18,0.022,0.04,0.042,0.062,0.1
826,Zach Shankar,D,NB,18.129,98,3,5,10,8,18,0.03,0.045,0.1,0.075,0.175
827,Mark Shoemaker,D,NB,17.464,106,5,7,6,12,18,0.045,0.06,0.055,0.105,0.16
828,Andreas Tsogkas,RW,BRA,17.59,96,3,8,6,11,17,0.03,0.085,0.065,0.11,0.17
829,Evan Bouchard,D,LDN,15.905,43,2,6,9,8,17,0.05,0.14,0.21,0.19,0.4
830,Anthony Cortellessa,LW,WSR/ER,17.831,96,8,4,5,12,17,0.048,0.015,0.053,0.062,0.112
831,Justin Rasmussen,C,MISS,18.77,80,8,3,6,11,17,0.045,0.025,0.022,0.07,0.092
832,Luke Kutkevicius,C,MISS/HAM,17.476,70,3,5,9,8,17,0.04,0.07,0.13,0.11,0.24
833,Chad Thibodeau,LW,SSM/SBY,18.754,130,5,7,5,12,17,0.035,0.048,0.05,0.082,0.132
834,Trevor Petersen,LW,NIAG,17.435,103,8,5,4,13,17,0.07,0.05,0.04,0.125,0.165
835,Reagan O'Grady,D,KGN/SBY,16.251,109,2,5,10,7,17,0.02,0.045,0.095,0.065,0.155
836,Jacob Cascagnette,C,KIT,17.734,105,6,7,4,13,17,0.05,0.068,0.035,0.122,0.152
837,Liam Murray,D,WSR/KGN,17.466,144,6,3,8,9,17,0.038,0.02,0.045,0.055,0.1
838,Adrian Carbonara,RW,BAR,18.011,90,11,3,3,14,17,0.115,0.035,0.035,0.15,0.185
839,Ivan Kashtanov,LW,SBY,17.555,67,6,8,3,14,17,0.09,0.12,0.04,0.21,0.25
840,Corey Bureau,RW,MISS,19.398,55,8,8,1,16,17,0.15,0.15,0.02,0.29,0.31
841,Derek Lanoue,RW,WSR,19.447,55,6,7,4,13,17,0.11,0.13,0.07,0.24,0.31
842,Alex Carnevale,LW,BELV/SAR,17.92,140,6,6,5,12,17,0.038,0.038,0.032,0.075,0.112
843,Keaton Middleton,D,SAG,17.094,127,3,7,6,10,16,0.025,0.055,0.045,0.08,0.13
844,Sean Durzi,D,OS,16.901,45,10,4,2,14,16,0.22,0.09,0.04,0.31,0.36
845,Nick  Halagian,LW,SSM,17.115,108,9,4,3,13,16,0.075,0.035,0.025,0.11,0.135
846,Johnson Andrews,RW,NIAG,20.082,40,9,7,0,16,16,0.385,0.185,0.0,0.57,0.57
847,Hampus Olsson,RW,NB,19.406,62,4,7,5,11,16,0.06,0.11,0.08,0.18,0.26
848,Cody  Thompson,LW,PBO/MISS,18.726,94,6,5,4,11,15,0.039,0.075,0.045,0.109,0.159
849,Braeden Corbeth,C,BELV,18.754,62,6,5,4,11,15,0.05,0.04,0.035,0.09,0.125
850,Robert Thomas,C,LDN,16.206,40,3,7,5,10,15,0.07,0.17,0.12,0.25,0.38
851,Dane Johnstone,RW,FLNT,17.534,56,7,5,3,12,15,0.12,0.09,0.05,0.21,0.27
852,Liam Hawel,C,SSM,16.411,65,4,8,3,12,15,0.06,0.12,0.05,0.18,0.23
