,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
314,Olivier Plouffe,LW,VIC,17.758,23,2,2,0,4,4,12,16.67,0.09,0.09,0.0,0.17,0.17,0.52
315,Steven Goulet,RW,BAT,16.592,30,2,2,0,4,4,13,15.38,0.07,0.07,0.0,0.13,0.13,0.43
316,Jonathan Villeneuve,LW,SHA,19.193,14,0,4,0,4,4,27,0.0,0.0,0.29,0.0,0.29,0.29,1.93
317,Jonathan Favreau,LW,MON,18.538,11,1,2,0,3,3,8,12.5,0.09,0.18,0.0,0.27,0.27,0.73
318,Frederic Gariepy,D,BAC,18.026,45,0,2,1,2,3,13,0.0,0.0,0.04,0.02,0.04,0.07,0.29
319,Kevin Turgeon,LW,LEW,17.443,30,1,2,0,3,3,18,5.56,0.03,0.07,0.0,0.1,0.1,0.6
320,Guillaume Doucet,C,ROU,17.008,8,1,0,2,1,3,6,16.67,0.12,0.0,0.25,0.12,0.38,0.75
321,Gabriel Houde-Brisson,D,DRU,17.068,58,0,1,2,1,3,17,0.0,0.0,0.02,0.03,0.02,0.05,0.29
322,Benoit Piche,RW,VDO,17.517,65,0,1,2,1,3,14,0.0,0.0,0.02,0.03,0.02,0.05,0.22
323,Maxime Cotnoir,LW,ROU,17.397,17,0,1,2,1,3,14,0.0,0.0,0.06,0.12,0.06,0.18,0.82
324,Nicolas Leduc,D,VIC/BAT,18.607,57,0,1,2,1,3,30,0.0,0.0,0.02,0.04,0.02,0.05,0.53
325,Martin Slovak,D,DRU,18.974,15,1,0,2,1,3,23,4.35,0.07,0.0,0.13,0.07,0.2,1.53
326,Nathan Veinot,D,CAP,19.557,51,1,0,2,1,3,20,5.0,0.02,0.0,0.04,0.02,0.06,0.39
327,Travis Mealy,D,LEW,18.391,64,0,2,1,2,3,93,0.0,0.0,0.03,0.02,0.03,0.05,1.45
328,Lance Woodman,C,GAT/HAL,17.509,26,1,2,0,3,3,8,12.5,0.04,0.08,0.0,0.12,0.12,0.31
329,Jonathan Tremblay,RW,BAT,19.535,60,3,0,0,3,3,27,11.11,0.05,0.0,0.0,0.05,0.05,0.45
330,Ryan Lehr,D,BAC,17.353,47,1,1,1,2,3,39,2.56,0.02,0.02,0.02,0.04,0.06,0.83
331,Martin Frechette,D,GAT,17.18,25,0,3,0,3,3,15,0.0,0.0,0.12,0.0,0.12,0.12,0.6
332,Guillaume Chicoine,RW,VDO,18.215,25,0,2,1,2,3,27,0.0,0.0,0.08,0.04,0.08,0.12,1.08
333,Cody Doucette,LW,MON/QUE,18.867,60,1,1,1,2,3,33,3.03,0.02,0.02,0.02,0.03,0.05,0.55
334,Yannick Charrette,D,GAT,17.657,7,2,1,0,3,3,8,25.0,0.29,0.14,0.0,0.43,0.43,1.14
335,Yan Ouimet,LW,MON,16.972,27,2,1,0,3,3,8,25.0,0.07,0.04,0.0,0.11,0.11,0.3
336,Connor MacDonald,RW,PEI,18.117,8,0,1,1,1,2,1,0.0,0.0,0.12,0.12,0.12,0.25,0.12
337,Hubert Veilleux,D,RIM,16.931,38,0,1,1,1,2,14,0.0,0.0,0.03,0.03,0.03,0.05,0.37
338,Kevin Lacombe,LW,DRU,18.177,24,0,1,1,1,2,19,0.0,0.0,0.04,0.04,0.04,0.08,0.79
339,Olivier Legault,LW,LEW,16.953,54,0,1,1,1,2,7,0.0,0.0,0.02,0.02,0.02,0.04,0.13
340,Jonathan Laberge,C,SHA,16.063,10,1,0,1,1,2,5,20.0,0.1,0.0,0.1,0.1,0.2,0.5
341,Steve Tilley,D,PEI,17.243,24,1,1,0,2,2,5,20.0,0.04,0.04,0.0,0.08,0.08,0.21
342,Jean-Francois Brault,D,HAL,16.778,56,1,0,1,1,2,31,3.23,0.02,0.0,0.02,0.02,0.04,0.55
343,Guillaume Coulonval,LW,PEI,17.328,22,0,1,1,1,2,9,0.0,0.0,0.05,0.05,0.05,0.09,0.41
344,Jason Oreskovic,LW,ROU,18.196,11,1,1,0,2,2,7,14.29,0.09,0.09,0.0,0.18,0.18,0.64
345,Maxime Cuerrier,D,BAT,18.029,35,1,1,0,2,2,17,5.88,0.03,0.03,0.0,0.06,0.06,0.49
346,Etienne Grandmont,RW,VDO,17.063,49,1,1,0,2,2,6,16.67,0.02,0.02,0.0,0.04,0.04,0.12
347,Rene George,C,CHI,17.703,25,0,2,0,2,2,12,0.0,0.0,0.08,0.0,0.08,0.08,0.48
348,Steve Bellefleur,C,SHA,17.295,39,1,1,0,2,2,18,5.56,0.03,0.03,0.0,0.05,0.05,0.46
349,Francis Pare,C,SHA,16.211,5,2,0,0,2,2,5,40.0,0.4,0.0,0.0,0.4,0.4,1.0
350,Jonathan Ryan,LW,VIC,18.24,50,0,2,0,2,2,35,0.0,0.0,0.04,0.0,0.04,0.04,0.7
351,Ryan James Hand,D,BAC,18.506,51,0,2,0,2,2,19,0.0,0.0,0.04,0.0,0.04,0.04,0.37
352,Derick Brassard,C,DRU,15.981,10,0,1,0,1,1,6,0.0,0.0,0.1,0.0,0.1,0.1,0.6
353,Luke Gallant,D,CAP,17.109,1,0,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
354,Mathieu St-Onge,LW,VDO,17.717,1,0,1,0,1,1,2,0.0,0.0,1.0,0.0,1.0,1.0,2.0
355,Travis Coles,D,CHI,16.507,52,0,0,1,0,1,17,0.0,0.0,0.0,0.02,0.0,0.02,0.33
356,Martin Thibeault,C,VDO,16.614,10,0,0,1,0,1,3,0.0,0.0,0.0,0.1,0.0,0.1,0.3
357,Francois Gauthier,D,VDO,18.467,30,0,0,1,0,1,4,0.0,0.0,0.0,0.03,0.0,0.03,0.13
358,Patrick Fournier,LW,SHA,19.442,2,0,0,1,0,1,1,0.0,0.0,0.0,0.5,0.0,0.5,0.5
359,Samuel Belzile,LW,RIM,18.024,5,0,0,1,0,1,4,0.0,0.0,0.0,0.2,0.0,0.2,0.8
