,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
210,Stephon Thorne,LW,BRA,19.343,67,13,8,2,21,23,0.19,0.12,0.03,0.31,0.34
211,Derek Froats,LW,KGN,17.32,61,14,2,7,16,23,0.23,0.03,0.11,0.26,0.38
212,Matt Clark,D,BRA,18.913,66,7,9,7,16,23,0.11,0.14,0.11,0.24,0.35
213,Tyler Cuma,D,OTT,19.655,52,5,9,8,14,22,0.1,0.17,0.15,0.27,0.42
214,T.J. Battani,RW,SSM/MISS,19.891,54,10,7,5,17,22,0.19,0.13,0.09,0.31,0.41
215,Joey  West,C,PBO,18.579,67,8,9,5,17,22,0.12,0.13,0.07,0.25,0.33
216,Tomas Rachunek,LW,SSM,18.566,61,5,6,11,11,22,0.08,0.1,0.18,0.18,0.36
217,Jaroslav Kruzik,D,KGN,19.475,59,5,10,7,15,22,0.08,0.17,0.12,0.25,0.37
218,Ben Chiarot,D,GUE/SBY,18.355,67,8,8,5,16,21,0.12,0.12,0.07,0.24,0.31
219,Thomas Stajan,C,BRA,20.688,61,6,9,6,15,21,0.1,0.15,0.1,0.25,0.34
220,Dalton Prout,D,BAR,19.51,63,7,6,8,13,21,0.11,0.1,0.13,0.21,0.33
221,Nathan Chiarlitti,LD,SAR,17.613,67,7,6,8,13,21,0.1,0.09,0.12,0.19,0.31
222,Corey Cowick,LW,OTT,20.685,27,15,4,2,19,21,0.56,0.15,0.07,0.7,0.78
223,Tyler Randell,RW,KIT,18.254,47,9,5,7,14,21,0.19,0.11,0.15,0.3,0.45
224,Peter Hermenegildo,D,SAG/SBY,18.582,48,7,8,6,15,21,0.15,0.17,0.12,0.31,0.44
225,Cody Hodgson,C,BRA,19.573,13,8,7,5,15,20,0.62,0.54,0.38,1.15,1.54
226,Julian Cimadamore,C,KIT,20.573,47,14,2,4,16,20,0.3,0.04,0.09,0.34,0.43
227,Harry Young,D,WSR,19.842,65,9,6,5,15,20,0.14,0.09,0.08,0.23,0.31
228,David Quesnele,LW,PBO,17.26,68,9,4,6,13,19,0.13,0.06,0.09,0.19,0.28
229,Paul Cianfrini,D,ER,20.406,68,2,8,9,10,19,0.03,0.12,0.13,0.15,0.28
230,Patrik Andersson,D,KIT,19.467,55,0,8,11,8,19,0.0,0.15,0.2,0.15,0.35
231,Dylan MacEachern,LW,NIAG,19.453,68,7,6,6,13,19,0.1,0.09,0.09,0.19,0.28
232,Scott Valentine,D,OSH,18.374,63,5,8,6,13,19,0.08,0.13,0.1,0.21,0.3
233,Eddy Leitans-Rinke,RW,SBY,18.141,55,9,2,8,11,19,0.16,0.04,0.15,0.2,0.35
234,Barclay Goodrow,RW,BRA,16.551,63,6,10,3,16,19,0.1,0.16,0.05,0.25,0.3
235,David Shields,D,ER,18.634,68,7,6,6,13,19,0.1,0.09,0.09,0.19,0.28
236,Ryan Lopes,C,MISS,18.555,66,10,6,3,16,19,0.15,0.09,0.05,0.24,0.29
237,Tyler J. Brown,LW,PLY/LDN,18.451,62,6,9,4,15,19,0.1,0.15,0.06,0.24,0.31
238,David Corrente,D,MISS,18.371,62,7,7,5,14,19,0.11,0.11,0.08,0.23,0.31
239,Stephen Johnston,C,WSR/BELV,19.557,36,10,5,4,15,19,0.28,0.14,0.11,0.42,0.53
240,Marco Insam,LW,NIAG,20.28,67,9,6,4,15,19,0.13,0.09,0.06,0.22,0.28
241,Tyler Taylor,LW,BELV/OSH,19.905,62,11,4,3,15,18,0.18,0.06,0.05,0.24,0.29
242,David Broll,LW,ER,16.696,64,9,2,7,11,18,0.14,0.03,0.11,0.17,0.28
243,Andrew Fritsch,RW,NIAG,16.479,62,11,4,3,15,18,0.18,0.06,0.05,0.24,0.29
244,Nick Esposto,RW,OSH,18.694,56,7,8,3,15,18,0.12,0.14,0.05,0.27,0.32
245,John  Padulo,C,OSH,17.361,56,7,8,3,15,18,0.12,0.14,0.05,0.27,0.32
246,Stephen Sanza,RW,LDN,19.524,40,8,10,0,18,18,0.2,0.25,0.0,0.45,0.45
247,Domenic Alberga,C,BRA,17.134,66,5,9,4,14,18,0.08,0.14,0.06,0.21,0.27
248,Dustin Ekelman,LW,MISS,20.466,60,9,5,4,14,18,0.15,0.08,0.07,0.23,0.3
249,Stuart Percy,D,MISS,16.329,52,3,5,10,8,18,0.06,0.1,0.19,0.15,0.35
250,Matt Stanisz,D,BAR,19.327,63,0,10,7,10,17,0.0,0.16,0.11,0.16,0.27
251,Joe Underwood,D,SAG,19.666,68,0,8,9,8,17,0.0,0.12,0.13,0.12,0.25
252,Kain Allicock,LW,SBY,19.54,50,11,4,2,15,17,0.22,0.08,0.04,0.3,0.34
253,Michael McGurk,D,OS,20.441,66,2,6,9,8,17,0.03,0.09,0.14,0.12,0.26
254,Jeff Braithwaite,D,PBO,17.539,60,3,5,9,8,17,0.05,0.08,0.15,0.13,0.28
255,Alex Basso,D,BELV,16.252,59,3,5,9,8,17,0.05,0.08,0.15,0.14,0.29
256,Brent Sullivan,D,SAR,19.686,40,2,9,6,11,17,0.05,0.23,0.15,0.28,0.42
257,Alex Dzielski,D,OSH,20.165,67,3,8,6,11,17,0.04,0.12,0.09,0.16,0.25
258,Brett Cook,D,ER,18.489,56,5,6,6,11,17,0.09,0.11,0.11,0.2,0.3
259,Kaine Geldart,RW,KGN,20.063,58,7,4,5,11,16,0.12,0.07,0.09,0.19,0.28
260,Mike Mascioli,RW,KIT,19.497,40,5,9,2,14,16,0.12,0.23,0.05,0.35,0.4
261,Matthew Paton,RW,ER,18.256,66,6,5,5,11,16,0.09,0.08,0.08,0.17,0.24
262,Kelly Geoffrey,LW,MISS,19.639,41,8,4,4,12,16,0.2,0.1,0.1,0.29,0.39
263,Dougie  Hamilton,D,NIAG,16.247,64,3,5,8,8,16,0.05,0.08,0.12,0.12,0.25
264,Joseph Cramarossa,C,MISS,16.887,64,6,7,3,13,16,0.09,0.11,0.05,0.2,0.25
265,Matt MacLeod,RW,BRA,16.176,57,6,9,1,15,16,0.11,0.16,0.02,0.26,0.28
266,Charles Sarault,C,KGN,17.569,62,4,3,9,7,16,0.06,0.05,0.15,0.11,0.26
267,Cody Sol,D,SAG,18.593,55,7,3,5,10,15,0.13,0.05,0.09,0.18,0.27
