,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
435,Paul Cotter,C,LDN,18.831,39,8,10,5,18,23,88,9.09,0.21,0.26,0.13,0.46,0.59,2.26,9.43,0.24,3,16,18.75,2,18,11.11,3,54,5.56,174,293,59.39
436,Kyle Harris,C,FLNT,16.927,118,11,7,5,18,23,154,7.24,0.09,0.06,0.04,0.15,0.195,1.31,7.82,0.135,2,23,12.78,5,33,15.19,4,98,4.1,324,845,38.155
437,Mitchell Brewer,D,OSH,16.99,118,6,10,7,16,23,92,6.78,0.05,0.085,0.06,0.135,0.195,0.785,2.105,0.035,1,2,50.0,0,6,0.0,5,84,5.455,0,1,0.0
438,Justin Brack,C,OS/NIAG,20.614,67,5,11,7,16,23,113,4.42,0.07,0.16,0.1,0.24,0.34,1.69,10.16,0.15,2,14,14.29,0,16,0.0,3,83,3.61,260,616,42.21
439,Alex Black,D,PBO/SAR,19.509,130,4,7,12,11,23,125,3.41,0.03,0.055,0.095,0.085,0.18,0.96,2.83,0.045,1,4,12.5,0,4,0.0,3,117,2.96,0,0,0.0
440,Giordano Finoro,C,BAR/GAT,18.832,60,13,9,1,22,23,113,5.965,0.11,0.08,0.01,0.19,0.2,1.94,6.99,0.28,2,21,4.76,0,14,0.0,11,78,7.235,398,760,63.625
441,C.J. Garcia,D,SAG,20.616,64,6,9,7,15,22,122,4.92,0.09,0.14,0.11,0.23,0.34,1.91,8.93,0.14,1,8,12.5,1,11,9.09,4,103,3.88,0,2,0.0
442,Luke Kirwan,LW,FLNT,19.479,33,14,6,2,20,22,95,7.525,0.225,0.095,0.03,0.325,0.355,2.0,5.1,0.23,2,9,12.5,7,18,19.445,5,68,3.73,9,13,37.5
443,Cameron Butler,RW,PBO,16.269,54,16,4,2,20,22,85,18.82,0.3,0.07,0.04,0.37,0.41,1.57,6.3,0.12,0,8,0.0,3,10,30.0,13,67,19.4,7,14,50.0
444,Frank Hora,D,KIT,20.291,53,5,10,7,15,22,81,6.17,0.09,0.19,0.13,0.28,0.42,1.53,4.22,0.08,0,1,0.0,0,3,0.0,5,77,6.49,2,5,40.0
445,Colton Kammerer,D,SAR,16.402,91,5,9,8,14,22,91,4.96,0.055,0.105,0.085,0.15,0.24,0.965,2.285,0.05,0,3,0.0,2,7,33.335,3,81,3.9,1,2,25.0
