,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
302,Dan Mercer,D,CGY,20.367,40,2,0,12,2,14,0.05,0.0,0.3,0.05,0.35
303,Taylor Ellington,D,EVT,18.872,48,3,8,3,11,14,0.06,0.17,0.06,0.23,0.29
304,Matthew Swaby,D,EDM,19.902,70,1,4,8,5,13,0.01,0.06,0.11,0.07,0.19
305,Karey Pieper,LW,EDM,19.899,67,6,4,3,10,13,0.09,0.06,0.04,0.15,0.19
306,Eric Frere,D,KTN/CGY,18.831,70,5,2,6,7,13,0.07,0.03,0.09,0.1,0.19
307,Brett Plouffe,D,TRI/CGY,18.221,63,3,5,5,8,13,0.05,0.08,0.08,0.13,0.21
308,Tysen Dowzak,D,KEL,19.521,68,0,7,6,7,13,0.0,0.1,0.09,0.1,0.19
309,Josh Elder,LW,REG,18.872,52,4,5,4,9,13,0.08,0.1,0.08,0.17,0.25
310,Stefan Ulmer,D,SPO,16.789,37,3,7,3,10,13,0.08,0.19,0.08,0.27,0.35
311,Colin Joe,D,KEL,19.472,68,1,8,4,9,13,0.01,0.12,0.06,0.13,0.19
312,Garrett Mitchell,RW,REG,16.036,62,8,3,2,11,13,0.13,0.05,0.03,0.18,0.21
313,Mark Hall,C,KAM,17.202,67,5,5,2,10,12,0.07,0.07,0.03,0.15,0.18
314,Viktor Sjodin,LW,POR,19.401,34,6,5,1,11,12,0.18,0.15,0.03,0.32,0.35
315,Tomas Voracek,D,P.A,17.547,65,4,4,4,8,12,0.06,0.06,0.06,0.12,0.18
316,Kevin Undershute,LW,M.H/POR,20.428,20,6,5,1,11,12,0.3,0.25,0.05,0.55,0.6
317,Benn Olson,D,SEA,20.381,71,0,4,8,4,12,0.0,0.06,0.11,0.06,0.17
318,Cody Hobbs,D,CWK/P.G,18.292,63,2,5,5,7,12,0.03,0.08,0.08,0.11,0.19
319,Spencer McAvoy,D,S.C,19.064,57,3,3,5,6,11,0.05,0.05,0.09,0.11,0.19
320,Mikael Ahlen,RW,M.H,19.42,34,8,3,0,11,11,0.24,0.09,0.0,0.32,0.32
321,Brenden Dillon,D,SEA,16.838,71,1,4,6,5,11,0.01,0.06,0.08,0.07,0.15
322,Darcy Huisman,D,KAM,18.503,63,2,2,7,4,11,0.03,0.03,0.11,0.06,0.17
323,Devon Kalinski,C,KAM/CGY,17.703,65,5,3,3,8,11,0.08,0.05,0.05,0.12,0.17
324,Morgan MacLean,LW,EVT/P.G,19.242,34,8,1,2,9,11,0.24,0.03,0.06,0.26,0.32
325,Jordan Hickmott,C,M.H,17.43,55,7,2,2,9,11,0.13,0.04,0.04,0.16,0.2
326,Brayden McNabb,D,KTN,16.649,65,2,7,2,9,11,0.03,0.11,0.03,0.14,0.17
327,Bryce Lamb,C,P.A,17.914,29,5,5,1,10,11,0.17,0.17,0.03,0.34,0.38
328,Matt McCue,D,CWK/BRN,19.195,70,0,6,5,6,11,0.0,0.09,0.07,0.09,0.16
329,Gaelan Patterson,C,SAS,17.065,51,4,1,5,5,10,0.08,0.02,0.1,0.1,0.2
330,Craig  Orfino,C,LET,17.657,65,1,3,6,4,10,0.02,0.05,0.09,0.06,0.15
331,Derek Claffey,D,S.C,18.3,58,0,3,7,3,10,0.0,0.05,0.12,0.05,0.17
332,Ryan Molle,D,S.C,18.626,62,2,1,7,3,10,0.03,0.02,0.11,0.05,0.16
333,Jesse Paradis,LW,KEL,16.69,40,1,5,4,6,10,0.03,0.12,0.1,0.15,0.25
334,Matt Meropoulis,C,CWK,18.538,43,1,5,4,6,10,0.02,0.12,0.09,0.14,0.23
335,Shayne Brown,D,M.H,18.566,55,3,3,4,6,10,0.05,0.05,0.07,0.11,0.18
336,Braeden Adamyk,C,EDM,17.536,66,4,2,4,6,10,0.06,0.03,0.06,0.09,0.15
337,Tomas Polak,C,RDR,17.646,45,5,5,0,10,10,0.11,0.11,0.0,0.22,0.22
338,Brayden Metz,C,CWK,17.383,48,4,4,2,8,10,0.08,0.08,0.04,0.17,0.21
339,Joel Kot,D,RDR,17.071,20,3,5,2,8,10,0.15,0.25,0.1,0.4,0.5
340,Matthew Ius,RW,EVT,17.701,66,4,5,1,9,10,0.06,0.08,0.02,0.14,0.15
341,Chad Erb,D,BRN,19.097,56,2,5,3,7,10,0.04,0.09,0.05,0.12,0.18
