,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
320,Nic Sicoly,LW,GUE,18.193,130.0,10.0,12.0,2.0,22.0,24.0,163.0,6.36,0.075,0.09,0.02,0.17,0.185,1.25,8.26,0.13,3.0,23.0,13.255,1.0,32.0,4.545,6.0,108.0,5.49,80.0,207.0,38.045
321,Jesse Saban,D,HAM/NB,19.168,123.0,2.0,7.0,15.0,9.0,24.0,111.0,1.785,0.015,0.06,0.12,0.075,0.195,0.9,2.015,0.035,0.0,3.0,0.0,0.0,0.0,0.0,2.0,108.0,1.82,1.0,1.0,50.0
322,Ty Dellandrea,C,FLNT,16.154,57.0,13.0,8.0,3.0,21.0,24.0,103.0,12.62,0.23,0.14,0.05,0.37,0.42,1.81,11.99,0.21,2.0,17.0,11.76,5.0,24.0,20.83,6.0,62.0,9.68,271.0,554.0,48.92
323,Tom Hedberg,D,BAR,17.101,56.0,4.0,11.0,9.0,15.0,24.0,78.0,5.13,0.07,0.2,0.16,0.27,0.43,1.39,4.14,0.07,0.0,1.0,0.0,1.0,3.0,33.33,3.0,74.0,4.05,1.0,2.0,50.0
324,Adam McMaster,C,NB,16.559,61.0,5.0,11.0,8.0,16.0,24.0,98.0,5.1,0.08,0.18,0.13,0.26,0.39,1.61,9.71,0.16,2.0,15.0,13.33,0.0,14.0,0.0,3.0,69.0,4.35,201.0,467.0,43.04
325,Renars Krastenbergs,LW,OSH,17.75,63.0,9.0,5.0,10.0,14.0,24.0,115.0,7.83,0.14,0.08,0.16,0.22,0.38,1.83,10.96,0.17,2.0,12.0,16.67,1.0,17.0,5.88,6.0,86.0,6.98,10.0,24.0,41.67
326,Tyler Hore,D,SSM,19.891,68.0,1.0,11.0,12.0,12.0,24.0,125.0,0.8,0.01,0.16,0.18,0.18,0.35,1.84,7.11,0.1,0.0,6.0,0.0,1.0,6.0,16.67,0.0,113.0,0.0,0.0,2.0,0.0
327,Josh Jacobs,D,SAR,19.582,67.0,4.0,14.0,6.0,18.0,24.0,149.0,2.68,0.06,0.21,0.09,0.27,0.36,2.22,7.83,0.12,0.0,1.0,0.0,0.0,5.0,0.0,4.0,143.0,2.8,2.0,4.0,50.0
328,Trent Mallette,RW,OTT,19.56,68.0,10.0,9.0,5.0,19.0,24.0,83.0,6.33,0.075,0.07,0.04,0.145,0.18,1.6,4.025,0.17,2.0,9.0,11.11,3.0,13.0,12.5,5.0,61.0,4.31,6.0,19.0,15.79
329,Jacob Paquette,D,KGN,16.808,115.0,4.0,3.0,16.0,7.0,23.0,100.0,5.055,0.035,0.025,0.14,0.06,0.2,0.86,2.385,0.04,0.0,4.0,0.0,0.0,4.0,0.0,4.0,92.0,5.66,0.0,1.0,0.0
330,Brandon Lindberg,C,SAR,18.974,63.0,10.0,6.0,7.0,16.0,23.0,81.0,12.35,0.16,0.1,0.11,0.25,0.37,1.29,9.47,0.15,1.0,8.0,12.5,2.0,17.0,11.76,7.0,56.0,12.5,273.0,600.0,45.5
331,Zach  Grzelewski,LW,FLNT,18.382,56.0,8.0,9.0,6.0,17.0,23.0,64.0,12.5,0.14,0.16,0.11,0.3,0.41,1.14,6.72,0.12,6.0,11.0,54.55,2.0,10.0,20.0,0.0,43.0,0.0,0.0,3.0,0.0
332,Jason Willms,C,BAR,17.602,68.0,13.0,7.0,3.0,20.0,23.0,116.0,11.21,0.19,0.1,0.04,0.29,0.34,1.71,14.86,0.22,5.0,25.0,20.0,2.0,23.0,8.7,6.0,68.0,8.82,534.0,1025.0,52.1
333,Nevin Guy,D,OTT,20.263,59.0,5.0,8.0,9.0,13.0,22.0,78.0,6.41,0.08,0.14,0.15,0.22,0.37,1.32,5.11,0.09,1.0,5.0,20.0,0.0,7.0,0.0,4.0,66.0,6.06,0.0,2.0,0.0
334,Will Petschenig,D,SAG,20.614,68.0,5.0,11.0,6.0,16.0,22.0,95.0,5.26,0.07,0.16,0.09,0.24,0.32,1.4,4.22,0.06,0.0,2.0,0.0,1.0,3.0,33.33,4.0,90.0,4.44,0.0,2.0,0.0
