,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
226,Mikey Eyssimont,F,SF/FGO,18.015,60,22,19,8,41,49,181,12.15,0.37,0.32,0.13,0.68,0.82,3.02
227,Jachym Kondelik,C,MUS,17.236,87,23,18,8,41,49,190,11.895,0.26,0.205,0.09,0.47,0.56,2.175
228,Sam Kurker,F,SC,20.438,56,24,16,9,40,49,170,14.12,0.43,0.29,0.16,0.71,0.88,3.04
229,Tom Novak,F,WAT,17.383,46,14,21,13,35,48,123,11.38,0.3,0.46,0.28,0.76,1.04,2.67
230,Lawton Courtnall,F,SF,19.024,112,21,14,13,35,48,248,8.215,0.185,0.125,0.115,0.305,0.42,2.19
231,Kenneth Hausinger,C,DM,20.154,60,16,24,8,40,48,114,14.04,0.27,0.4,0.13,0.67,0.8,1.9
232,Verners Egle,LW,MAD/DBQ,18.542,136,24,14,10,38,48,186,12.003,0.182,0.1,0.078,0.28,0.358,1.462
233,Austen Long,RW/F,TC/CHI/LIN/OMA,19.644,159,22,14,12,36,48,198,11.161,0.151,0.106,0.044,0.26,0.302,1.418
234,Mark Petaccio,F,MUS/DM,20.474,53,22,16,10,38,48,171,12.87,0.42,0.3,0.19,0.72,0.91,3.23
235,Neal Pionk,D,SC,19.132,53,7,21,20,28,48,135,5.19,0.13,0.4,0.38,0.53,0.91,2.55
236,Michael Davies,LD,DBQ/WAT,18.135,109,11,18,19,29,48,206,5.455,0.1,0.165,0.175,0.26,0.435,1.865
237,Mike Regush,C,YNG,19.009,58,19,19,10,38,48,92,20.65,0.33,0.33,0.17,0.66,0.83,1.59
238,Odeen Tufto,C,FGO/TC/SC,19.683,59,16,18,14,34,48,131,12.21,0.27,0.31,0.24,0.58,0.81,2.22
239,Tristan Ashbrook,C/RW,LIN,19.668,95,29,13,6,42,48,224,13.135,0.31,0.13,0.065,0.44,0.51,2.365
240,Auston Matthews,F,USA,16.994,24,20,19,9,39,48,98,20.41,0.83,0.79,0.38,1.62,2.0,4.08
241,Alex Yakovenko,D,MUS,20.545,45,17,13,17,30,47,122,13.93,0.38,0.29,0.38,0.67,1.04,2.71
242,Josh Maniscalco,RD,USA/DBQ,17.827,121,16,17,14,33,47,211,9.23,0.135,0.145,0.11,0.278,0.39,1.76
243,Christian O'Neill,C,OMA,19.247,60,14,20,13,34,47,123,11.38,0.23,0.33,0.22,0.57,0.78,2.05
244,Linus Weissbach,LW,TC,18.41,49,19,21,7,40,47,123,15.45,0.39,0.43,0.14,0.82,0.96,2.51
245,Grant Mismash,LW,USA,17.071,61,22,16,9,38,47,161,13.43,0.355,0.275,0.16,0.63,0.79,2.625
246,Reggie Lutz,LW,CHI,19.91,58,24,12,11,36,47,180,13.33,0.41,0.21,0.19,0.62,0.81,3.1
