"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA"
"","Hunter Smith","RW","OSH","19.012","57","13","13","8","26","34","0.23","0.23","0.14","0.46","0.6","707.65","12.41","1.1","1.1","0.68","2.2","2.88","14.33","14.15","67.03","48.26","2.95","70.0","49","21"
"","Anthony DiFruscia","RW","NIAG","19.406","68","16","10","8","26","34","0.24","0.15","0.12","0.38","0.5","789.06","11.6","1.22","0.76","0.61","1.98","2.59","13.87","13.85","53.04","49.32","3.23","55.68","49","39"
"","Lawson  Crouse","LW","KGN","17.23","56","20","6","7","26","33","0.36","0.11","0.12","0.46","0.59","805.6","14.39","1.49","0.45","0.52","1.94","2.46","15.96","13.97","52.52","50.94","10.84","58.67","44","31"
"","Brett Gustavsen","LW","BELV","20.51","67","16","10","7","26","33","0.24","0.15","0.1","0.39","0.49","884.47","13.2","1.09","0.68","0.47","1.76","2.24","14.38","14.17","49.12","50.1","2.13","50.0","45","45"
"","Connor Brown","LW","SAG","19.152","68","14","12","5","26","31","0.21","0.18","0.07","0.38","0.46","998.81","14.69","0.84","0.72","0.3","1.56","1.86","13.51","13.63","42.39","52.61","-2.31","41.41","53","75"
"","Tye Felhaber","LW","SAG","16.113","63","19","7","4","26","30","0.3","0.11","0.06","0.41","0.48","699.33","11.1","1.63","0.6","0.34","2.23","2.57","13.83","13.7","42.82","51.31","5.02","46.48","33","38"
"","Mitchell Stephens","C","SAG","17.607","62","15","10","10","25","35","0.24","0.16","0.16","0.4","0.56","803.2","12.95","1.12","0.75","0.75","1.87","2.61","14.31","13.86","45.5","52.11","5.02","45.83","44","52"
"","Aaron Berisha","RW","LDN/BELV","19.532","63","20","5","6","25","31","0.32","0.08","0.1","0.4","0.49","772.59","12.26","1.55","0.39","0.47","1.94","2.41","13.87","13.89","55.84","50.75","-7.08","50.0","46","46"
"","Michael Clarke","C","PBO","20.381","58","12","13","5","25","30","0.21","0.22","0.09","0.43","0.52","801.81","13.82","0.9","0.97","0.37","1.87","2.24","14.32","14.18","45.64","52.08","2.11","43.02","37","49"
"","Brendan Lemieux","LW","BAR","18.503","57","14","11","5","25","30","0.25","0.19","0.09","0.44","0.53","762.33","13.37","1.1","0.87","0.39","1.97","2.36","14.2","14.08","54.4","47.06","-11.99","47.25","43","48"
"","Taylor Raddysh","RW","ER","16.573","58","20","5","1","25","26","0.34","0.09","0.02","0.43","0.45","686.24","11.83","1.75","0.44","0.09","2.19","2.27","13.56","13.45","58.91","48.19","-23.06","44.44","36","45"
"","Mikkel Aagaard","C","NIAG","18.911","59","13","11","11","24","35","0.22","0.19","0.19","0.41","0.59","749.52","12.7","1.04","0.88","0.88","1.92","2.8","13.59","13.74","52.6","49.23","-0.52","52.81","47","42"
"","Trevor Murphy","D","WSR","19.165","59","13","11","11","24","35","0.22","0.19","0.19","0.41","0.59","1083.15","18.36","0.72","0.61","0.61","1.33","1.94","13.13","13.77","42.74","51.21","10.92","48.87","65","68"
"","Jeremiah Addison","LW","OTT","17.9","63","14","10","9","24","33","0.22","0.16","0.14","0.38","0.52","841.98","13.36","1.0","0.71","0.64","1.71","2.35","14.82","13.9","49.86","51.46","2.93","51.69","46","43"
"","Michael Cramarossa","LW","BELV","18.311","65","10","14","9","24","33","0.15","0.22","0.14","0.37","0.51","895.32","13.77","0.67","0.94","0.6","1.61","2.21","14.26","13.93","48.04","49.9","9.67","54.17","52","44"
"","Bryson Cianfrone","C","MISS","19.584","63","10","14","7","24","31","0.16","0.22","0.11","0.38","0.49","814.96","12.94","0.74","1.03","0.52","1.77","2.28","14.78","14.02","45.03","51.33","14.97","51.19","43","41"
