"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA"
"","Chad Duchesne","D","KGN","19.294","66","1","2","8","3","11","0.02","0.03","0.12","0.05","0.17","1171.08","17.74","0.05","0.1","0.41","0.15","0.56","14.49","13.99","51.44","52.19","-1.65","49.02","50","52"
"","Steven Varga","D","PBO","19.658","67","1","2","7","3","10","0.01","0.03","0.1","0.04","0.15","1093.53","16.32","0.05","0.11","0.38","0.16","0.55","13.25","13.95","42.96","52.43","3.41","44.95","49","60"
"","Zack Pittman","D","OTT","19.165","41","0","3","6","3","9","0.0","0.07","0.15","0.07","0.22","532.08","12.98","0.0","0.34","0.68","0.34","1.01","13.3","13.55","50.13","49.23","2.73","52.38","22","20"
"","Sean Callaghan","D","PLY/SAG","20.6","58","1","2","5","3","8","0.02","0.03","0.09","0.05","0.14","968.06","16.69","0.06","0.12","0.31","0.19","0.5","13.46","13.81","45.55","50.31","-1.54","41.75","43","60"
"","Artem Vladimirov","D","PBO","17.534","56","2","1","4","3","7","0.04","0.02","0.07","0.05","0.12","762.17","13.61","0.16","0.08","0.31","0.24","0.55","13.43","13.67","43.91","53.21","-3.08","41.54","27","38"
"","Michael Holmes","D","SAG","17.613","57","1","2","4","3","7","0.02","0.04","0.07","0.05","0.12","860.86","15.1","0.07","0.14","0.28","0.21","0.49","12.99","13.61","41.99","51.55","-0.71","43.62","41","53"
"","Shaun Bily","C","ER","16.562","36","1","2","4","3","7","0.03","0.06","0.11","0.08","0.19","272.06","7.56","0.22","0.44","0.88","0.66","1.54","12.95","12.84","56.83","45.99","-13.23","46.67","7","8"
"","Joshua Chapman","D","SAR","19.828","44","0","3","4","3","7","0.0","0.07","0.09","0.07","0.16","735.28","16.71","0.0","0.24","0.33","0.24","0.57","13.39","13.63","50.52","51.39","-6.99","45.68","37","44"
"","Josh Wesley","D","PLY","18.434","63","2","1","3","3","6","0.03","0.02","0.05","0.05","0.1","981.75","15.58","0.12","0.06","0.18","0.18","0.37","12.72","13.75","45.14","49.28","-7.74","38.89","35","55"
"","Cody  Thompson","LW","MISS","19.601","36","1","2","3","3","6","0.03","0.06","0.08","0.08","0.17","374.13","10.39","0.16","0.32","0.48","0.48","0.96","13.57","13.39","39.19","51.73","-11.45","32.35","11","23"
"","Connor Walters","D","OS","17.279","63","0","3","3","3","6","0.0","0.05","0.05","0.05","0.1","765.06","12.14","0.0","0.24","0.24","0.24","0.47","13.12","13.48","50.64","50.23","-1.92","48.08","25","27"
"","TJ Fergus","D","ER","17.476","45","2","1","2","3","5","0.04","0.02","0.04","0.07","0.11","612.67","13.61","0.2","0.1","0.2","0.29","0.49","13.29","13.3","60.54","47.53","-5.59","60.0","39","26"
"","Mark Shoemaker","D","NB","16.964","39","1","2","2","3","5","0.03","0.05","0.05","0.08","0.13","383.08","9.82","0.16","0.31","0.31","0.47","0.78","12.8","13.07","50.11","47.25","-13.03","46.67","7","8"
"","Jake Bricknell","RW","BELV","17.169","58","1","2","2","3","5","0.02","0.03","0.03","0.05","0.09","592.15","10.21","0.1","0.2","0.2","0.3","0.51","13.1","13.08","44.84","47.69","-17.69","33.33","14","28"
"","Luke Burghardt","LW","GUE","16.345","54","1","2","2","3","5","0.02","0.04","0.04","0.06","0.09","460.06","8.52","0.13","0.26","0.26","0.39","0.65","13.75","13.6","46.95","49.76","-18.58","33.33","10","20"
"","Zack Dorval","C","KGN","16.406","56","2","1","1","3","4","0.04","0.02","0.02","0.05","0.07","512.63","9.15","0.23","0.12","0.12","0.35","0.47","14.49","13.61","44.93","50.64","-27.94","25.0","7","21"
"","Zach Wilkie","D","NIAG","17.555","52","1","2","1","3","4","0.02","0.04","0.02","0.06","0.08","715.09","13.75","0.08","0.17","0.08","0.25","0.34","12.76","13.34","52.93","49.3","-9.62","45.59","31","37"
"","Josh Defarias","D","LDN/SAR","17.468","22","2","1","1","3","4","0.09","0.05","0.05","0.14","0.18","286.06","13.0","0.42","0.21","0.21","0.63","0.84","13.11","13.38","49.76","45.68","1.58","50.0","14","14"
"","Austin Gerhart","RW","MISS","17.451","47","2","1","0","3","3","0.04","0.02","0.0","0.06","0.06","413.74","8.8","0.29","0.15","0.0","0.44","0.44","13.46","13.29","38.74","47.96","-21.64","22.22","6","21"
"","Logan Stanley","D","WSR","16.307","59","0","3","0","3","3","0.0","0.05","0.0","0.05","0.05","661.71","11.22","0.0","0.27","0.0","0.27","0.27","12.83","13.4","41.7","52.49","-18.73","25.53","12","35"
"","Adam Timleck","RW","PBO","16.551","57","2","1","0","3","3","0.04","0.02","0.0","0.05","0.05","524.48","9.2","0.23","0.11","0.0","0.34","0.34","14.13","13.74","43.53","48.75","-15.4","27.78","10","26"
"","Mark Bzowey","C","KIT","17.506","45","0","3","0","3","3","0.0","0.07","0.0","0.07","0.07","365.18","8.12","0.0","0.49","0.0","0.49","0.49","12.38","13.11","49.67","47.12","-25.6","23.53","4","13"
"","Nathan Billitier","D","KGN","18.322","30","0","3","0","3","3","0.0","0.1","0.0","0.1","0.1","367.27","12.24","0.0","0.49","0.0","0.49","0.49","12.86","13.15","46.29","51.21","-3.94","43.48","10","13"
"","Jacob  Graves","D","KGN","19.469","62","0","2","5","2","7","0.0","0.03","0.08","0.03","0.11","763.86","12.32","0.0","0.16","0.39","0.16","0.55","13.56","13.51","47.48","51.26","-10.05","41.3","19","27"
"","Cole Mayo","D","ER/SBY","17.657","56","0","2","4","2","6","0.0","0.04","0.07","0.04","0.11","764.07","13.64","0.0","0.16","0.31","0.16","0.47","12.9","13.28","38.97","49.05","6.81","47.3","35","39"
"","Matthew Timms","D","PBO","16.345","49","1","1","4","2","6","0.02","0.02","0.08","0.04","0.12","592.04","12.08","0.1","0.1","0.41","0.2","0.61","13.22","13.57","42.97","48.81","-8.94","31.82","14","30"
"","Alex Di Carlo","D","PLY","17.476","41","0","2","4","2","6","0.0","0.05","0.1","0.05","0.15","447.67","10.92","0.0","0.27","0.54","0.27","0.8","12.89","13.51","43.4","49.67","8.55","48.28","14","15"
"","Sonny Hertzberg","D","OSH","19.404","32","1","1","3","2","5","0.03","0.03","0.09","0.06","0.16","390.74","12.21","0.15","0.15","0.46","0.31","0.77","12.49","13.15","67.24","44.04","15.14","82.76","24","5"
"","Cole Candella","D","BELV","16.586","60","0","2","3","2","5","0.0","0.03","0.05","0.03","0.08","704.87","11.75","0.0","0.17","0.26","0.17","0.43","12.71","13.4","45.54","47.73","-1.24","46.94","23","26"
"","Nick Zottl","D","MISS","19.677","45","1","1","3","2","5","0.02","0.02","0.07","0.04","0.11","549.72","12.22","0.11","0.11","0.33","0.22","0.55","12.37","13.73","37.86","50.12","-9.95","29.27","12","29"
"","Andrew Burns","D","WSR","17.616","65","0","2","3","2","5","0.0","0.03","0.05","0.03","0.08","859.33","13.22","0.0","0.14","0.21","0.14","0.35","13.13","13.72","42.06","50.92","-8.65","35.44","28","51"
"","Chase Stewart","D","SAG","17.408","48","0","2","3","2","5","0.0","0.04","0.06","0.04","0.1","690.64","14.39","0.0","0.17","0.26","0.17","0.43","13.26","13.63","42.57","49.28","-0.28","44.29","31","39"
"","Keenan Reynolds","C","OS","16.46","42","1","1","2","2","4","0.02","0.02","0.05","0.05","0.1","307.95","7.33","0.19","0.19","0.39","0.39","0.78","12.51","13.1","49.58","45.93","23.86","72.73","8","3"
"","Jarkko Parikka","D","KGN","17.024","68","0","2","2","2","4","0.0","0.03","0.03","0.03","0.06","1168.94","17.19","0.0","0.1","0.1","0.1","0.21","14.87","13.86","51.13","50.65","-5.98","45.92","45","53"
"","Austin  Kosack","D","NB","19.486","31","1","1","2","2","4","0.03","0.03","0.06","0.06","0.13","398.91","12.87","0.15","0.15","0.3","0.3","0.6","12.84","13.45","51.22","50.32","-14.41","42.86","12","16"
"","Stephen Templeton","D","OSH","17.635","36","0","2","1","2","3","0.0","0.06","0.03","0.06","0.08","426.2","11.84","0.0","0.28","0.14","0.28","0.42","12.69","13.71","67.38","45.85","-11.83","57.14","16","12"
"","Owen  Green","LW","NB","17.482","46","1","1","1","2","3","0.02","0.02","0.02","0.04","0.07","366.9","7.98","0.16","0.16","0.16","0.33","0.49","13.7","12.87","50.52","44.78","-2.34","52.94","9","8"
"","Sam Field","RW","KGN","16.611","57","2","0","0","2","2","0.04","0.0","0.0","0.04","0.04","434.8","7.63","0.28","0.0","0.0","0.28","0.28","13.28","13.38","43.4","55.73","-37.93","13.33","2","13"
"","Kevin Hancock","LW","OS","16.54","9","1","1","0","2","2","0.11","0.11","0.0","0.22","0.22","68.38","7.6","0.88","0.88","0.0","1.75","1.75","12.17","13.12","52.14","50.71","24.25","66.67","2","1"
"","Austin Hall","D","GUE","17.438","37","1","1","0","2","2","0.03","0.03","0.0","0.05","0.05","440.51","11.91","0.14","0.14","0.0","0.27","0.27","14.02","13.81","48.43","51.89","-18.74","34.38","11","21"
"","Jack Hanley","D","BELV","16.406","45","0","2","0","2","2","0.0","0.04","0.0","0.04","0.04","498.78","11.08","0.0","0.24","0.0","0.24","0.24","12.62","13.15","45.65","47.11","-23.61","27.59","8","21"
"","Stephen Gibson","D","MISS","17.536","56","2","0","0","2","2","0.04","0.0","0.0","0.04","0.04","674.88","12.05","0.18","0.0","0.0","0.18","0.18","12.71","13.65","39.8","50.82","-21.16","22.0","11","39"
"","Troy Henley","D","OTT/SAG","17.67","52","0","2","0","2","2","0.0","0.04","0.0","0.04","0.04","680.26","13.08","0.0","0.18","0.0","0.18","0.18","13.12","13.49","43.86","53.72","-21.49","30.3","20","46"
"","Brenden Trottier","RW","SAR","17.156","10","0","2","0","2","2","0.0","0.2","0.0","0.2","0.2","88.96","8.9","0.0","1.35","0.0","1.35","1.35","13.06","13.11","45.89","50.83","-5.98","37.5","3","5"
"","Adam Bignell","D","BELV","20.48","35","1","1","0","2","2","0.03","0.03","0.0","0.06","0.06","595.66","17.02","0.1","0.1","0.0","0.2","0.2","13.58","14.0","47.79","49.91","5.72","51.72","30","28"
"","Jacob Collins","D","PLY","16.406","22","1","1","0","2","2","0.05","0.05","0.0","0.09","0.09","194.93","8.86","0.31","0.31","0.0","0.62","0.62","13.81","12.99","44.75","45.44","22.07","62.5","5","3"
"","Boris Katchouk","RW","SSM","16.244","12","0","2","0","2","2","0.0","0.17","0.0","0.17","0.17","126.57","10.55","0.0","0.95","0.0","0.95","0.95","13.17","13.18","61.43","51.16","-16.1","50.0","7","7"
"","Thomas Lattavo","RW","MISS","18.445","10","1","1","0","2","2","0.1","0.1","0.0","0.2","0.2","100.29","10.03","0.6","0.6","0.0","1.2","1.2","13.09","13.71","36.53","49.3","4.38","33.33","3","6"
"","Benjamin Gleason","D","LDN","16.477","41","0","1","4","1","5","0.0","0.02","0.1","0.02","0.12","453.66","11.06","0.0","0.13","0.53","0.13","0.66","12.92","13.18","54.25","45.86","-9.25","47.22","17","19"
"","Alex Peters","D","PLY","18.204","8","0","1","3","1","4","0.0","0.12","0.38","0.12","0.5","134.11","16.76","0.0","0.45","1.34","0.45","1.79","13.07","13.92","45.21","53.26","-2.86","57.14","8","6"
"","Zach Shankar","D","NB","17.629","44","0","1","3","1","4","0.0","0.02","0.07","0.02","0.09","468.59","10.65","0.0","0.13","0.38","0.13","0.51","12.94","13.38","52.3","48.38","-10.78","42.31","11","15"
"","Kyle Rhodes","D","GUE","16.723","59","0","1","3","1","4","0.0","0.02","0.05","0.02","0.07","704.07","11.93","0.0","0.09","0.26","0.09","0.34","13.25","13.55","47.57","53.07","-3.93","46.3","25","29"
"","Jake O'Donnell","D","SAR","16.28","16","1","0","3","1","4","0.06","0.0","0.19","0.06","0.25","188.56","11.79","0.32","0.0","0.95","0.32","1.27","12.68","13.08","47.65","46.26","6.38","60.0","9","6"
"","Ryan Orban","D","OTT/SAG","17.145","46","0","1","2","1","3","0.0","0.02","0.04","0.02","0.07","610.01","13.26","0.0","0.1","0.2","0.1","0.3","13.81","13.72","46.38","52.89","-11.22","38.78","19","30"
"","Reagan O'Grady","D","KGN/SBY","15.751","54","0","1","2","1","3","0.0","0.02","0.04","0.02","0.06","605.67","11.22","0.0","0.1","0.2","0.1","0.3","12.81","13.58","34.66","51.93","-12.95","26.32","10","28"
"","Riley Bruce","D","NB","17.167","52","0","1","2","1","3","0.0","0.02","0.04","0.02","0.06","649.96","12.5","0.0","0.09","0.18","0.09","0.28","12.77","13.33","51.19","49.55","-8.13","46.67","21","24"
"","Jason Smith","C","MISS","17.386","46","1","0","2","1","3","0.02","0.0","0.04","0.02","0.07","415.75","9.04","0.14","0.0","0.29","0.14","0.43","13.39","13.26","39.66","48.0","-9.72","32.14","9","19"
"","Brandon Lukezic","D","OTT","18.673","12","0","1","2","1","3","0.0","0.08","0.17","0.08","0.25","163.46","13.62","0.0","0.37","0.73","0.37","1.1","13.03","14.26","50.27","46.12","-3.29","53.85","7","6"
"","Tyler Nother","D","LDN","16.603","40","0","1","1","1","2","0.0","0.03","0.03","0.03","0.05","419.95","10.5","0.0","0.14","0.14","0.14","0.29","12.15","13.21","49.64","49.27","-18.84","34.62","9","17"
"","Shawn Tessier","D","KGN","18.349","41","1","0","1","1","2","0.02","0.0","0.02","0.02","0.05","375.54","9.16","0.16","0.0","0.16","0.16","0.32","13.31","13.25","44.4","51.81","8.72","54.55","6","5"
"","Jesse Hilton","D","GUE","16.893","36","0","1","1","1","2","0.0","0.03","0.03","0.03","0.06","295.09","8.2","0.0","0.2","0.2","0.2","0.41","14.21","13.0","47.27","44.57","1.06","50.0","4","4"
"","Adam Donnelly","C","MISS","18.166","46","0","1","1","1","2","0.0","0.02","0.02","0.02","0.04","386.86","8.41","0.0","0.16","0.16","0.16","0.31","13.19","13.56","38.81","53.73","-25.55","17.39","4","19"
"","Brody Morris","D","BELV","18.377","9","0","1","1","1","2","0.0","0.11","0.11","0.11","0.22","115.5","12.83","0.0","0.52","0.52","0.52","1.04","12.56","12.77","47.4","47.2","18.65","70.0","7","3"
"","Kevin Groulx","RW","OTT","18.199","11","1","0","1","1","2","0.09","0.0","0.09","0.09","0.18","142.08","12.92","0.42","0.0","0.42","0.42","0.84","15.57","13.84","49.65","54.07","-10.11","38.46","5","8"
"","Chiwetin Blacksmith","LW","BAR","17.295","17","1","0","1","1","2","0.06","0.0","0.06","0.06","0.12","121.67","7.16","0.49","0.0","0.49","0.49","0.99","11.67","11.93","47.31","45.52","-19.02","40.0","2","3"
"","Eric Henderson","LW","LDN","16.397","4","1","0","1","1","2","0.25","0.0","0.25","0.25","0.5","38.34","9.58","1.57","0.0","1.57","1.57","3.13","13.11","13.09","51.99","33.78","-1.19","75.0","3","1"
"","Jack Webb","LW","SAG","17.679","49","1","0","0","1","1","0.02","0.0","0.0","0.02","0.02","391.14","7.98","0.15","0.0","0.0","0.15","0.15","12.41","12.97","38.52","51.0","-23.11","23.81","5","16"
"","Mack Lemmon","RW","KGN","19.675","5","0","1","0","1","1","0.0","0.2","0.0","0.2","0.2","47.27","9.45","0.0","1.27","0.0","1.27","1.27","14.89","13.55","49.9","45.12","-16.67","33.33","1","2"
"","Kevin Klima","LW","LDN","17.279","16","1","0","0","1","1","0.06","0.0","0.0","0.06","0.06","135.57","8.47","0.44","0.0","0.0","0.44","0.44","13.41","13.95","53.01","46.91","-8.65","37.5","3","5"
"","Brody Milne","LW","SBY","19.453","25","0","1","0","1","1","0.0","0.04","0.0","0.04","0.04","279.6","11.18","0.0","0.21","0.0","0.21","0.21","13.79","13.33","30.19","54.17","-21.02","11.54","3","23"
"","Riley MacRae","LW","ER","16.469","4","0","1","0","1","1","0.0","0.25","0.0","0.25","0.25","34.46","8.62","0.0","1.74","0.0","1.74","1.74","13.07","14.15","56.89","50.0","-33.34","33.33","1","2"
"","Jake Gilmour","LW","KGN","18.087","43","0","1","0","1","1","0.0","0.02","0.0","0.02","0.02","314.46","7.31","0.0","0.19","0.0","0.19","0.19","12.75","13.29","38.52","53.22","-6.21","37.5","3","5"
"","Matt Watson","D","PLY","18.391","22","0","1","0","1","1","0.0","0.05","0.0","0.05","0.05","220.36","10.02","0.0","0.27","0.0","0.27","0.27","12.84","13.7","44.71","50.53","-12.44","30.77","4","9"
"","Kyle Langdon","C","NIAG","16.055","8","0","1","0","1","1","0.0","0.12","0.0","0.12","0.12","65.02","8.13","0.0","0.92","0.0","0.92","0.92","11.71","13.24","50.9","53.35","-20.52","33.33","1","2"
"","Jacob Cascagnette","C","KIT","17.484","33","0","1","0","1","1","0.0","0.03","0.0","0.03","0.03","240.72","7.29","0.0","0.25","0.0","0.25","0.25","11.97","13.0","44.94","42.73","-5.97","44.44","4","5"
"","Brook Hiddink","RW","SBY","18.618","8","1","0","0","1","1","0.12","0.0","0.0","0.12","0.12","90.67","11.33","0.66","0.0","0.0","0.66","0.66","13.51","13.48","30.85","48.38","-25.45","20.0","2","8"
"","Jack Kopacka","RW","SSM","16.531","4","0","1","0","1","1","0.0","0.25","0.0","0.25","0.25","28.92","7.23","0.0","2.07","0.0","2.07","2.07","14.09","14.1","65.43","48.03","33.33","100.0","1","0"
"","Justin Bean","D","MISS","18.224","30","0","1","0","1","1","0.0","0.03","0.0","0.03","0.03","367.57","12.25","0.0","0.16","0.0","0.16","0.16","12.72","12.81","40.69","47.77","-7.88","39.29","11","17"
"","David Pearce","LW","OTT","16.682","4","1","0","0","1","1","0.25","0.0","0.0","0.25","0.25","38.56","9.64","1.56","0.0","0.0","1.56","1.56","14.35","13.74","48.98","42.99","-22.23","33.33","1","2"
"","Taylor Egan","D","ER","16.269","3","0","1","0","1","1","0.0","0.33","0.0","0.33","0.33","40.43","13.48","0.0","1.48","0.0","1.48","1.48","12.56","12.96","57.88","46.0","-6.67","60.0","3","2"
"","Jonathon Masters","D","SBY","18.653","29","0","0","2","0","2","0.0","0.0","0.07","0.0","0.07","321.35","11.08","0.0","0.0","0.37","0.0","0.37","13.15","12.92","30.58","52.95","-5.81","26.09","6","17"
"","Jack Kilgour","LW","KIT","16.764","26","0","0","2","0","2","0.0","0.0","0.08","0.0","0.08","192.35","7.4","0.0","0.0","0.62","0.0","0.62","12.22","13.15","46.34","45.13","-7.7","42.86","3","4"
"","Mitchell  Kreis","D","LDN","17.123","6","0","0","2","0","2","0.0","0.0","0.33","0.0","0.33","56.99","9.5","0.0","0.0","2.11","0.0","2.11","12.37","12.71","57.26","42.5","36.36","100.0","4","0"
"","Thomas Welsh","D","KIT","19.62","15","0","0","2","0","2","0.0","0.0","0.13","0.0","0.13","162.46","10.83","0.0","0.0","0.74","0.0","0.74","12.39","13.59","50.8","52.48","23.46","60.0","6","4"
"","Matt Mercer","D","OTT","17.257","23","0","0","1","0","1","0.0","0.0","0.04","0.0","0.04","274.61","11.94","0.0","0.0","0.22","0.0","0.22","13.69","13.04","49.51","47.37","7.78","50.0","10","10"
"","Chase Campbell","RW","SAR","16.228","14","0","0","1","0","1","0.0","0.0","0.07","0.0","0.07","139.26","9.95","0.0","0.0","0.43","0.0","0.43","13.63","13.04","48.89","46.94","-14.66","38.46","5","8"
"","Kyle  Locke","D","NB","18.352","17","0","0","1","0","1","0.0","0.0","0.06","0.0","0.06","181.95","10.7","0.0","0.0","0.33","0.0","0.33","13.01","12.5","51.94","49.82","10.07","63.64","7","4"
"","Luke  Mercer","D","NIAG","20.378","3","0","0","1","0","1","0.0","0.0","0.33","0.0","0.33","42.94","14.31","0.0","0.0","1.4","0.0","1.4","12.76","13.43","47.92","45.66","25.0","75.0","3","1"
"","Evan Krassey","RW","NIAG","16.458","3","0","0","1","0","1","0.0","0.0","0.33","0.0","0.33","25.85","8.62","0.0","0.0","2.32","0.0","2.32","11.43","12.4","42.23","55.85","20.0","100.0","1","0"
"","Mike Vlajkov","D","OTT","19.614","13","0","0","1","0","1","0.0","0.0","0.08","0.0","0.08","173.13","13.32","0.0","0.0","0.35","0.0","0.35","13.25","13.62","50.65","47.38","-15.31","35.71","5","9"
"","Andrew Abou-Assaly","LW","OTT","18.328","4","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","43.81","10.95","0.0","0.0","0.0","0.0","0.0","13.82","13.5","51.16","50.66","-6.67","33.33","1","2"
"","Kelly  Klima","C","LDN","17.279","15","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","112.18","7.48","0.0","0.0","0.0","0.0","0.0","13.9","13.08","51.22","52.99","-36.7","25.0","1","3"
"","Tristen Elie","LW","LDN","18.144","3","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","22.39","7.46","0.0","0.0","0.0","0.0","0.0","13.06","13.54","49.59","41.78","-11.11","0.0","0","1"
"","Dylan Callaghan","RW","SBY","18.015","5","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","44.88","8.98","0.0","0.0","0.0","0.0","0.0","12.79","13.0","24.35","54.48","-9.62","25.0","1","3"
"","Frankie Pucci","LW","ER","17.657","1","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","11.1","11.1","0.0","0.0","0.0","0.0","0.0","12.64","13.6","54.17","46.88","60.0","100.0","1","0"
"","Kody Gagnon","D","BAR","17.701","10","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","120.3","12.03","0.0","0.0","0.0","0.0","0.0","12.09","13.96","49.52","52.38","-13.1","33.33","3","6"
"","David Eccles","D","SSM","18.281","2","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","17.06","8.53","0.0","0.0","0.0","0.0","0.0","10.95","14.89","55.16","49.19","-66.67","0.0","0","1"
"","Connor Schlichting","D","SAR","17.331","12","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","147.55","12.3","0.0","0.0","0.0","0.0","0.0","13.2","13.89","47.58","53.11","-22.18","36.36","4","7"
"","Brett Primeau","RW","KGN","17.421","3","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-40.0","0.0","0","0"
"","Jarett Meyer","D","OS","17.922","34","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","376.16","11.06","0.0","0.0","0.0","0.0","0.0","12.97","13.48","50.52","50.03","-24.66","31.82","7","15"
"","Scott  Teskey","RW","KIT","19.368","2","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","14.91","7.45","0.0","0.0","0.0","0.0","0.0","12.92","11.58","47.27","36.29","50.0","100.0","1","0"
"","Logan  Schmidt","D","KIT","18.363","18","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","258.6","14.37","0.0","0.0","0.0","0.0","0.0","13.18","13.3","52.0","51.6","-30.59","30.43","7","16"
"","Rocky Kaura","D","BAR","17.427","29","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","369.58","12.74","0.0","0.0","0.0","0.0","0.0","11.53","13.4","50.15","44.79","3.48","52.94","18","16"
"","Lucas Chiodo","LW","BAR","15.874","2","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","17.5","8.75","0.0","0.0","0.0","0.0","0.0","12.07","13.3","48.09","57.22","-22.22","0.0","0","2"
"","Ryan Vendramin","LW","SAR","19.368","7","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","52.4","7.49","0.0","0.0","0.0","0.0","0.0","14.46","12.88","50.25","52.39","-16.67","33.33","1","2"
"","Aleks Rapp","RW","GUE","17.509","35","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","239.48","6.84","0.0","0.0","0.0","0.0","0.0","13.12","13.52","45.53","56.81","-46.62","0.0","0","7"
"","Stephan Seeger","LW","OSH","18.579","1","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-57.14","0.0","0","0"
"","Trenton Bourque","D","SBY","16.263","34","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","360.6","10.61","0.0","0.0","0.0","0.0","0.0","12.87","13.08","30.86","50.8","-13.87","19.23","5","21"
"","Connor Burgess","LW","SBY","18.588","8","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","74.11","9.26","0.0","0.0","0.0","0.0","0.0","12.63","13.12","28.09","51.06","-20.83","0.0","0","5"
"","Nikita Yazkov","LW","WSR","18.549","2","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","16.41","8.21","0.0","0.0","0.0","0.0","0.0","13.69","14.04","42.6","63.7","-33.33","0.0","0","1"
"","Jacob Friend","D","OS","17.134","8","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","96.17","12.02","0.0","0.0","0.0","0.0","0.0","11.67","12.7","50.6","39.92","35.71","85.71","6","1"
"","Ryan Valentini","C","LDN","17.175","15","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","107.09","7.14","0.0","0.0","0.0","0.0","0.0","12.9","12.81","53.47","44.53","-8.57","60.0","3","2"
"","Daniel Robertson","D","OSH","17.282","16","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","204.3","12.77","0.0","0.0","0.0","0.0","0.0","12.44","13.33","64.94","43.65","7.15","66.67","8","4"
"","Chase Hawley","D","SBY","17.618","1","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0"
"","Nikko Sablone","RW","WSR","19.516","3","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","22.32","7.44","0.0","0.0","0.0","0.0","0.0","14.45","13.79","45.38","57.72","-39.13","0.0","0","1"
"","Alex Annecchiarico","LW","OS","19.532","4","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","36.45","9.11","0.0","0.0","0.0","0.0","0.0","12.66","13.03","51.03","55.68","-37.26","33.33","1","2"
"","Nathan Mater","LW","SAR","20.537","2","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-85.71","0.0","0","0"
"","Kyle  Moore","RW","NB","16.652","3","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","24.76","8.25","0.0","0.0","0.0","0.0","0.0","16.9","14.3","53.03","68.11","-25.0","0.0","0","1"
"","Johnathon Schaefer","D","NIAG","16.449","6","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","56.35","9.39","0.0","0.0","0.0","0.0","0.0","12.02","12.93","47.35","43.85","25.29","66.67","2","1"
"","Noah Robinson","RW","MISS","17.317","11","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","92.59","8.42","0.0","0.0","0.0","0.0","0.0","13.07","12.51","36.91","44.73","-10.29","25.0","1","3"
"","Michael Silveri","LW","SBY","17.528","8","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","56.09","7.01","0.0","0.0","0.0","0.0","0.0","12.77","13.03","31.72","49.99","13.64","50.0","1","1"
"","Ryan Migliaccio","RW","GUE","19.059","2","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-33.33","0.0","0","0"
"","Domenico Commisso","C","OSH","16.57","1","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-40.0","0.0","0","0"
"","Nic Sicoly","LW","GUE","16.693","4","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-37.5","0.0","0","0"
