"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Eric Henderson","LW","HAM/OSH","20.397","56","12","13","12","25","37","131","9.16","0.21","0.23","0.21","0.45","0.66","2.34","13.4","0.24","4","28","14.29","3","23","13.04","5","80","6.25","287","647","44.36"
"","Tyler Angle","C","WSR","17.958","47","17","8","10","25","35","120","14.17","0.36","0.17","0.21","0.53","0.74","2.55","10.68","0.23","4","14","28.57","3","19","15.79","10","87","11.49","359","692","51.88"
"","Barret Kirwin","C","GUE/OS","18.574","53","15","10","8","25","33","111","13.51","0.28","0.19","0.15","0.47","0.62","2.09","11.77","0.22","2","14","14.29","4","21","19.05","9","76","11.84","447","777","57.53"
"","Maxim Golod","LW","ER","18.076","48","15","10","5","25","30","124","12.1","0.31","0.21","0.1","0.52","0.62","2.58","13.88","0.29","5","19","26.32","3","26","11.54","7","79","8.86","1","7","14.29"
"","Cole Schwindt","RW","MISS","17.391","55","14","10","9","24","33","120","11.67","0.25","0.18","0.16","0.44","0.6","2.18","11.07","0.2","5","20","25.0","3","15","20.0","6","85","7.06","418","804","51.99"
"","Calvin Martin","LW","SAR","18.998","57","12","12","8","24","32","76","15.79","0.21","0.21","0.14","0.42","0.56","1.33","7.93","0.14","5","16","31.25","6","18","33.33","1","42","2.38","10","25","40.0"
"","Sean Durzi","D","GUE/OS","19.902","30","8","16","8","24","32","95","8.42","0.27","0.53","0.27","0.8","1.07","3.17","7.48","0.25","1","5","20.0","0","6","0.0","7","84","8.33","0","0","0.0"
"","Brady Gilmour","C","SAG","19.412","51","10","14","7","24","31","82","12.2","0.2","0.27","0.14","0.47","0.61","1.61","9.11","0.18","4","21","19.05","3","18","16.67","3","43","6.98","226","470","48.09"
"","Josh Nelson","C","LDN","19.305","51","15","9","6","24","30","87","17.24","0.29","0.18","0.12","0.47","0.59","1.71","9.36","0.18","4","15","26.67","5","18","27.78","6","54","11.11","152","351","43.3"
"","Nick McHugh","LW","KIT/MISS","19.587","43","11","13","6","24","30","96","11.46","0.26","0.3","0.14","0.56","0.7","2.23","9.9","0.23","3","15","20.0","2","17","11.76","6","64","9.38","19","37","51.35"
"","Sam Bitten","C","OTT","18.486","54","11","13","4","24","28","59","18.64","0.2","0.24","0.07","0.44","0.52","1.09","7.36","0.14","4","11","36.36","2","19","10.53","5","29","17.24","63","161","39.13"
"","Darian Pilon","LW","SBY","19.954","51","13","11","4","24","28","92","14.13","0.25","0.22","0.08","0.47","0.55","1.8","9.11","0.18","3","10","30.0","1","14","7.14","9","68","13.24","56","126","44.44"
"","Jack Wismer","RW","FLNT","18.558","58","13","11","4","24","28","76","17.11","0.22","0.19","0.07","0.41","0.48","1.31","7.6","0.13","5","9","55.56","4","18","22.22","4","49","8.16","53","118","44.92"
"","Kyen Sopa","RW","NIAG","17.958","45","16","8","4","24","28","75","21.33","0.36","0.18","0.09","0.53","0.62","1.67","7.57","0.17","3","14","21.43","3","15","20.0","10","46","21.74","19","32","59.38"
"","Tyler Tucker","D","BAR","18.541","55","8","15","19","23","42","139","5.76","0.15","0.27","0.35","0.42","0.76","2.53","7.24","0.13","0","3","0.0","1","5","20.0","7","131","5.34","0","3","0.0"
"","Declan Chisholm","D","PBO","18.675","54","3","20","15","23","38","104","2.88","0.06","0.37","0.28","0.43","0.7","1.93","5.67","0.11","0","3","0.0","0","8","0.0","3","93","3.23","0","1","0.0"
"","Owen Robinson","LW","SBY","18.519","47","7","16","9","23","32","81","8.64","0.15","0.34","0.19","0.49","0.68","1.72","8.37","0.18","3","13","23.08","2","15","13.33","2","53","3.77","3","9","33.33"
"","Antonio Stranges","LW","LDN","16.608","53","11","12","9","23","32","94","11.7","0.21","0.23","0.17","0.43","0.6","1.77","6.79","0.13","0","5","0.0","4","16","25.0","7","73","9.59","17","26","65.38"
"","Jaden Peca","RW","SSM/BAR","19.412","48","11","12","8","23","31","94","11.7","0.23","0.25","0.17","0.48","0.65","1.96","11.28","0.24","5","18","27.78","3","14","21.43","3","62","4.84","13","48","27.08"
"","Brayden Guy","LW","SAR","17.536","57","18","5","8","23","31","114","15.79","0.32","0.09","0.14","0.4","0.54","2.0","12.44","0.22","5","19","26.32","6","25","24.0","7","70","10.0","3","11","27.27"
"","Brady Hinz","RW","PBO","18.369","52","14","9","7","23","30","86","16.28","0.27","0.17","0.13","0.44","0.58","1.65","9.67","0.19","3","15","20.0","5","12","41.67","6","59","10.17","94","195","48.21"
"","Nick Isaacson","LW","MISS/PBO","19.097","54","10","13","7","23","30","134","7.46","0.19","0.24","0.13","0.43","0.56","2.48","10.98","0.2","0","11","0.0","3","18","16.67","7","105","6.67","12","30","40.0"
"","Nicholas Porco","LW","SAG","17.512","54","18","5","5","23","28","134","13.43","0.33","0.09","0.09","0.43","0.52","2.48","14.68","0.27","3","17","17.65","8","31","25.81","7","86","8.14","11","26","42.31"
"","Jacob Tortora","RW","BAR","19.143","33","16","7","1","23","24","100","16.0","0.48","0.21","0.03","0.7","0.73","3.03","12.22","0.37","5","15","33.33","5","19","26.32","6","66","9.09","19","32","59.38"
"","Ivan Lodnia","RW","NIAG","19.042","30","12","10","10","22","32","130","9.23","0.4","0.33","0.33","0.73","1.07","4.33","14.23","0.47","1","10","10.0","3","29","10.34","8","91","8.79","21","51","41.18"
"","Brady Lyle","D","OS","19.278","56","9","13","9","22","31","163","5.52","0.16","0.23","0.16","0.39","0.55","2.91","9.73","0.17","1","2","50.0","3","8","37.5","5","153","3.27","0","0","0.0"
"","Daylon Groulx","RW","OS","18.273","56","14","8","8","22","30","131","10.69","0.25","0.14","0.14","0.39","0.54","2.34","13.8","0.25","5","20","25.0","1","25","4.0","8","86","9.3","47","95","49.47"
"","Pavel Gogolev","LW","GUE/PBO","18.571","34","10","12","5","22","27","101","9.9","0.29","0.35","0.15","0.65","0.79","2.97","12.45","0.37","2","16","12.5","2","12","16.67","6","73","8.22","3","6","50.0"
"","Justin Murray","D","SAG/BAR","20.066","54","11","10","11","21","32","131","8.4","0.2","0.19","0.2","0.39","0.59","2.43","6.33","0.12","2","3","66.67","2","9","22.22","7","119","5.88","1","2","50.0"
"","Matvey Guskov","C","LDN","17.624","45","12","9","7","21","28","89","13.48","0.27","0.2","0.16","0.47","0.62","1.98","9.2","0.2","3","15","20.0","4","25","16.0","5","49","10.2","10","25","40.0"
"","Danial Singer","RW","ER","19.595","41","15","6","3","21","24","98","15.31","0.37","0.15","0.07","0.51","0.59","2.39","11.44","0.28","3","13","23.08","7","23","30.43","5","62","8.06","3","5","60.0"
"","Mitchell Hoelscher","C","OTT","18.634","54","9","11","13","20","33","77","11.69","0.17","0.2","0.24","0.37","0.61","1.43","7.89","0.15","3","14","21.43","1","13","7.69","5","50","10.0","428","795","53.84"
"","Emmett Sproule","LW","ER","17.492","55","9","11","8","20","28","69","13.04","0.16","0.2","0.15","0.36","0.51","1.25","7.06","0.13","3","13","23.08","1","12","8.33","5","44","11.36","10","30","33.33"
"","Jack Quinn","RW","OTT","16.989","50","12","8","7","20","27","82","14.63","0.24","0.16","0.14","0.4","0.54","1.64","6.2","0.12","6","10","60.0","3","13","23.08","3","59","5.08","12","27","44.44"
"","Zack Trott","LW","SSM","18.349","55","8","12","6","20","26","111","7.21","0.15","0.22","0.11","0.36","0.47","2.02","11.05","0.2","2","20","10.0","3","16","18.75","3","75","4.0","16","53","30.19"
"","Connor Corcoran","D","WSR","18.106","57","8","12","6","20","26","119","6.72","0.14","0.21","0.11","0.35","0.46","2.09","6.32","0.11","0","2","0.0","2","7","28.57","6","110","5.45","0","0","0.0"
"","Mathew MacDougall","LW","ER/WSR","18.645","56","10","10","6","20","26","100","10.0","0.18","0.18","0.11","0.36","0.46","1.79","9.51","0.17","0","11","0.0","1","12","8.33","9","77","11.69","12","29","41.38"
"","Kaleb Pearson","RW","OS","18.251","54","11","9","5","20","25","93","11.83","0.2","0.17","0.09","0.37","0.46","1.72","7.95","0.15","4","9","44.44","1","15","6.67","6","69","8.7","12","18","66.67"
"","Nick King","D","NB","19.672","53","8","11","15","19","34","101","7.92","0.15","0.21","0.28","0.36","0.64","1.91","4.44","0.08","1","1","100.0","0","2","0.0","7","98","7.14","1","2","50.0"
"","Brandon Coe","RW","NB","16.789","53","13","6","11","19","30","80","16.25","0.25","0.11","0.21","0.36","0.57","1.51","9.85","0.19","5","18","27.78","2","14","14.29","6","48","12.5","19","45","42.22"
"","Domenico Commisso","C","GUE/OSH","20.57","48","8","11","9","19","28","102","7.84","0.17","0.23","0.19","0.4","0.58","2.12","11.73","0.24","3","18","16.67","3","11","27.27","2","73","2.74","445","767","58.02"
"","Logan Morrison","C","HAM","16.187","36","11","8","8","19","27","65","16.92","0.31","0.22","0.22","0.53","0.75","1.81","6.5","0.18","2","9","22.22","2","13","15.38","7","43","16.28","158","399","39.6"
"","Matthew Philip","LW","NIAG","19.294","54","10","9","8","19","27","117","8.55","0.19","0.17","0.15","0.35","0.5","2.17","11.3","0.21","1","17","5.88","6","18","33.33","3","82","3.66","60","117","51.28"
"","Alexey Lipanov","C","KIT","19.08","48","9","10","6","19","25","71","12.68","0.19","0.21","0.12","0.4","0.52","1.48","6.54","0.14","1","5","20.0","2","11","18.18","6","55","10.91","231","472","48.94"
"","Graeme Clarke","RW","OTT","17.394","43","17","2","5","19","24","85","20.0","0.4","0.05","0.12","0.44","0.56","1.98","8.88","0.21","5","10","50.0","3","12","25.0","9","63","14.29","1","6","16.67"
"","Cameron Butler","RW","PBO","16.269","51","15","4","2","19","21","80","18.75","0.29","0.08","0.04","0.37","0.41","1.57","5.91","0.12","0","9","0.0","2","8","25.0","13","63","20.63","6","13","46.15"
"","Semyon Der-Arguchintsev","C","PBO","17.999","49","6","12","18","18","36","84","7.14","0.12","0.24","0.37","0.37","0.73","1.71","7.95","0.16","1","8","12.5","1","14","7.14","4","62","6.45","406","793","51.2"
"","Joey Keane","D","BAR/LDN","19.206","52","7","11","16","18","34","146","4.79","0.13","0.21","0.31","0.35","0.65","2.81","9.81","0.19","1","4","25.0","1","10","10.0","5","132","3.79","0","1","0.0"
"","Michael Little","LW","MISS/PBO","18.566","49","9","9","7","18","25","115","7.83","0.18","0.18","0.14","0.37","0.51","2.35","11.91","0.24","3","18","16.67","3","16","18.75","3","81","3.7","66","129","51.16"
"","Drake Pilon","RW","SBY","19.954","42","9","9","6","18","24","86","10.47","0.21","0.21","0.14","0.43","0.57","2.05","8.38","0.2","4","14","28.57","2","10","20.0","3","62","4.84","84","150","56.0"
"","Owen Lalonde","D","GUE","18.621","55","7","10","14","17","31","90","7.78","0.13","0.18","0.25","0.31","0.56","1.64","4.43","0.08","1","4","25.0","1","4","25.0","5","82","6.1","0","0","0.0"
"","Alec Regula","D","LDN","18.109","52","8","9","14","17","31","104","7.69","0.15","0.17","0.27","0.33","0.6","2.0","7.49","0.14","2","4","50.0","1","8","12.5","5","92","5.43","0","1","0.0"
"","Aidan Prueter","C","SAG/MISS","16.734","53","8","9","13","17","30","124","6.45","0.15","0.17","0.25","0.32","0.57","2.34","14.43","0.27","2","26","7.69","4","30","13.33","2","68","2.94","364","693","52.53"
"","Billy Constantinou","D","KGN/NIAG","17.476","55","7","10","11","17","28","117","5.98","0.13","0.18","0.2","0.31","0.51","2.13","6.4","0.12","0","2","0.0","1","5","20.0","6","110","5.45","2","3","66.67"
"","Tyler Burnie","C","KGN","19.598","54","5","12","8","17","25","104","4.81","0.09","0.22","0.15","0.31","0.46","1.93","10.58","0.2","0","14","0.0","2","19","10.53","3","71","4.23","572","1071","53.41"
"","Erik Cermak","LW","PBO","17.539","55","8","9","7","17","24","65","12.31","0.15","0.16","0.13","0.31","0.44","1.18","6.78","0.12","2","8","25.0","5","17","29.41","1","40","2.5","174","345","50.43"
"","Paul Cotter","C","LDN","18.831","35","7","10","5","17","22","83","8.43","0.2","0.29","0.14","0.49","0.63","2.37","9.0","0.26","2","14","14.29","2","19","10.53","3","50","6.0","169","281","60.14"
"","Hunter Holmes","C","FLNT","18.64","58","8","9","4","17","21","94","8.51","0.14","0.16","0.07","0.29","0.36","1.62","10.09","0.17","2","17","11.76","1","14","7.14","5","63","7.94","191","403","47.39"
"","Jacob Winterton","LW","FLNT","17.681","57","10","7","3","17","20","66","15.15","0.18","0.12","0.05","0.3","0.35","1.16","5.52","0.1","3","6","50.0","4","15","26.67","3","45","6.67","13","30","43.33"
"","James Hardie","LW","MISS","16.657","49","13","4","1","17","18","92","14.13","0.27","0.08","0.02","0.35","0.37","1.88","5.93","0.12","3","11","27.27","4","9","44.44","6","72","8.33","0","4","0.0"
"","Luke Boka","RW","WSR","19.261","53","9","7","10","16","26","105","8.57","0.17","0.13","0.19","0.3","0.49","1.98","12.19","0.23","4","19","21.05","2","15","13.33","3","71","4.23","133","297","44.78"
