,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
106,Christian Ouellet,RW,GAT/CHI,20.05,68,25,20,23,45,68,160,15.62,0.37,0.29,0.34,0.66,1.0,2.35,121,305,39.67
107,Etienne Boutet,D,RIM/GAT,19.79,111,18,33,16,51,67,211,8.77,0.16,0.28,0.15,0.44,0.59,1.83,1,3,16.665
108,Jimmy Oligny,D,PEI,18.878,123,19,16,31,35,66,209,8.805,0.15,0.13,0.25,0.28,0.53,1.695,0,0,0.0
109,Alexandre Grenier,RW,HAL/DRU/SHE,18.986,103,25,28,12,53,65,155,8.995,0.195,0.22,0.1,0.415,0.515,1.29,31,75,20.945
110,Vincent Dunn,LW,VDO,16.504,109,30,23,12,53,65,171,15.475,0.28,0.215,0.115,0.495,0.605,1.59,324,690,46.225
111,Maxime St-Cyr,C,ROU,18.084,125,35,20,10,55,65,235,13.3,0.265,0.155,0.08,0.425,0.505,1.855,913,1779,50.08
112,Jean-Gabriel Pageau,C,GAT/CHI,18.842,46,32,18,15,50,65,196,16.33,0.7,0.39,0.33,1.09,1.41,4.26,625,1131,55.26
113,Gabryel Paquin-Boudreau,LW,BAC,17.566,67,22,25,16,47,63,150,14.67,0.33,0.37,0.24,0.7,0.94,2.24,4,11,36.36
114,Carl-Antoine Delisle,LW,VIC,18.744,124,27,18,18,45,63,228,11.67,0.215,0.145,0.15,0.36,0.505,1.825,556,1187,47.29
115,Tomas Pavelka,D,PEI,18.798,123,14,19,30,33,63,243,5.8,0.115,0.16,0.25,0.28,0.53,1.985,1,2,25.0
116,Michael Chaput,C,SHA,19.434,57,21,24,18,45,63,177,11.86,0.37,0.42,0.32,0.79,1.11,3.11,777,1254,61.96
117,Frederick Gaudreau,C,SHA,18.875,132,18,28,17,46,63,215,8.15,0.135,0.21,0.125,0.345,0.47,1.61,963,1880,51.715
118,Nikita Kucherov,RW,ROU/QUE,19.247,33,29,19,15,48,63,126,23.02,0.88,0.58,0.45,1.45,1.91,3.82,0,0,0.0
119,Jeremy Gregoire,RW,CHI/BAC,16.529,123,34,18,10,52,62,248,13.86,0.28,0.145,0.08,0.425,0.505,2.01,633,1166,53.47
120,Ivan Barbashev,C,MON,16.756,68,18,26,18,44,62,205,8.78,0.26,0.38,0.26,0.65,0.91,3.01,271,560,48.39
121,Dillon Fournier,D,ROU,17.753,111,15,28,19,43,62,134,11.37,0.135,0.26,0.175,0.395,0.57,1.205,1,1,50.0
122,Cole Hawes,LW,BLB/DRU/SHE,19.059,101,22,23,17,45,62,156,14.93,0.225,0.22,0.145,0.445,0.59,1.525,59,111,52.36
123,Andrew Ryan,LW,HAL,18.166,101,31,14,17,45,62,180,16.785,0.3,0.135,0.17,0.44,0.605,1.755,58,125,43.48
124,Kyle Farrell,C,CAP,18.076,98,26,26,10,52,62,251,10.375,0.275,0.275,0.1,0.55,0.65,2.695,426,872,48.97
125,David Rose,RW,BAC/CAP,20.088,67,17,28,17,45,62,217,7.83,0.25,0.42,0.25,0.67,0.93,3.24,72,159,45.28
126,Taylor Burke,RW,GAT,17.733,105,29,21,11,50,61,160,16.5,0.255,0.2,0.11,0.45,0.56,1.51,1196,2313,51.735
127,Petr Sidlik,D,VIC,18.158,119,11,29,20,40,60,170,5.93,0.095,0.25,0.175,0.35,0.52,1.455,0,0,0.0
128,Pierre Durepos,D,SNB,20.058,106,9,23,28,32,60,184,5.02,0.095,0.225,0.27,0.32,0.59,1.78,2,4,33.335
129,Frederik Gauthier,C,RIM,17.391,62,22,21,17,43,60,119,18.49,0.35,0.34,0.27,0.69,0.97,1.92,682,1463,46.62
130,Anthony Verret,C,ROU/QUE/SHE,19.105,114,22,18,19,40,59,179,12.265,0.2,0.165,0.165,0.36,0.525,1.59,950,1885,50.545
131,Artem Sergeev,D,VDO,18.905,101,13,20,26,33,59,235,5.72,0.13,0.19,0.25,0.32,0.57,2.31,0,0,0.0
132,Laurent Dauphin,C,CHI,17.476,62,25,23,9,48,57,200,12.5,0.4,0.37,0.15,0.77,0.92,3.23,407,843,48.28
133,Christophe Lalonde,RW,MON,18.174,128,32,13,12,45,57,307,9.18,0.25,0.1,0.095,0.355,0.45,2.405,17,43,35.08
134,Nick Sorensen,RW,QUE,17.397,54,25,23,8,48,56,168,18.215,0.525,0.405,0.135,0.935,1.07,2.96,31,63,25.0
135,Michael Bournival,C,SHA,19.291,41,30,14,12,44,56,169,17.75,0.73,0.34,0.29,1.07,1.37,4.12,367,659,55.69
136,Jean-Christophe Laflamme,RW,BLB/SHE,18.33,122,28,19,8,47,55,239,12.17,0.225,0.16,0.065,0.385,0.45,1.95,23,54,39.285
137,Bryce Milson,LW,DRU/CAP,19.138,126,24,20,11,44,55,226,10.575,0.19,0.16,0.09,0.35,0.44,1.795,408,864,46.825
138,Jean-Francois Plante,RW,RIM,18.714,112,25,11,19,36,55,228,10.64,0.22,0.1,0.175,0.32,0.495,2.03,69,178,39.19
139,Kirill Kabanov,RW,SHA,19.165,50,21,21,13,42,55,144,14.58,0.42,0.42,0.26,0.84,1.1,2.88,10,28,35.71
140,Jason Houde,LW,ROU/QUE,18.579,133,23,23,8,46,54,206,10.73,0.175,0.17,0.06,0.345,0.405,1.545,24,67,35.05
141,Steven Mercier,LW,ROU,19.119,135,19,18,16,37,53,140,13.89,0.14,0.13,0.12,0.27,0.39,1.035,560,1197,46.915
142,Philippe Sanche,RW,BLB,17.301,62,18,20,15,38,53,102,17.65,0.29,0.32,0.24,0.61,0.85,1.65,36,85,42.35
143,Tomas Filippi,RW,BAC,19.365,60,19,21,13,40,53,187,10.16,0.32,0.35,0.22,0.67,0.88,3.12,365,734,49.73
144,Maxime Villemaire,C,SNB/DRU,19.42,78,29,13,10,42,52,236,12.255,0.39,0.18,0.13,0.57,0.7,3.205,131,279,46.395
145,Morgan Ellis,D,CAP/SHA,19.376,60,15,17,20,32,52,199,7.54,0.25,0.28,0.33,0.53,0.87,3.32,0,0,0.0
146,Nathan Beaulieu,D,SNB,18.777,53,11,21,20,32,52,150,7.33,0.21,0.4,0.38,0.6,0.98,2.83,0,1,0.0
147,Nicolas Larocque-Marcoux,D,VDO,19.806,62,21,17,14,38,52,153,13.73,0.34,0.27,0.23,0.61,0.84,2.47,3,13,23.08
148,Mathieu Lemay,RW,ROU,17.241,116,23,20,9,43,52,235,9.885,0.2,0.17,0.08,0.37,0.45,2.025,12,47,25.27
149,Matthew Boudens,C,DRU,18.506,103,24,10,17,34,51,185,12.425,0.22,0.08,0.155,0.295,0.45,1.715,279,578,47.82
