,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
474,Simon-Yves Lazure,D,GAT,16.991,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
475,Alexandre Mineault,D,QUE,19.686,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12
476,Guillaume Coude-Tremblay,RW,CHI,17.405,9,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11
477,Yanick Bernier-Daoust,LW,CHI,17.621,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,Kirk Forrest,RW,HAL,19.368,25,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.08
479,Nicolas Chouinard,RW,CAP,15.825,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,Alexandre Szabadkai,D,VDO,17.569,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Darren Aubin,LW,QUE,17.019,27,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.37
482,Charles Vouligny,D,DRU,16.419,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
483,Boby Fugere,RW,DRU/QUE,16.737,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,Christopher Stevens,D,RIM,17.528,6,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.33
485,Olivier Legault,LW,RIM,19.954,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,Gregory Heroux,C,CHI,16.939,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,Jean-Simon Legros,D,BAT,17.008,7,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14
488,David Foucher,D,VIC,17.087,18,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.28
489,Samuel Faille,C,DRU,17.334,6,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.83
490,Maxime Labelle,RW,DRU,17.216,23,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.22
491,Guillaume Tougas,D,ROU,16.97,42,0,0,0,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.67
492,Ryan Rippey,RW,SHA,18.07,10,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
493,Sebastien Comeau,D,DRU,19.327,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,Christian Morin,D,VDO,16.091,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,Jordan Cheechoo,C,GAT,18.182,5,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
