,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
495,Alexander Krief,D,CHI,16.499,41,1,1,2,2,4,49,2.04,0.02,0.02,0.05,0.05,0.1,1.2,1.99,0.05,589.94,14.39,0.1,0.1,0.2,0.2,0.41,4.98,0.2,17.33,16.9,51.26,48.47,-4.96,45.95,17,20,0,0,0.0,0,0,0.0,1,49,2.04,1,1,100.0
496,Owen Bennington,LW,VDO/SHE,19.447,66,2,2,0,4,4,19,10.53,0.03,0.03,0.0,0.06,0.06,0.29,2.33,0.04,601.09,9.11,0.2,0.2,0.0,0.4,0.4,1.9,0.23,16.87,17.18,46.69,52.84,-24.1,23.33,7,23,0,1,0.0,1,4,25.0,1,14,7.14,0,0,0.0
497,Jeremy Groleau,D,CHI,15.891,42,1,1,2,2,4,17,5.88,0.02,0.02,0.05,0.05,0.1,0.4,0.72,0.02,669.53,15.94,0.09,0.09,0.18,0.18,0.36,1.52,0.06,17.54,17.73,49.23,51.2,-11.78,42.86,24,32,0,0,0.0,0,0,0.0,1,17,5.88,0,0,0.0
498,Jacob Garon-Landry,D,BAT/BAC,17.62,30,1,0,3,1,4,19,2.63,0.02,0.0,0.055,0.02,0.075,0.35,0.285,0.01,239.105,15.63,0.07,0.0,0.21,0.07,0.275,1.32,0.04,16.77,17.555,39.67,50.575,-6.19,26.25,12,32,0,0,0.0,0,1,0.0,1,18,2.78,0,0,0.0
499,Simon Lefebvre,RW,VIC,16.614,28,0,2,2,2,4,11,0.0,0.0,0.07,0.07,0.07,0.14,0.39,0.74,0.03,239.75,8.56,0.0,0.5,0.5,0.5,1.0,2.75,0.19,15.6,15.83,44.79,44.13,-0.27,50.0,4,4,0,1,0.0,0,1,0.0,0,9,0.0,1,2,50.0
500,Mark Bzowey,LW,CHI,18.506,19,1,1,2,2,4,22,4.55,0.05,0.05,0.11,0.11,0.21,1.16,1.9,0.1,230.33,12.12,0.26,0.26,0.52,0.52,1.04,5.73,0.5,17.4,18.52,44.95,53.99,-18.79,35.29,6,11,0,4,0.0,0,2,0.0,1,16,6.25,0,0,0.0
501,Xavier St-Pierre,D,RIM,18.667,20,0,3,1,3,4,6,0.0,0.0,0.15,0.05,0.15,0.2,0.3,0.18,0.01,249.62,12.48,0.0,0.72,0.24,0.72,0.96,1.44,0.04,16.15,16.05,54.68,46.6,3.93,58.82,10,7,0,0,0.0,0,0,0.0,0,6,0.0,0,0,0.0
502,Samuel Gaumond,C,DRU,16.619,30,1,2,0,3,3,21,4.76,0.03,0.07,0.0,0.1,0.1,0.7,1.71,0.06,340.84,11.36,0.18,0.35,0.0,0.53,0.53,3.7,0.3,17.14,17.89,37.4,53.3,-14.08,27.59,8,21,0,4,0.0,0,0,0.0,1,17,5.88,44,88,50.0
503,Matthew Thorpe,D,BLB,18.098,29,0,2,1,2,3,26,0.0,0.0,0.07,0.03,0.07,0.1,0.9,0.42,0.01,454.47,15.67,0.0,0.26,0.13,0.26,0.4,3.43,0.06,16.66,17.92,49.13,53.63,-14.55,36.67,11,19,0,0,0.0,0,0,0.0,0,26,0.0,0,0,0.0
504,Simon Lafrance,C,VDO,16.926,3,1,1,1,2,3,4,25.0,0.33,0.33,0.33,0.67,1.0,1.33,0.77,0.26,46.9,15.63,1.28,1.28,1.28,2.56,3.84,5.12,0.98,16.03,17.42,61.98,45.2,-11.18,62.5,5,3,0,1,0.0,1,1,100.0,0,2,0.0,19,52,36.54
