,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
389,Ryan Stepien,RW,SAG,15.989,50,10,4,2,14,16,55,18.18,0.2,0.08,0.04,0.28,0.32,1.1,5.89,0.12,1,9,11.11,2,7,28.57,7,39,17.95,8,14,57.14
390,Connor McMichael,C,HAM/LDN,16.666,60,8,8,0,16,16,94,8.51,0.13,0.13,0.0,0.27,0.27,1.57,11.78,0.2,3,14,21.43,2,29,6.9,3,51,5.88,132,301,43.85
391,Hudson Wilson,D,OTT,17.871,105,2,6,8,8,16,96,1.725,0.015,0.045,0.07,0.06,0.13,0.925,2.125,0.045,0,2,0.0,0,4,0.0,2,90,1.785,2,4,50.0
392,Jacob Golden,D,LDN,17.992,101,2,5,9,7,16,89,1.37,0.015,0.045,0.08,0.065,0.135,0.79,3.38,0.06,0,7,0.0,1,15,4.165,1,67,0.925,3,5,30.0
393,Chad Yetman,RW,ER,17.575,56,9,5,2,14,16,63,14.29,0.16,0.09,0.04,0.25,0.29,1.12,7.71,0.14,4,16,25.0,1,6,16.67,4,41,9.76,14,44,31.82
394,Filip Helt,LW,SAR,18.437,53,4,8,4,12,16,50,8.0,0.08,0.15,0.08,0.23,0.3,0.94,6.64,0.13,1,8,12.5,1,10,10.0,2,32,6.25,1,5,20.0
395,Cole Cameron,D,OS,18.854,127,2,4,10,6,16,96,2.13,0.02,0.035,0.08,0.045,0.125,0.75,2.495,0.04,0,3,0.0,0,6,0.0,2,87,2.335,1,5,10.0
396,Eric Guest,C,KIT,16.892,86,8,5,3,13,16,76,9.89,0.095,0.06,0.035,0.15,0.185,0.885,3.855,0.09,4,12,37.145,4,14,27.085,0,50,0.0,157,357,43.06
397,Conor Ali,D,SBY/SBY/KGN,18.022,114,0,9,7,9,16,56,0.0,0.0,0.08,0.06,0.08,0.135,0.485,1.28,0.025,0,1,0.0,0,3,0.0,0,52,0.0,0,2,0.0
398,Christopher Cameron,D,BAR,17.8,106,3,4,9,7,16,80,3.655,0.025,0.035,0.085,0.065,0.145,0.75,1.345,0.025,0,0,0.0,0,0,0.0,3,80,3.655,0,1,0.0
399,Aaron Haydon,D,NIAG,20.693,50,8,4,3,12,15,97,8.25,0.16,0.08,0.06,0.24,0.3,1.94,5.46,0.11,2,5,40.0,0,5,0.0,6,87,6.9,3,6,50.0
400,Danny Katic,LW,SAG,16.615,66,4,8,3,12,15,59,4.0,0.035,0.075,0.025,0.11,0.135,0.865,2.615,0.09,3,11,18.75,0,5,0.0,1,43,1.28,6,17,31.73
401,Keean Washkurak,C,MISS,16.082,61,6,5,4,11,15,78,7.69,0.1,0.08,0.07,0.18,0.25,1.28,8.85,0.15,1,12,8.33,1,16,6.25,4,50,8.0,156,363,42.98
402,Thomas Harley,D,MISS,16.074,62,1,6,8,7,15,60,1.67,0.02,0.1,0.13,0.11,0.24,0.97,2.43,0.04,0,0,0.0,0,2,0.0,1,58,1.72,0,0,0.0
403,Daniel Walker,LW,NB,17.83,91,7,3,5,10,15,132,4.73,0.1,0.045,0.045,0.145,0.19,1.575,6.52,0.155,1,17,5.555,1,30,3.125,5,85,5.1,17,42,37.5
404,Oliver True,RW,OTT,17.367,58,6,6,3,12,15,68,8.82,0.1,0.1,0.05,0.21,0.26,1.17,7.97,0.14,3,16,18.75,0,10,0.0,3,42,7.14,10,31,32.26
405,Nathan Allensen,D,BAR,16.37,55,2,5,8,7,15,38,5.26,0.04,0.09,0.15,0.13,0.27,0.69,1.27,0.02,0,0,0.0,1,2,50.0,1,36,2.78,0,1,0.0
406,Anthony Tabak,LW,SBY,15.776,51,6,4,4,10,14,50,12.0,0.12,0.08,0.08,0.2,0.27,0.98,5.54,0.11,6,15,40.0,0,6,0.0,0,29,0.0,6,19,31.58
407,Nico Gross,D,OSH,17.638,58,4,8,2,12,14,53,7.55,0.07,0.14,0.03,0.21,0.24,0.91,3.47,0.06,1,2,50.0,0,3,0.0,3,48,6.25,0,1,0.0
408,Nicholas Canade,LW,MISS,17.525,63,6,4,4,10,14,90,6.67,0.1,0.06,0.06,0.16,0.22,1.43,8.5,0.13,0,8,0.0,1,14,7.14,5,68,7.35,4,12,33.33
409,Hakon Nilsen,D,FLNT,19.112,104,3,4,7,7,14,79,6.82,0.035,0.035,0.065,0.07,0.135,0.72,1.65,0.03,0,1,0.0,0,2,0.0,3,76,7.145,0,0,0.0
