,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
566,Riley Coome,D,LDN,18.193,99,1,3,6,4,10,77,1.11,0.01,0.027,0.043,0.037,0.08,0.67,0.61,0.017,0,0,0.0,0,0,0.0,1,77,1.11,1,2,33.333
567,Lleyton Moore,D,NIAG,16.548,28,2,5,3,7,10,38,5.26,0.07,0.18,0.11,0.25,0.36,1.36,1.56,0.06,1,1,100.0,0,4,0.0,1,33,3.03,0,1,0.0
568,Owen Burnell,LW/C,HAM,19.061,41,3,3,4,6,10,32,7.647,0.077,0.057,0.067,0.133,0.203,0.607,1.12,0.067,1,5,11.11,1,7,6.667,1,20,5.557,69,160,40.2
569,Jaromir Pytlik,RW,SSM,16.972,13,6,1,3,7,10,23,26.09,0.46,0.08,0.23,0.54,0.77,1.77,2.94,0.23,2,7,28.57,2,5,40.0,2,11,18.18,1,2,50.0
570,Cullen Mercer,C,FLNT,19.373,37,5,4,0,9,9,62,8.06,0.14,0.11,0.0,0.24,0.24,1.68,7.69,0.21,1,7,14.29,2,13,15.38,2,42,4.76,122,271,45.02
571,Daniel Bukac,D,NIAG,19.382,39,2,3,4,5,9,49,4.08,0.05,0.08,0.1,0.13,0.23,1.26,1.9,0.05,0,1,0.0,1,2,50.0,1,46,2.17,0,1,0.0
572,Ryan Orban,D,OTT,19.146,66,1,3,5,4,9,43,2.33,0.02,0.05,0.08,0.06,0.14,0.65,1.95,0.03,0,1,0.0,1,2,50.0,0,40,0.0,1,2,50.0
573,Kyle Auger,D,OTT,36.406,53,2,3,4,5,9,50,4.76,0.04,0.18000000000000002,0.32999999999999996,0.23,0.56,2.05,2.33,0.08,0,2,0.0,0,1,0.0,2,47,5.13,0,0,0.0
574,Andrew Burns,D,WSR/KIT,19.617,65,0,3,6,3,9,44,0.0,0.0,0.05,0.09,0.05,0.14,0.68,2.55,0.04,0,1,0.0,0,3,0.0,0,40,0.0,5,14,35.71
575,Ashton Reesor,D,SAR,11.449,55,1,3,5,4,9,36,0.927,0.007,0.02,0.03,0.023,0.057,0.223,0.37,0.007,0,1,0.0,0,3,0.0,1,32,1.04,0,0,0.0
576,Markus Niemelainen,D,SAG,18.273,59,3,4,2,7,9,63,4.76,0.05,0.07,0.03,0.12,0.15,1.07,3.84,0.07,0,1,0.0,1,6,16.67,2,56,3.57,0,1,0.0
