,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
308,Braydon Blight,D,SNB,19.647,37,3,2,3,5,8,62,4.84,0.08,0.05,0.08,0.14,0.22,1.68,3.8,0.1,622.72,16.83,0.29,0.19,0.29,0.48,0.77,5.97,0.37,16.64,17.92,50.2,51.25,2.58,48.08,25,27,1,2,50.0,0,3,0.0,2,57,3.51,1,2,50.0
309,Skylar Strumas,D,BAC,17.55,65,0,4,4,4,8,42,0.0,0.0,0.06,0.06,0.06,0.12,0.65,1.25,0.02,992.45,15.27,0.0,0.24,0.24,0.24,0.48,2.54,0.08,17.19,17.55,48.94,51.59,1.65,50.0,40,40,0,0,0.0,0,0,0.0,0,42,0.0,0,0,0.0
310,Nathan Medeiros,LW,BAT,18.339,39,2,1,5,3,8,31,6.45,0.05,0.03,0.13,0.08,0.21,0.79,3.97,0.1,452.26,11.6,0.27,0.13,0.66,0.4,1.06,4.11,0.53,17.28,17.18,38.92,51.69,7.0,44.44,16,20,2,5,40.0,0,5,0.0,0,21,0.0,33,83,39.76
311,Reid Halabi,RW,CHI,19.22,57,3,2,3,5,8,25,12.0,0.05,0.04,0.05,0.09,0.14,0.44,1.78,0.03,551.73,9.68,0.33,0.22,0.33,0.54,0.87,2.72,0.19,16.82,17.81,42.22,52.8,-6.65,40.0,12,18,2,2,100.0,0,3,0.0,1,20,5.0,3,12,25.0
312,Philippe Myers,D,ROU,17.638,60,2,3,3,5,8,71,2.82,0.03,0.05,0.05,0.08,0.13,1.18,2.29,0.04,1067.44,17.79,0.11,0.17,0.17,0.28,0.45,3.99,0.13,17.53,18.2,51.32,53.46,-20.7,33.93,38,74,0,1,0.0,0,1,0.0,2,69,2.9,1,1,100.0
313,Brett Crossley,C,HAL,16.698,58,6,2,0,8,8,49,12.24,0.1,0.03,0.0,0.14,0.14,0.84,4.91,0.08,701.56,12.1,0.51,0.17,0.0,0.68,0.68,4.19,0.42,16.98,17.59,41.63,52.27,-30.45,22.03,13,46,4,12,33.33,0,6,0.0,2,31,6.45,75,237,31.65
314,Jamie Clavet,LW,BAC,17.347,56,6,0,2,6,8,39,15.38,0.11,0.0,0.04,0.11,0.14,0.7,3.82,0.07,541.1,9.66,0.67,0.0,0.22,0.67,0.89,4.32,0.42,16.14,16.48,46.03,49.62,4.89,51.85,14,13,2,5,40.0,0,2,0.0,4,32,12.5,81,193,41.97
315,Benjamin Gagne,D,DRU,15.899,59,1,5,2,6,8,40,2.5,0.02,0.08,0.03,0.1,0.14,0.68,0.99,0.02,910.78,15.44,0.07,0.33,0.13,0.4,0.53,2.64,0.07,16.67,17.29,45.44,51.22,-2.11,43.84,32,41,0,0,0.0,0,0,0.0,1,40,2.5,0,0,0.0
316,Mathieu Leclerc,D,SHE,19.039,39,0,2,6,2,8,18,0.0,0.0,0.05,0.15,0.05,0.21,0.46,0.67,0.02,558.5,14.32,0.0,0.21,0.64,0.21,0.86,1.93,0.07,17.58,17.79,49.67,51.54,-11.44,40.48,17,25,0,0,0.0,0,0,0.0,0,18,0.0,0,0,0.0
317,Maxime Chevalier,D,QUE/DRU,18.434,33,1,2,5,3,8,59,1.69,0.03,0.06,0.15,0.09,0.24,1.79,2.59,0.08,596.14,18.06,0.1,0.2,0.5,0.3,0.81,5.94,0.26,15.99,17.24,43.46,49.93,2.63,42.86,24,32,0,0,0.0,0,2,0.0,1,57,1.75,0,1,0.0
318,Jean-Sebastien Taillefer,D,HAL,17.553,65,1,3,3,4,7,38,2.63,0.02,0.05,0.05,0.06,0.11,0.58,1.29,0.02,1166.24,17.94,0.05,0.15,0.15,0.21,0.36,1.96,0.07,17.4,17.71,48.73,51.28,-19.94,34.13,43,83,0,0,0.0,0,1,0.0,1,37,2.7,2,2,100.0
319,Mikael Sabourin,D,SHE,17.49,63,0,2,5,2,7,36,0.0,0.0,0.03,0.08,0.03,0.11,0.57,1.1,0.02,862.55,13.69,0.0,0.14,0.35,0.14,0.49,2.5,0.08,17.69,17.54,48.04,51.59,-15.55,35.0,21,39,0,0,0.0,0,1,0.0,0,35,0.0,0,3,0.0
320,Gabriel Sylvestre,D,SHA,16.646,56,1,1,5,2,7,20,5.0,0.02,0.02,0.09,0.04,0.12,0.36,0.73,0.01,944.26,16.86,0.06,0.06,0.32,0.13,0.44,1.27,0.05,17.81,18.4,56.21,52.63,-13.0,45.45,45,54,0,0,0.0,0,1,0.0,1,19,5.26,0,0,0.0
321,Jonathon Masters,D,GAT,18.653,25,1,4,2,5,7,16,6.25,0.04,0.16,0.08,0.2,0.28,0.64,1.0,0.04,412.87,16.51,0.15,0.58,0.29,0.73,1.02,2.33,0.15,18.18,17.4,53.78,50.16,6.49,63.16,24,14,0,0,0.0,1,2,50.0,0,14,0.0,0,1,0.0
322,Will Thompson,D,CHA,17.205,58,1,4,2,5,7,60,1.67,0.02,0.07,0.03,0.09,0.12,1.03,2.31,0.04,1064.55,18.35,0.06,0.23,0.11,0.28,0.39,3.38,0.13,16.85,17.58,49.87,50.19,-11.87,38.89,42,66,0,1,0.0,0,1,0.0,1,58,1.72,0,0,0.0
323,Guillaume Archambault,RW,VDO,18.508,51,3,2,2,5,7,27,11.11,0.06,0.04,0.04,0.1,0.14,0.53,2.54,0.05,474.18,9.3,0.38,0.25,0.25,0.63,0.89,3.42,0.32,15.74,17.75,44.9,49.92,11.01,64.0,16,9,1,3,33.33,1,4,25.0,1,20,5.0,92,205,44.88
324,Yanick Turcotte,LW,QUE,18.224,61,3,3,1,6,7,21,14.29,0.05,0.05,0.02,0.1,0.11,0.34,2.03,0.03,549.5,9.01,0.33,0.33,0.11,0.66,0.76,2.29,0.22,15.78,16.19,47.04,48.8,-17.43,38.46,10,16,2,2,100.0,0,4,0.0,1,15,6.67,2,2,100.0
325,David Henley,D,CHA,17.509,64,2,1,3,3,6,51,3.92,0.03,0.02,0.05,0.05,0.09,0.8,1.17,0.02,1148.02,17.94,0.1,0.05,0.16,0.16,0.31,2.67,0.06,17.26,17.99,50.31,52.13,-22.02,31.4,38,83,1,2,50.0,0,0,0.0,1,49,2.04,0,1,0.0
326,Campbell Pickard,LW,BAC/BAT,17.221,34,3,0,3,3,6,21,14.29,0.09,0.0,0.09,0.09,0.18,0.62,2.93,0.09,359.43,10.57,0.5,0.0,0.5,0.5,1.0,3.51,0.49,15.89,17.09,38.95,53.86,-7.76,27.27,6,16,0,2,0.0,1,2,50.0,2,17,11.76,20,40,50.0
327,Bailey Webster,D,SNB,17.019,54,1,2,3,3,6,41,2.44,0.02,0.04,0.06,0.06,0.11,0.76,0.85,0.02,944.76,17.5,0.06,0.13,0.19,0.19,0.38,2.6,0.05,16.73,18.18,51.51,51.49,-21.15,32.99,32,65,0,0,0.0,0,0,0.0,1,41,2.44,0,0,0.0
328,Jeremie Beaudin,D,CAP,16.34,55,5,1,0,6,6,24,20.83,0.09,0.02,0.0,0.11,0.11,0.44,1.72,0.03,720.82,13.11,0.42,0.08,0.0,0.5,0.5,2.0,0.14,17.57,17.49,52.48,49.31,7.9,57.14,28,21,0,1,0.0,1,2,50.0,4,21,19.05,0,2,0.0
329,Samuel Hunter,D,HAL,17.282,25,1,3,2,4,6,14,7.14,0.04,0.12,0.08,0.16,0.24,0.56,0.52,0.02,374.21,14.97,0.16,0.48,0.32,0.64,0.96,2.24,0.08,17.4,17.77,49.74,50.07,-8.64,42.42,14,19,0,0,0.0,1,1,100.0,0,13,0.0,0,0,0.0
330,Tobie Paquette-Bisson,D,BAC,17.618,42,0,4,2,4,6,30,0.0,0.0,0.1,0.05,0.1,0.14,0.71,0.95,0.02,683.28,16.27,0.0,0.35,0.18,0.35,0.53,2.63,0.08,17.89,17.79,50.44,51.55,-1.93,45.9,28,33,0,0,0.0,0,0,0.0,0,30,0.0,0,0,0.0
331,Gabriel Bilodeau,D,VDO/GAT,16.282,31,2,2,2,4,6,22,9.09,0.06,0.06,0.06,0.13,0.19,0.71,1.51,0.05,429.3,13.85,0.28,0.28,0.28,0.56,0.84,3.07,0.21,17.03,16.6,53.37,47.18,6.37,53.33,16,14,0,0,0.0,0,2,0.0,2,20,10.0,0,0,0.0
332,Alexander Katerinakis,RW,BLB,16.392,44,3,3,0,6,6,21,14.29,0.07,0.07,0.0,0.14,0.14,0.48,1.71,0.04,471.8,10.72,0.38,0.38,0.0,0.76,0.76,2.67,0.22,16.7,17.39,51.92,52.59,-26.91,32.14,9,19,0,1,0.0,0,3,0.0,3,17,17.65,3,5,60.0
333,Nikita Liamkin,D,CHI,18.607,27,2,3,1,5,6,33,6.06,0.07,0.11,0.04,0.19,0.22,1.22,2.0,0.07,459.11,17.0,0.26,0.39,0.13,0.65,0.78,4.31,0.26,16.96,17.59,47.65,49.66,-1.69,42.5,17,23,0,0,0.0,0,0,0.0,2,33,6.06,0,0,0.0
334,Jordan King,RW,HAL,16.972,51,2,3,1,5,6,16,12.5,0.04,0.06,0.02,0.1,0.12,0.31,1.6,0.03,487.54,9.56,0.25,0.37,0.12,0.62,0.74,1.97,0.2,16.85,16.7,42.11,48.81,-24.2,25.0,7,21,0,1,0.0,0,3,0.0,2,12,16.67,2,3,66.67
335,Alex Breton,D,GAT,17.197,40,3,3,0,6,6,23,13.04,0.07,0.07,0.0,0.15,0.15,0.57,1.47,0.04,562.99,14.07,0.32,0.32,0.0,0.64,0.64,2.45,0.16,16.73,17.21,52.97,48.81,14.06,65.0,26,14,1,2,50.0,1,1,100.0,1,20,5.0,0,0,0.0
336,Justin Doucet,LW,DRU,17.424,61,2,0,3,2,5,56,3.57,0.03,0.0,0.05,0.03,0.08,0.92,5.62,0.09,688.08,11.28,0.17,0.0,0.26,0.17,0.44,4.88,0.49,16.92,17.26,39.85,52.24,-9.56,35.42,17,31,0,5,0.0,1,5,20.0,1,46,2.17,1,2,50.0
337,Zachary Taylor,D,SHA,19.62,19,1,1,3,2,5,15,6.67,0.05,0.05,0.16,0.11,0.26,0.79,0.61,0.03,367.75,19.36,0.16,0.16,0.49,0.33,0.82,2.45,0.1,16.02,18.65,51.29,50.05,-6.24,44.44,16,20,0,0,0.0,0,0,0.0,1,15,6.67,0,0,0.0
338,Nicolas Latulippe,D,BAT,18.38,68,0,2,3,2,5,31,0.0,0.0,0.03,0.04,0.03,0.07,0.46,0.76,0.01,1075.69,15.82,0.0,0.11,0.17,0.11,0.28,1.73,0.04,16.23,17.07,39.35,52.09,-2.73,35.16,32,59,0,0,0.0,0,1,0.0,0,30,0.0,0,0,0.0
339,Francis Robichaud,D,DRU,19.015,25,0,1,4,1,5,18,0.0,0.0,0.04,0.16,0.04,0.2,0.72,0.58,0.02,364.54,14.58,0.0,0.16,0.66,0.16,0.82,2.96,0.1,16.36,17.78,45.82,50.61,2.16,42.31,11,15,0,0,0.0,0,0,0.0,0,18,0.0,0,0,0.0
340,Julien Leduc,D,VIC/DRU,20.214,17,0,1,4,1,5,20,0.0,0.0,0.06,0.24,0.06,0.29,1.18,0.83,0.05,362.7,21.34,0.0,0.17,0.66,0.17,0.83,3.31,0.14,17.48,18.79,49.08,55.11,-17.45,45.71,16,19,0,0,0.0,0,0,0.0,0,20,0.0,0,1,0.0
341,Martin-Olivier Cardinal,RW,VIC,18.59,55,1,2,2,3,5,22,4.55,0.02,0.04,0.04,0.05,0.09,0.4,2.56,0.05,594.63,10.81,0.1,0.2,0.2,0.3,0.5,2.22,0.26,16.7,18.04,43.92,53.89,-33.74,18.0,9,41,0,5,0.0,1,5,20.0,0,12,0.0,29,76,38.16
