"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Ben Hawerchuk","LW","BAR","16.471","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Justin Scott","C","BAR","19.091","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Lucas Chiodo","LW","BAR","15.874","2","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Rasmus Andersson","D","BAR","17.884","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Artur Tyanulin","RW","OTT","17.651","13","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Travis Konecny","RW","OTT","17.514","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Erik Bradford","C","OS/OTT","19.907","69","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Travis Barron","LW","OTT","16.08","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Sam  Studnicka","C","OTT","19.666","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Nevin Guy","D","OTT","19.264","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brendan Bell","LW","OTT","20.499","62","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Alex Lintuniemi","D","OTT","18.979","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Nathan Todd","C","OTT","18.788","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Dante Salituro","RW","OTT","17.832","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Kyle  Locke","D","NB","18.352","17","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Kyle Wood","D","NB","18.366","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Marcus McIvor","D","NB","20.323","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Zach Shankar","D","NB","17.629","44","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Miles  Liberati","D","NB","19.237","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Riley Bruce","D","NB","17.167","52","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Owen  Green","LW","NB","17.482","46","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brett McKenzie","C","NB","17.512","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Zach Poirier","RW","NB","16.345","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","David Sherman","LW","NB","16.332","30","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Alex Henriksson","RW","NB","19.603","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mike Amadio","C","NB","18.341","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Zach Bratina","LW","NB","18.692","30","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Nick Paul","LW","NB","19.491","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brenden Miller","D","NB","20.466","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mark Shoemaker","D","NB","16.964","39","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mathew Santos","RW","NB","19.502","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Givani Smith","RW","BAR/GUE","16.548","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brendan Lemieux","LW","BAR","18.503","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Roy Radke","RW","BAR","17.764","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Medric Mercier","D","SSM","17.911","46","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Colton White","D","SSM","17.369","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tyler Hore","D","SSM","18.892","55","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Zachary Senyshyn","RW","SSM","17.462","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Keigan Goetz","RW","SSM","18.021","62","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Bryan Moore","LW","SSM","20.31","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Anthony Salinitri","LW","SSM/SAR","16.531","50","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","David Miller","C","SSM/KIT","17.972","70","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Blake Speers","RW","SSM","17.701","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Charley Graaskamp","C","SSM/SBY","18.623","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tim Gettinger","LW","SSM","16.422","54","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Michael Bunting","LW","SSM","18.996","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Sergey Tolchinsky","RW","SSM","19.614","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Gabe  Guertler","C","SSM","19.371","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Gustav  Bouramman","D","SSM","17.64","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Hayden Verbeek","C","SSM","16.912","51","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Kyle Jenkins","D","SSM/PBO","18.399","70","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Joshua Chapman","D","SAR","19.828","44","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Alex Black","D","SAR","17.008","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jeff King","D","SAR","18.56","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jakob Chychrun","D","SAR","16.46","42","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Vladislav Kodola","C","SAR/SAG","17.876","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Hayden Hodgson","RW","SAR","18.538","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brandon Lindberg","C","SAR","17.974","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Pavel Zacha","LW","SAR","17.443","37","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Patrick White","C","SAR","18.588","43","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Davis Brown","LW","SAR","19.209","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Alexandre Renaud","LW","SAR","18.552","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Daniel Nikandrov","C","SAR","19.614","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Zachary Core","D","SAR","18.393","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
