,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
363,Cam Ashley,F,FGO,17.298,19,1,2,0,3,3,16,6.25,0.05,0.11,0.0,0.16,0.16,0.84
364,Zach Glienke,F,SC,18.788,12,2,0,1,2,3,15,13.33,0.17,0.0,0.08,0.17,0.25,1.25
365,Alex Funk,F,CR,19.286,12,0,2,1,2,3,19,0.0,0.0,0.17,0.08,0.17,0.25,1.58
366,Lukas Klok,D,YNG,18.276,29,1,2,0,3,3,23,4.35,0.03,0.07,0.0,0.1,0.1,0.79
367,Joe Schuldt,D,SF,19.973,30,3,0,0,3,3,29,10.34,0.1,0.0,0.0,0.1,0.1,0.97
368,A.J. Greer,F,DM,16.781,2,2,1,0,3,3,6,33.33,1.0,0.5,0.0,1.5,1.5,3.0
369,Lawton Courtnall,F,WAT,17.525,27,1,2,0,3,3,25,4.0,0.04,0.07,0.0,0.11,0.11,0.93
370,Joe Wegwerth,F,USA,17.249,25,2,0,1,2,3,19,10.53,0.08,0.0,0.04,0.08,0.12,0.76
371,Casey Fitzgerald,D,USA,16.553,33,2,0,1,2,3,42,4.76,0.06,0.0,0.03,0.06,0.09,1.27
372,Joseph Masonius,D,USA,16.575,22,0,1,1,1,2,11,0.0,0.0,0.05,0.05,0.05,0.09,0.5
373,Brady Jones,F,CHI,17.638,30,1,0,1,1,2,37,2.7,0.03,0.0,0.03,0.03,0.07,1.23
374,Paul O'Connor,D,CR,17.588,13,1,0,1,1,2,6,16.67,0.08,0.0,0.08,0.08,0.15,0.46
375,Daniel Kucerovy,F,SC/LIN,19.644,20,0,1,1,1,2,23,0.0,0.0,0.05,0.05,0.05,0.1,1.15
376,Mitch DeMario,D,WAT,19.48,11,1,0,1,1,2,11,9.09,0.09,0.0,0.09,0.09,0.18,1.0
377,Bradley Johnson,D,IND,17.646,3,0,1,1,1,2,2,0.0,0.0,0.33,0.33,0.33,0.67,0.67
378,Grant Hutton,D,TC,18.144,20,1,0,1,1,2,21,4.76,0.05,0.0,0.05,0.05,0.1,1.05
379,Ryan Dmowski,F,DM,16.496,5,0,1,1,1,2,10,0.0,0.0,0.2,0.2,0.2,0.4,2.0
380,Brendan Smith,D,OMA,17.657,34,0,0,2,0,2,23,0.0,0.0,0.0,0.06,0.0,0.06,0.68
381,Jeff Alderfer,D,DBQ,18.555,16,0,0,2,0,2,15,0.0,0.0,0.0,0.12,0.0,0.12,0.94
382,Tyler Nanne,D,SF,17.498,4,0,0,2,0,2,4,0.0,0.0,0.0,0.5,0.0,0.5,1.0
383,Ryan Cloonan,F,WAT,18.158,9,0,1,1,1,2,6,0.0,0.0,0.11,0.11,0.11,0.22,0.67
384,Kristoffer Brun,D,SF,19.453,30,0,0,2,0,2,15,0.0,0.0,0.0,0.07,0.0,0.07,0.5
385,T.J. Moore,F,CHI,18.681,5,0,1,1,1,2,16,0.0,0.0,0.2,0.2,0.2,0.4,3.2
386,Ryan Collins,D,USA,17.361,26,0,1,1,1,2,18,0.0,0.0,0.04,0.04,0.04,0.08,0.69
387,Casey Jerry,C,CR,18.67,17,2,0,0,2,2,15,13.33,0.12,0.0,0.0,0.12,0.12,0.88
388,Aaron O'Neill,F,GB,16.364,32,1,1,0,2,2,17,5.88,0.03,0.03,0.0,0.06,0.06,0.53
389,Steven Duda,D,DM,18.845,5,0,2,0,2,2,7,0.0,0.0,0.4,0.0,0.4,0.4,1.4
390,Joe Chitwood,F,IND,18.492,5,0,2,0,2,2,7,0.0,0.0,0.4,0.0,0.4,0.4,1.4
391,Dylan Chanter,D,DBQ,17.996,14,1,1,0,2,2,9,11.11,0.07,0.07,0.0,0.14,0.14,0.64
392,Aaron Herdt,F,FGO,18.076,14,2,0,0,2,2,19,10.53,0.14,0.0,0.0,0.14,0.14,1.36
393,Steven Haydon,F,TC,19.521,11,1,1,0,2,2,6,16.67,0.09,0.09,0.0,0.18,0.18,0.55
394,Matt McArdle,D,MUS,18.182,26,1,1,0,2,2,9,11.11,0.04,0.04,0.0,0.08,0.08,0.35
395,Tyler Dorantes,D,GB/DM,18.443,33,1,1,0,2,2,24,4.17,0.03,0.03,0.0,0.06,0.06,0.73
396,Marcel Kurth,F,DM,19.666,11,2,0,0,2,2,13,15.38,0.18,0.0,0.0,0.18,0.18,1.18
397,Alex Carle,D,YNG,19.308,6,0,1,1,1,2,14,0.0,0.0,0.17,0.17,0.17,0.33,2.33
398,Ryan Chiasson,D,DBQ,19.228,26,0,0,1,0,1,23,0.0,0.0,0.0,0.04,0.0,0.04,0.88
399,Chase McMurphy,F,TC,19.582,6,0,0,1,0,1,3,0.0,0.0,0.0,0.17,0.0,0.17,0.5
400,Tarek Baker,F,DM,16.562,3,0,0,1,0,1,3,0.0,0.0,0.0,0.33,0.0,0.33,1.0
401,Donovan Gardiner,D,TC,20.313,20,0,0,1,0,1,12,0.0,0.0,0.0,0.05,0.0,0.05,0.6
402,Zach Osburn,D,IND,16.603,4,0,0,1,0,1,9,0.0,0.0,0.0,0.25,0.0,0.25,2.25
403,Myles McGurty,D,MUS,19.546,9,0,0,1,0,1,6,0.0,0.0,0.0,0.11,0.0,0.11,0.67
404,Joey DiBenedetto,F,TC,18.273,19,0,0,1,0,1,11,0.0,0.0,0.0,0.05,0.0,0.05,0.58
405,Nikita Pavlychev,F,DM,16.482,4,0,1,0,1,1,4,0.0,0.0,0.25,0.0,0.25,0.25,1.0
406,Angus Scott,F,LIN,16.537,3,0,0,1,0,1,1,0.0,0.0,0.0,0.33,0.0,0.33,0.33
407,Joshua Gabriel,F,TC,17.588,2,0,0,1,0,1,3,0.0,0.0,0.0,0.5,0.0,0.5,1.5
408,Chaz Switzer,D,MUS,16.187,23,0,0,1,0,1,6,0.0,0.0,0.0,0.04,0.0,0.04,0.26
409,Nick Swaney,F,WAT,16.017,4,1,0,0,1,1,5,20.0,0.25,0.0,0.0,0.25,0.25,1.25
410,Chase Priskie,D,FGO,17.492,3,0,0,1,0,1,1,0.0,0.0,0.0,0.33,0.0,0.33,0.33
411,Nathan Sucese,C,DBQ,17.178,2,1,0,0,1,1,2,50.0,0.5,0.0,0.0,0.5,0.5,1.0
412,Dillon Eichstadt,D,SC,19.603,3,0,1,0,1,1,1,0.0,0.0,0.33,0.0,0.33,0.33,0.33
413,Cole Bjugson,D,FGO,17.95,8,0,1,0,1,1,2,0.0,0.0,0.12,0.0,0.12,0.12,0.25
414,Gage Torrel,F,FGO,19.234,8,1,0,0,1,1,15,6.67,0.12,0.0,0.0,0.12,0.12,1.88
