"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Luke Kutkevicius","C","WSR","20.477","30","2","3","4","5","9","34","5.88","0.07","0.1","0.13","0.17","0.3","1.13","3.46","0.12","354.19","11.81","0.34","0.51","0.68","0.85","1.52","5.76","0.59","14.25","14.13","53.19","51.62","-14.04","44.12","15","19","1","1","100.0","1","9","11.11","0","24","0.0","150","301","49.83"
"","Ryan Barbosa","D","MISS","20.693","49","2","3","4","5","9","50","4.0","0.04","0.06","0.08","0.1","0.18","1.02","2.07","0.04","760.06","15.51","0.16","0.24","0.32","0.39","0.71","3.95","0.16","13.81","13.71","45.86","50.32","-0.59","47.44","37","41","0","1","0.0","1","6","16.67","1","43","2.33","0","2","0.0"
"","Peter Stratis","D","SBY","18.659","47","3","2","4","5","9","40","7.5","0.06","0.04","0.09","0.11","0.19","0.85","2.09","0.04","721.79","15.36","0.25","0.17","0.33","0.42","0.75","3.33","0.17","12.99","14.21","57.45","50.75","-2.99","54.67","41","34","1","3","33.33","0","0","0.0","2","37","5.41","0","1","0.0"
"","Emmett Serensits","D","SBY","18.689","48","2","3","4","5","9","60","3.33","0.04","0.06","0.08","0.1","0.19","1.25","1.76","0.04","727.03","15.15","0.17","0.25","0.33","0.41","0.74","4.95","0.15","12.89","14.24","59.69","49.73","-15.84","48.68","37","39","0","1","0.0","1","1","100.0","1","58","1.72","0","0","0.0"
"","Riley Piercey","RW","BAR","16.49","46","2","3","3","5","8","40","5.0","0.04","0.07","0.07","0.11","0.17","0.87","3.84","0.08","403.46","8.77","0.3","0.45","0.45","0.74","1.19","5.95","0.57","12.46","13.58","48.93","49.31","6.86","60.0","15","10","1","10","10.0","0","3","0.0","1","27","3.7","6","13","46.15"
"","Kyle Gentles","D","KIT","20.296","39","0","5","3","5","8","30","0.0","0.0","0.13","0.08","0.13","0.21","0.77","0.99","0.03","575.49","14.76","0.0","0.52","0.31","0.52","0.83","3.13","0.1","13.78","14.11","43.78","50.54","6.34","49.09","27","28","0","1","0.0","0","0","0.0","0","29","0.0","0","0","0.0"
"","Christian Girhiny","LW","ER","20.069","11","2","3","3","5","8","10","20.0","0.18","0.27","0.27","0.45","0.73","0.91","1.14","0.1","131.02","11.91","0.92","1.37","1.37","2.29","3.66","4.58","0.52","14.46","13.84","48.84","47.24","2.22","53.33","8","7","1","2","50.0","0","3","0.0","1","5","20.0","1","1","100.0"
"","Anthony DeMeo","D","SSM/SBY","19.25","39","1","4","3","5","8","27","3.7","0.03","0.1","0.08","0.13","0.21","0.69","1.58","0.04","526.1","13.49","0.11","0.46","0.34","0.57","0.91","3.08","0.18","13.05","13.82","57.05","50.9","13.87","70.59","36","15","0","3","0.0","0","3","0.0","1","21","4.76","0","0","0.0"
"","Roman Pucek","LW","SSM","18.423","32","4","1","2","5","7","24","16.67","0.12","0.03","0.06","0.16","0.22","0.75","3.05","0.1","289.3","9.04","0.83","0.21","0.41","1.04","1.45","4.98","0.63","14.1","13.78","53.5","48.94","-8.52","45.45","10","12","3","8","37.5","0","3","0.0","1","13","7.69","0","4","0.0"
"","Thomas Stevenson","D","WSR","18.922","48","1","4","2","5","7","29","3.45","0.02","0.08","0.04","0.1","0.15","0.6","1.19","0.02","699.4","14.57","0.09","0.34","0.17","0.43","0.6","2.49","0.1","13.55","14.03","50.14","51.49","-5.01","47.14","33","37","0","0","0.0","0","1","0.0","1","28","3.57","0","0","0.0"
"","Cameron Tolnai","C","OTT","16.584","47","2","3","2","5","7","42","4.76","0.04","0.06","0.04","0.11","0.15","0.89","4.11","0.09","439.31","9.35","0.27","0.41","0.27","0.68","0.96","5.74","0.56","13.32","13.77","62.16","46.73","-25.48","43.75","14","18","0","9","0.0","1","8","12.5","1","25","4.0","194","379","51.19"
"","Jake Uberti","C","NIAG","16.526","48","2","3","2","5","7","30","6.67","0.04","0.06","0.04","0.1","0.15","0.62","2.65","0.06","397.85","8.29","0.3","0.45","0.3","0.75","1.06","4.52","0.4","13.28","13.56","52.89","50.38","-15.66","46.15","12","14","0","4","0.0","0","5","0.0","2","21","9.52","117","240","48.75"
"","Ian Martin","RW","KGN/NIAG","17.632","46","1","4","2","5","7","33","3.03","0.02","0.09","0.04","0.11","0.15","0.72","1.48","0.03","447.3","9.72","0.13","0.54","0.27","0.67","0.94","4.43","0.2","13.1","13.96","39.91","53.06","-14.15","25.64","10","29","1","2","50.0","0","1","0.0","0","30","0.0","4","6","66.67"
"","Cameron Supryka","D","HAM/PBO","16.882","42","1","4","2","5","7","25","4.0","0.02","0.1","0.05","0.12","0.17","0.6","0.51","0.01","531.98","12.67","0.11","0.45","0.23","0.56","0.79","2.82","0.06","13.48","14.15","45.16","50.96","-15.17","34.15","14","27","0","0","0.0","0","0","0.0","1","25","4.0","0","0","0.0"
"","Marcus Gillard","D","ER","16.918","44","0","5","2","5","7","31","0.0","0.0","0.11","0.05","0.11","0.16","0.7","0.66","0.02","592.81","13.47","0.0","0.51","0.2","0.51","0.71","3.14","0.07","13.44","13.72","46.5","49.48","3.07","47.27","26","29","0","0","0.0","0","1","0.0","0","30","0.0","1","1","100.0"
"","Anthony Aguanno","D","GUE/KGN","17.495","44","2","3","1","5","6","30","6.67","0.05","0.07","0.02","0.11","0.14","0.68","1.61","0.04","618.73","14.06","0.19","0.29","0.1","0.48","0.58","2.91","0.16","13.44","14.15","32.96","51.52","6.6","35.71","20","36","0","2","0.0","1","2","50.0","1","26","3.85","0","1","0.0"
"","DJ King","D","HAM","18.106","39","2","3","1","5","6","39","5.13","0.05","0.08","0.03","0.13","0.15","1.0","1.33","0.03","533.57","13.68","0.22","0.34","0.11","0.56","0.67","4.39","0.15","13.38","13.88","43.64","50.61","-17.05","34.04","16","31","0","2","0.0","1","1","100.0","1","36","2.78","0","0","0.0"
"","Peter Fleming","LW","BAR","17.528","44","3","2","0","5","5","20","15.0","0.07","0.05","0.0","0.11","0.11","0.45","1.46","0.03","338.92","7.7","0.53","0.35","0.0","0.89","0.89","3.54","0.26","12.29","13.26","51.12","50.65","-6.15","44.44","8","10","1","2","50.0","1","1","100.0","1","17","5.88","120","259","46.33"
