,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
938,Jared Wilson,D,BAK,24.053,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
939,Daniel Fick,D,WBS,27.07,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
940,Jordan Ernst,LW,STK,21.243,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
941,Desmond Bergin,D,PRO/MIL/BNG,25.605,9,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.89
942,Dajon Mingo,D,MB,28.359,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
943,Adam Gilmour,C,SPR,24.627,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
944,Spencer Watson,RW,ONT,22.391,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
945,Patrick McGrath,RW,WBS,25.498,17,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.29
946,Matthew Lane,C,MIL,24.504,11,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.73
947,Kris Bindulis,D,HER,22.993,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
948,Tony Turgeon,LW,SPR,28.983,7,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14
949,Brady Austin,D,STK,25.249,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
950,Ryan Tesink,LW,SD/SA,25.32,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
951,Peter Sivak,RW,SD,36.488,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
952,Jeremy Beaudry,D,BAK,24.756,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
953,Brian Strait,D,BNG,30.697,10,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
954,Myles Powell,C,ROC,24.146,6,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.33
955,David Drake,D,LV,23.688,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,Christian Jaros,D,BEL,22.454,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
957,Jeremy Morin,RW,HER,27.417,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
958,Yasin Ehliz,RW,STK,25.709,4,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.75
959,John McFarland,RW,BAK,26.454,9,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.56
960,Trevor Yates,C,GR,23.53,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
961,Marcus Crawford,D,GR,21.487,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
962,Mackenze Stewart,D,GR,23.1,4,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.75
