"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Daniel D'Amato","RW","ER","17.438","48","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Matt Hotchkiss","LW","KGN","20.605","45","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","1","100.0"
"","Macauley Carson","LW","SBY","19.513","49","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","11","16","68.75"
"","Ashton Reesor","D","SAR","17.673","53","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.11","0.0","0","0","0.0","0","1","0.0","0","0","0.0","0","0","0.0"
"","Franco Sproviero","C","SAR","20.113","53","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.2","0.0","0","0","0.0","0","0","0.0","0","1","0.0","5","9","55.56"
"","Ryan Bangs","D","FLNT","18.683","42","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.09","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Josh Nelson","C","LDN","19.305","50","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","4","25.0"
"","Chase Campbell","RW","KIT/WSR","20.228","52","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","1","100.0"
"","Ryan McLeod","C","SAG/MISS","18.985","48","0","0","0","0","0","2","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.3","0.01","0","1","0.0","0","1","0.0","0","0","0.0","7","17","41.18"
"","Fedor Gordeev","D","FLNT/GUE","19.634","49","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.14","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Marcus Gillard","D","ER","16.918","44","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Bryan Laureigh","LW","KGN","18.248","13","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Dustin Hutton","LW","PBO","16.98","7","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Kyle McDonald","RW","WSR","16.608","39","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.07","0.0","0","0","0.0","0","1","0.0","0","0","0.0","0","1","0.0"
"","Marko Jakovljevic","D","SAR","17.807","45","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Shawn Spearing","D","PBO","16.14","29","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","William Lochead","D","LDN","20.463","46","0","0","0","0","0","4","0.0","0.0","0.0","0.0","0.0","0.0","0.09","0.39","0.01","0","0","0.0","0","1","0.0","0","3","0.0","0","0","0.0"
"","Josh Wainman","D","HAM","19.568","50","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Ian Blacker","D","OSH","19.305","42","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Daniel Nardi","D","HAM/MISS","17.471","13","0","0","0","0","0","2","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.07","0.01","0","0","0.0","0","0","0.0","0","2","0.0","0","0","0.0"
"","Danial Singer","RW","ER","19.595","41","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Liam Whittaker","D","LDN","17.276","1","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Owen Gilhula","C","SBY","18.347","30","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","3","33.33"
"","Mike Petizian","LW","KIT","17.566","44","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Liam Ham","D","MISS/NIAG","19.614","41","0","0","0","0","0","3","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.26","0.01","0","0","0.0","0","1","0.0","0","2","0.0","0","0","0.0"
