,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
75,Michael Swift,C,MISS,18.475,65.0,22.0,23.0,9.0,45.0,54.0,0.34,0.35,0.14,0.69,0.83
76,Steve Downie,C,PBO/WSR,18.453,35.0,19.0,18.0,16.0,37.0,53.0,0.54,0.51,0.46,1.06,1.51
77,Chris Lawrence,RW,MISS/SSM,18.61,67.0,23.0,13.0,17.0,36.0,53.0,0.34,0.19,0.25,0.54,0.79
78,David Pszenyczny,D,BAR/MISS,20.573,58.0,15.0,16.0,22.0,31.0,53.0,0.26,0.28,0.38,0.53,0.91
79,Tom Pyatt,C,SAG,18.585,58.0,24.0,18.0,11.0,42.0,53.0,0.41,0.31,0.19,0.72,0.91
80,Craig Voakes,C,KIT,19.702,66.0,24.0,16.0,13.0,40.0,53.0,0.36,0.24,0.2,0.61,0.8
81,Peter Aston,D,PBO/WSR,19.557,65.0,16.0,18.0,18.0,34.0,52.0,0.25,0.28,0.28,0.52,0.8
82,Ryan Garlock,C,WSR,19.395,62.0,20.0,18.0,14.0,38.0,52.0,0.32,0.29,0.23,0.61,0.84
83,Richard Clune,LW,SAR,18.393,61.0,20.0,20.0,12.0,40.0,52.0,0.33,0.33,0.2,0.66,0.85
84,Patrick Kaleta,RW,PBO,19.272,68.0,16.0,23.0,12.0,39.0,51.0,0.24,0.34,0.18,0.57,0.75
85,Harrison Reed,C,SAR,17.66,68.0,26.0,13.0,11.0,39.0,50.0,0.38,0.19,0.16,0.57,0.74
86,Matt Auffrey,RW,KIT,19.699,59.0,24.0,13.0,13.0,37.0,50.0,0.41,0.22,0.22,0.63,0.85
87,Marc Staal,D,SBY,18.673,57.0,11.0,28.0,10.0,39.0,49.0,0.19,0.49,0.18,0.68,0.86
88,Dan Collins,RW,PLY,18.552,44.0,26.0,14.0,9.0,40.0,49.0,0.59,0.32,0.2,0.91,1.11
89,Tyler Doig,C,GUE,19.582,68.0,23.0,16.0,10.0,39.0,49.0,0.34,0.24,0.15,0.57,0.72
90,Andrew Hotham,D,ER,19.048,60.0,10.0,25.0,14.0,35.0,49.0,0.17,0.42,0.23,0.58,0.82
91,Travis Fuller,LW,BAR,19.639,68.0,22.0,22.0,4.0,44.0,48.0,0.32,0.32,0.06,0.65,0.71
92,Cody Thornton,RW,SSM,19.168,68.0,26.0,15.0,7.0,41.0,48.0,0.38,0.22,0.1,0.6,0.71
93,Derek Joslin,D,OTT,18.5,68.0,11.0,14.0,23.0,25.0,48.0,0.16,0.21,0.34,0.37,0.71
94,Jesse Gimblett,LW,SAG,20.696,66.0,21.0,14.0,12.0,35.0,47.0,0.32,0.21,0.18,0.53,0.71
95,Steve Ward,D,PLY,19.587,67.0,14.0,13.0,20.0,27.0,47.0,0.21,0.19,0.3,0.4,0.7
96,Brett Liscomb,LW,OTT/WSR,19.631,67.0,18.0,19.0,10.0,37.0,47.0,0.27,0.28,0.15,0.55,0.7
97,Rafael Rotter,C,GUE,18.256,62.0,11.0,24.0,12.0,35.0,47.0,0.18,0.39,0.19,0.56,0.76
98,Matt Lashoff,D,KIT,18.963,56.0,7.0,22.0,18.0,29.0,47.0,0.12,0.39,0.32,0.52,0.84
99,Jonathan D'Aversa,D,SBY,19.54,62.0,7.0,26.0,13.0,33.0,46.0,0.11,0.42,0.21,0.53,0.74
100,Brett MacLean,LW,ER/OSH,16.726,48.0,16.0,16.0,14.0,32.0,46.0,0.33,0.33,0.29,0.67,0.96
101,Scott Baker,LW,BELV,18.339,62.0,16.0,14.0,15.0,30.0,45.0,0.26,0.23,0.24,0.48,0.73
102,Mike Duco,LW,KIT,18.191,59.0,22.0,11.0,11.0,33.0,44.0,0.37,0.19,0.19,0.56,0.75
103,Patrick Asselin,RW,SAG,18.207,68.0,23.0,11.0,10.0,34.0,44.0,0.34,0.16,0.15,0.5,0.65
104,Bradley Snetsinger,LW,WSR,18.44,60.0,29.0,12.0,3.0,41.0,44.0,0.48,0.2,0.05,0.68,0.73
