,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
1067,Mike  Small,LW,P.A/CWK,18.174,58,3,1,2,4,6,0.03,0.05,0.02,0.08,0.1
1068,Josh Cowen,RW,R.D,17.698,54,1,4,1,5,6,0.02,0.07,0.02,0.09,0.11
1069,Ryan  Nugent-Hopkins,C,R.D,15.428,5,2,1,3,3,6,0.4,0.2,0.6,0.6,1.2
1070,Jordan Evans,D,S.C,16.293,50,0,3,3,3,6,0.0,0.06,0.06,0.06,0.12
1071,Tyler Parker,LW,EVT,16.307,44,3,2,1,5,6,0.07,0.05,0.02,0.11,0.14
1072,Cody Vann,D,P.A,17.45,72,0,3,3,3,6,0.0,0.012,0.132,0.012,0.145
1073,Scott Skrudland,LW,M.H/KAM/SAS/EDM,18.16,76,2,1,2,3,5,0.005,0.002,0.005,0.009,0.014
1074,Jan Kupec,C,P.G,17.703,32,3,1,1,4,5,0.09,0.03,0.03,0.12,0.16
1075,Kamil Vavra,LW,REG,18.686,20,3,1,1,4,5,0.15,0.05,0.05,0.2,0.25
1076,Tanner Irwin,LW,KAM,17.874,43,2,2,1,4,5,0.03,0.03,0.07,0.055,0.125
1077,Dominick Favreau,LW,REG,16.14,56,1,1,3,2,5,0.01,0.01,0.025,0.02,0.045
1078,Michael Fogolin,D,P.G,16.499,42,2,1,2,3,5,0.05,0.02,0.05,0.07,0.12
1079,Travis Gorman,RW,TRI/KTN,17.99,37,5,0,0,5,5,0.125,0.0,0.0,0.125,0.125
1080,Juraj Prokop,RW,M.H,18.993,6,1,2,2,3,5,0.17,0.33,0.33,0.5,0.83
1081,Mike Boxma,RW,KTN,17.816,65,2,2,1,4,5,0.015,0.015,0.01,0.03,0.04
1082,Blair  Wentworth,RW,CWK,16.061,52,1,2,2,3,5,0.01,0.02,0.02,0.03,0.05
1083,Jordie Fike,D,POR,18.498,114,2,2,1,4,5,0.008,0.008,0.002,0.015,0.018
