,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
317,Josh Wainman,D,HAM,19.568,55,1,5,4,6,10,55,1.82,0.02,0.09,0.07,0.11,0.18,1.0,2.19,0.04,1,2,50.0,0,1,0.0,0,52,0.0,0,1,0.0
318,Cameron Tolnai,C,OTT,16.584,51,2,4,4,6,10,52,3.85,0.04,0.08,0.08,0.12,0.2,1.02,4.94,0.1,0,10,0.0,1,11,9.09,1,31,3.23,233,467,49.89
319,Riley Piercey,RW,BAR,16.49,51,2,4,4,6,10,44,4.55,0.04,0.08,0.08,0.12,0.2,0.86,4.19,0.08,1,9,11.11,0,7,0.0,1,28,3.57,6,14,42.86
320,Hakon Nilsen,D,FLNT,20.611,60,1,3,6,4,10,62,1.61,0.02,0.05,0.1,0.07,0.17,1.03,1.99,0.03,0,1,0.0,0,2,0.0,1,59,1.69,0,0,0.0
321,Zachary Roberts,LW,GUE/OS,19.116,41,7,2,1,9,10,40,17.5,0.17,0.05,0.02,0.22,0.24,0.98,4.0,0.1,3,5,60.0,2,9,22.22,2,26,7.69,0,2,0.0
322,Brett Jacklin,RW,SSM,18.566,43,3,4,3,7,10,42,7.14,0.07,0.09,0.07,0.16,0.23,0.98,3.66,0.09,2,7,28.57,0,4,0.0,1,31,3.23,5,8,62.5
323,Luke Drewitt,LW,KGN,16.967,44,1,6,3,7,10,22,4.55,0.02,0.14,0.07,0.16,0.23,0.5,2.27,0.05,0,3,0.0,0,6,0.0,1,13,7.69,113,214,52.8
324,Christian Girhiny,LW,ER,20.069,11,2,3,5,5,10,14,14.29,0.18,0.27,0.45,0.45,0.91,1.27,1.44,0.13,1,2,50.0,0,3,0.0,1,9,11.11,3,11,27.27
325,Cameron Supryka,D,HAM/PBO,16.882,47,1,6,3,7,10,35,2.86,0.02,0.13,0.06,0.15,0.21,0.74,0.85,0.02,0,0,0.0,0,0,0.0,1,35,2.86,0,0,0.0
326,Lleyton Moore,D,NIAG,16.548,28,2,5,3,7,10,38,5.26,0.07,0.18,0.11,0.25,0.36,1.36,1.56,0.06,1,1,100.0,0,4,0.0,1,33,3.03,0,1,0.0
