,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
750,Nick Deakin-Poot,C,GUE,37.262,4,0,0,1,0,1,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0
751,Levi Siau,C,SBY,32.916,18,0,0,1,0,1,8,0.0,0.0,0.0,0.11,0.0,0.11,0.89,0.7,0.08,0,0,0.0,0,2,0.0,0,6,0.0,31,56,55.36
752,Mitchell Hewitson,LW,OSH,34.694,54,1,0,0,1,1,16,6.25,0.04,0.0,0.0,0.04,0.04,0.59,1.66,0.06,0,3,0.0,1,4,25.0,0,9,0.0,1,7,14.29
753,Noah Serre,RW,SBY,38.286,2,1,0,0,1,1,1,100.0,1.0,0.0,0.0,1.0,1.0,1.0,0.17,0.17,1,1,100.0,0,0,0.0,0,0,0.0,1,5,20.0
754,Maximilien Ledoux,LW,BLB/ROU,4.173,8,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.01,0.002,0,0,0.0,0,0,0.0,0,3,0.0,0,0,0.0
755,Josh MacDonald,C,SNB,4.329,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
756,Eliot Bergbauer,LW,MON,4.296,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
757,Chase Ellis,LW,DRU,4.16,14,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.039,0.005,0,0,0.0,0,0,0.0,0,5,0.0,0,1,0.0
758,Alexandre O'Neill,C,SNB,4.129,6,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.024,0.008,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0
759,Nicolas Daigle,C,VIC,3.992,8,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.008,0.001,0,0,0.0,0,0,0.0,0,2,0.0,3,12,3.125
760,Alexandre Doucet,C,VDO,4.168,6,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.008,0.002,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0
761,Samy Hudon-Rousseau,C,VIC,4.92,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,4,3.125
762,Stephane Jr Huard,C,BLB,4.073,6,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.019,0.006,0,0,0.0,0,1,0.0,0,3,0.0,14,21,8.334
763,Cole Cormier,C,RIM,4.141,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.011,0.011,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0
764,William Dagenais,RW,GAT,4.146,12,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.045,0.008,0,0,0.0,0,2,0.0,0,4,0.0,0,0,0.0
765,Alexis Belisle,RW,SNB,4.074,10,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.004,0.001,0,0,0.0,0,0,0.0,0,1,0.0,1,2,6.25
766,Edouard Charron,C,DRU,4.252,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.01,0.01,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0
767,Etienne Caron,LW,BLB,4.281,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,3,8.334
768,William Dumont,C,BLB,4.357,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0
769,Alexandre Caron,LW,ROU,4.038,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
