"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Jordan Ernst","LW","SAR","19.245","67","8","11","10","19","29","116","6.9","0.12","0.16","0.15","0.28","0.43","1.73","7.54","0.11","1","1","100.0","1","12","8.33","6","103","5.83","5","10","50.0"
"","Semyon Der-Arguchintsev","C","PBO","16.0","63","7","12","10","19","29","54","12.96","0.11","0.19","0.16","0.3","0.46","0.86","6.33","0.1","1","10","10.0","4","10","40.0","2","34","5.88","166","352","47.16"
"","Brett Neumann","C","ER/KGN","17.583","68","13","6","7","19","26","182","7.14","0.19","0.09","0.1","0.28","0.38","2.68","18.73","0.28","4","22","18.18","4","31","12.9","5","129","3.88","295","558","52.87"
"","Brady Hinz","RW","SAR","16.37","61","5","14","5","19","24","63","7.94","0.08","0.23","0.08","0.31","0.39","1.03","6.6","0.11","4","7","57.14","0","14","0.0","1","42","2.38","225","508","44.29"
"","Brendan Harrogate","RW","MISS","18.588","45","16","3","4","19","23","125","12.8","0.36","0.07","0.09","0.42","0.51","2.78","13.77","0.31","5","20","25.0","3","26","11.54","8","79","10.13","3","8","37.5"
"","Zachary Roberts","LW","OS","17.117","61","10","9","3","19","22","73","13.7","0.16","0.15","0.05","0.31","0.36","1.2","6.8","0.11","1","9","11.11","2","8","25.0","7","56","12.5","8","13","61.54"
"","Adam Thilander","D","NB","17.994","64","6","12","17","18","35","125","4.8","0.09","0.19","0.27","0.28","0.55","1.95","6.37","0.1","0","4","0.0","3","5","60.0","3","116","2.59","0","0","0.0"
"","Luke Boka","RW","WSR","17.263","68","13","5","10","18","28","98","13.27","0.19","0.07","0.15","0.26","0.41","1.44","11.8","0.17","9","34","26.47","1","11","9.09","3","53","5.66","72","188","38.3"
"","Liam Dunda","LW","SBY","19.001","65","10","8","8","18","26","101","9.9","0.15","0.12","0.12","0.28","0.4","1.55","9.69","0.15","3","14","21.43","1","11","9.09","6","76","7.89","23","86","26.74"
"","Brady Lyle","D","NB","17.279","58","4","14","7","18","25","103","3.88","0.07","0.24","0.12","0.31","0.43","1.78","5.36","0.09","1","2","50.0","0","2","0.0","3","99","3.03","0","1","0.0"
"","Matthew Philip","C","NIAG","17.295","45","11","7","3","18","21","113","9.73","0.24","0.16","0.07","0.4","0.47","2.51","9.56","0.21","4","12","33.33","4","18","22.22","3","83","3.61","287","563","50.98"
"","Kirill Nizhnikov","RW","BAR","16.466","43","12","6","1","18","19","110","10.91","0.28","0.14","0.02","0.42","0.44","2.56","9.81","0.23","1","5","20.0","4","22","18.18","7","83","8.43","2","13","15.38"
"","Brandon Crawley","D","LDN","19.617","61","7","10","10","17","27","104","6.73","0.11","0.16","0.16","0.28","0.44","1.7","5.99","0.1","0","1","0.0","0","5","0.0","7","98","7.14","2","3","66.67"
"","Dante Salituro","RW","LDN","19.833","30","11","6","5","17","22","64","17.19","0.37","0.2","0.17","0.57","0.73","2.13","9.29","0.31","3","9","33.33","1","6","16.67","7","49","14.29","4","12","33.33"
"","Ben Evans","LW","OTT","17.665","60","8","9","5","17","22","79","10.13","0.13","0.15","0.08","0.28","0.37","1.32","10.21","0.17","4","12","33.33","1","17","5.88","3","50","6.0","85","178","47.75"
"","Cody Caron","RW","KGN","20.302","46","8","9","4","17","21","92","8.7","0.17","0.2","0.09","0.37","0.46","2.0","9.64","0.21","2","13","15.38","2","11","18.18","4","68","5.88","3","6","50.0"
"","Serron Noel","RW","OSH","16.104","63","8","9","4","17","21","69","11.59","0.13","0.14","0.06","0.27","0.33","1.1","7.9","0.13","3","15","20.0","3","16","18.75","2","38","5.26","21","49","42.86"
"","Darian Pilon","LW","SBY","17.955","67","9","8","3","17","20","89","10.11","0.13","0.12","0.04","0.25","0.3","1.33","10.62","0.16","2","15","13.33","3","17","17.65","4","57","7.02","8","22","36.36"
"","Brett Hargrave","C","NB","20.666","61","15","2","1","17","18","106","14.15","0.25","0.03","0.02","0.28","0.3","1.74","11.5","0.19","2","11","18.18","4","13","30.77","9","82","10.98","208","485","42.89"
"","Benjamin Gleason","D","HAM","18.478","66","6","10","23","16","39","135","4.44","0.09","0.15","0.35","0.24","0.59","2.05","8.94","0.14","0","5","0.0","0","8","0.0","6","122","4.92","1","5","20.0"
"","Zach Shankar","D","NB","19.631","67","4","12","12","16","28","144","2.78","0.06","0.18","0.18","0.24","0.42","2.15","7.11","0.11","3","6","50.0","0","5","0.0","1","133","0.75","1","2","50.0"
"","Aiden  Jamieson","D","SBY","20.482","66","3","13","10","16","26","70","4.29","0.05","0.2","0.15","0.24","0.39","1.06","4.76","0.07","2","4","50.0","0","4","0.0","1","62","1.61","1","2","50.0"
