"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Craig Needham","LW","YNG","18.462","58","1","4","2","5","7","44","2.27","0.02","0.07","0.03","0.09","0.12","0.76"
"","Jack Babbage","D","SC","17.043","53","1","4","2","5","7","44","2.27","0.02","0.08","0.04","0.09","0.13","0.83"
"","Jordan Wishman","LD","DBQ","18.815","51","0","5","1","5","6","32","0.0","0.0","0.1","0.02","0.1","0.12","0.63"
"","Tyler Paquette","RW","DM","16.496","44","3","2","1","5","6","36","8.33","0.07","0.05","0.02","0.11","0.14","0.82"
"","Lucas Bahn","RD","DM/SC","18.013","46","1","4","1","5","6","27","3.7","0.02","0.09","0.02","0.11","0.13","0.59"
"","Wyllum Deveaux","LW","TC/DM","17.043","24","1","4","0","5","5","24","4.17","0.04","0.17","0.0","0.21","0.21","1.0"
"","Jagger Joshua","F","YNG/MUS","18.467","37","2","3","0","5","5","46","4.35","0.05","0.08","0.0","0.14","0.14","1.24"
"","Mason Palmer","LD","WAT","18.82","57","2","2","9","4","13","63","3.17","0.04","0.04","0.16","0.07","0.23","1.11"
"","John Schuldt","LD","FGO","20.595","58","2","2","8","4","12","75","2.67","0.03","0.03","0.14","0.07","0.21","1.29"
"","Tyler Spott","LD","GB","17.246","53","2","2","7","4","11","66","3.03","0.04","0.04","0.13","0.08","0.21","1.25"
"","John Spetz","RD","CHI","17.791","54","2","2","6","4","10","50","4.0","0.04","0.04","0.11","0.07","0.19","0.93"
"","Ross Mitton","RW","FGO","17.197","29","2","2","5","4","9","24","8.33","0.07","0.07","0.17","0.14","0.31","0.83"
"","Davis Bunz","RD","CIL","19.031","19","2","2","5","4","9","20","10.0","0.11","0.11","0.26","0.21","0.47","1.05"
"","Luke Johnson","LD","SC","18.689","56","1","3","4","4","8","59","1.69","0.02","0.05","0.07","0.07","0.14","1.05"
"","Simon Butala","LD","CIL","19.124","45","2","2","4","4","8","42","4.76","0.04","0.04","0.09","0.09","0.18","0.93"
"","Calle Ehrnberg","D","SC","18.519","51","1","3","3","4","7","35","2.86","0.02","0.06","0.06","0.08","0.14","0.69"
"","Sam Stevens","C","CHI/DM","17.386","45","2","2","3","4","7","58","3.45","0.04","0.04","0.07","0.09","0.16","1.29"
"","Peter Tabor","LD","WAT","17.816","37","0","4","3","4","7","21","0.0","0.0","0.11","0.08","0.11","0.19","0.57"
"","Ethan Frisch","D","GB","16.879","14","0","4","2","4","6","18","0.0","0.0","0.29","0.14","0.29","0.43","1.29"
"","Jeremie Bucheler","RD","CHI","17.46","51","1","3","2","4","6","52","1.92","0.02","0.06","0.04","0.08","0.12","1.02"
"","Brady Meyer","F","CIL","16.912","13","3","1","2","4","6","12","25.0","0.23","0.08","0.15","0.31","0.46","0.92"
"","Jason Smallidge","D","YNG/CIL","19.324","45","1","3","2","4","6","38","2.63","0.02","0.07","0.04","0.09","0.13","0.84"
"","Jonatan Asplund","LD","DBQ","18.612","25","2","2","1","4","5","25","8.0","0.08","0.08","0.04","0.16","0.2","1.0"
"","Matt Gould","LW","SF","17.221","37","3","1","1","4","5","21","14.29","0.08","0.03","0.03","0.11","0.14","0.57"
"","Brandon Tabakin","LD","SF","17.32","42","1","3","1","4","5","34","2.94","0.02","0.07","0.02","0.1","0.12","0.81"
"","Bobby Brink","F","SC","16.189","13","2","2","0","4","4","27","7.41","0.15","0.15","0.0","0.31","0.31","2.08"
"","Aidan Fulp","D","DBQ","17.545","43","1","3","0","4","4","29","3.45","0.02","0.07","0.0","0.09","0.09","0.67"
"","Paul DeNaples","RD","SF","18.99","55","2","2","0","4","4","75","2.67","0.04","0.04","0.0","0.07","0.07","1.36"
"","Antti Virtanen","LD","SF","19.508","56","2","1","5","3","8","47","4.26","0.04","0.02","0.09","0.05","0.14","0.84"
"","Jacob Olbing","LD","CIL","19.924","54","2","1","5","3","8","66","3.03","0.04","0.02","0.09","0.06","0.15","1.22"
"","Connor Mayer","LD","FGO/MAD","18.259","40","2","1","4","3","7","52","3.85","0.05","0.03","0.1","0.07","0.17","1.3"
"","Calvin Pokorny","F","FGO/WAT","19.508","47","2","1","4","3","7","54","3.7","0.04","0.02","0.09","0.06","0.15","1.15"
"","Keegan Mantaro","LD","SC","18.785","40","2","1","3","3","6","36","5.56","0.05","0.03","0.07","0.07","0.15","0.9"
"","Dorian Dawson","LD","SC","20.299","46","1","2","3","3","6","59","1.69","0.02","0.04","0.07","0.07","0.13","1.28"
"","Kyle Koopman","LD","WAT","19.376","26","0","3","3","3","6","21","0.0","0.0","0.12","0.12","0.12","0.23","0.81"
"","Matt Koopman","LW","WAT","19.376","55","3","0","3","3","6","59","5.08","0.05","0.0","0.05","0.05","0.11","1.07"
"","James Marooney","LD","WAT","18.084","35","2","1","3","3","6","42","4.76","0.06","0.03","0.09","0.09","0.17","1.2"
"","Patrick Giles","RW","USA","17.701","26","2","1","3","3","6","39","5.13","0.08","0.04","0.12","0.12","0.23","1.5"
"","Benito Posa","F","MUS","18.664","38","2","1","3","3","6","23","8.7","0.05","0.03","0.08","0.08","0.16","0.61"
"","Marcus Dickerson","F","CHI/DM","19.647","12","1","2","1","3","4","12","8.33","0.08","0.17","0.08","0.25","0.33","1.0"
"","Caleb Rule","RW","TC/CIL","18.582","37","1","2","1","3","4","50","2.0","0.03","0.05","0.03","0.08","0.11","1.35"
