,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
619,Jake Toporowski,D,SPO,19.071,37,0,2,1,2,3,0.0,0.03,0.015,0.03,0.04
620,Reid Perepeluk,RW,PG,17.375,10,2,1,0,3,3,0.2,0.1,0.0,0.3,0.3
621,Cameron Reagan,D,PA,19.242,18,0,3,0,3,3,0.0,0.17,0.0,0.17,0.17
622,Jantzen Leslie,D,SAS/SAS/EDM,18.094,88,1,1,1,2,3,0.02,0.01,0.01,0.03,0.035
623,Austin Schellenberg,C,RD,16.62,48,2,1,0,3,3,0.02,0.01,0.0,0.035,0.035
624,Hunor Torzsok,LW,VAN,17.121,29,1,2,0,3,3,0.02,0.145,0.0,0.165,0.165
625,Dawson Butt,RW,EVT,16.604,48,1,2,0,3,3,0.01,0.02,0.0,0.035,0.035
626,Nikita Krivokrasov,RW,PA,16.229,36,3,0,0,3,3,0.045,0.0,0.0,0.045,0.045
627,Jayden Platz,D,EDM,16.862,64,1,1,1,2,3,0.01,0.01,0.01,0.02,0.03
628,Tak Anholt,RW,BDN,18.533,15,1,0,1,1,2,0.07,0.0,0.07,0.07,0.13
629,Colum McGauley,LW,KEL,17.514,47,2,0,0,2,2,0.04,0.0,0.0,0.04,0.04
630,Daemon Hunt,D,MJ,15.373,9,1,0,1,1,2,0.11,0.0,0.11,0.11,0.22
631,Holden Katzalay,C,SEA,17.676,59,0,1,1,1,2,0.0,0.02,0.02,0.02,0.03
632,Cole Dubinsky,C,REG,14.782,5,0,2,0,2,2,0.0,0.4,0.0,0.4,0.4
633,Pavel Azhgirei,RW,EVT/PG,17.178,19,1,1,0,2,2,0.05,0.05,0.0,0.11,0.11
634,Brayden Tracey,LW,MJ,16.301,5,0,2,0,2,2,0.0,0.4,0.0,0.4,0.4
635,Carter Chorney,RW,SPO,16.605,41,2,0,0,2,2,0.05,0.0,0.0,0.05,0.05
636,Seth Jarvis,C,POR,15.62,11,0,1,1,1,2,0.0,0.09,0.09,0.09,0.18
637,Blake Allan,LW,KTN,16.403,4,1,1,0,2,2,0.25,0.25,0.0,0.5,0.5
638,Luke Prokop,D,CGY,15.362,14,0,0,2,0,2,0.0,0.0,0.14,0.0,0.14
639,Jayden Davis,LW,LET,17.338,15,1,0,1,1,2,0.045,0.0,0.125,0.045,0.17
640,Ryan Gardiner,D,MJ,19.554,17,0,0,2,0,2,0.0,0.0,0.12,0.0,0.12
641,Tyler Brown,D,VAN,19.59,16,0,0,2,0,2,0.0,0.0,0.12,0.0,0.12
642,Brandon Armstrong,D,MJ,17.616,34,1,1,0,2,2,0.03,0.03,0.0,0.06,0.06
643,Nikita Radzivilyuk,D,KTN,17.523,27,1,0,1,1,2,0.04,0.0,0.04,0.04,0.07
644,Bailey Dhaliwal,D,VAN,18.014,36,0,2,0,2,2,0.0,0.085,0.0,0.085,0.085
645,Jordan Dawson,D,EDM,19.049,30,0,1,1,1,2,0.0,0.02,0.02,0.02,0.035
646,Duncan Pierce,RW,REG,16.906,34,0,2,0,2,2,0.0,0.06,0.0,0.06,0.06
647,Payton Mount,RW,SEA,15.655,6,0,1,0,1,1,0.0,0.17,0.0,0.17,0.17
648,Kaiden Guhle,D,PA,15.658,8,0,1,0,1,1,0.0,0.12,0.0,0.12,0.12
649,Jack Finley,C,SPO,15.037,7,0,0,1,0,1,0.0,0.0,0.14,0.0,0.14
650,Jonas Harkins,D,PG/REG/PG,16.22,23,0,0,1,0,1,0.0,0.0,0.025,0.0,0.025
651,Tyus Gent,C,VIC,16.655,5,0,0,1,0,1,0.0,0.0,0.2,0.0,0.2
652,Liam Belcourt,LD,TC,17.213,16,0,0,1,0,1,0.0,0.0,0.06,0.0,0.06
653,Tanner Brown,D,VAN,14.894,6,0,0,1,0,1,0.0,0.0,0.17,0.0,0.17
654,Nolan Orzeck,D,KTN,16.567,8,0,0,1,0,1,0.0,0.0,0.12,0.0,0.12
655,Peter Kope,D,PG,18.464,5,0,0,1,0,1,0.0,0.0,0.2,0.0,0.2
656,Ridly Greig,C,BDN,15.105,4,0,1,0,1,1,0.0,0.25,0.0,0.25,0.25
657,Sam Pouliot,D,RD,17.367,16,1,0,0,1,1,0.06,0.0,0.0,0.06,0.06
658,Graeme Bryks,C,SEA,16.646,10,1,0,0,1,1,0.1,0.0,0.0,0.1,0.1
659,Tristen Robins,C,REG/SAS,15.833,4,0,1,0,1,1,0.0,0.25,0.0,0.25,0.25
660,Mick Kohler,LW,MH,19.56,4,0,1,0,1,1,0.0,0.25,0.0,0.25,0.25
661,Daniel Baker,D,MH,16.337,11,0,1,0,1,1,0.0,0.09,0.0,0.09,0.09
662,Brenden Kwiatkowski,D,MJ,17.175,22,0,1,0,1,1,0.0,0.05,0.0,0.05,0.05
663,Brock Sottile,LW,PA,18.117,10,0,1,0,1,1,0.0,0.1,0.0,0.1,0.1
664,Sean Gulka,LW,SPO,17.583,4,0,1,0,1,1,0.0,0.25,0.0,0.25,0.25
665,Landon Fuller,D,TC,17.666,14,0,1,0,1,1,0.0,0.06,0.0,0.06,0.06
666,Jordan Borysiuk,C,RD,15.636,6,0,1,0,1,1,0.0,0.17,0.0,0.17,0.17
667,Zak Smith,LW,RD,16.31,11,0,0,1,0,1,0.0,0.0,0.09,0.0,0.09
668,Nolan Jones,D,LET,15.89,12,0,0,1,0,1,0.0,0.0,0.055,0.0,0.055
669,Tyler Jette,D,TC,19.357,5,1,0,0,1,1,0.2,0.0,0.0,0.2,0.2
670,Shawn Harke,C,LET,17.086,27,1,0,0,1,1,0.02,0.0,0.0,0.02,0.02
671,Tyson Terretta,D,SEA,17.064,44,0,1,0,1,1,0.0,0.01,0.0,0.01,0.01
672,Ted Brennan,C,KEL,16.633,2,0,1,0,1,1,0.0,0.5,0.0,0.5,0.5
673,Lane Kirk,D,PA,16.321,3,0,0,1,0,1,0.0,0.0,0.33,0.0,0.33
674,Riley Krane,C,REG,16.644,5,1,0,0,1,1,0.2,0.0,0.0,0.2,0.2
675,Dylan Williamson,LW,PA,18.689,8,0,0,1,0,1,0.0,0.0,0.12,0.0,0.12
676,Rodrigo Abols,C,POR,20.696,2,0,1,0,1,1,0.0,0.5,0.0,0.5,0.5
677,Trent Huitema,D,SPO,18.251,6,1,0,0,1,1,0.17,0.0,0.0,0.17,0.17
678,Austin King-Cunningham,D,VAN/TC/VAN,16.724,10,0,0,1,0,1,0.0,0.0,0.165,0.0,0.165
679,Layne Bensmiller,RW,SEA,19.683,7,1,0,0,1,1,0.14,0.0,0.0,0.14,0.14
680,Eli Lieffers,C,KTN,16.474,4,1,0,0,1,1,0.25,0.0,0.0,0.25,0.25
681,Ozzy Wiesblatt,RW,PA,15.521,1,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
682,Mario Mucka,RW,EVT,17.848,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0
683,Kolby Johnson,LW,PG/PA/PA,18.846,42,0,1,0,1,1,0.0,0.015,0.0,0.015,0.015
684,Connor Lyons,LW,LET,17.458,11,0,1,0,1,1,0.0,0.05,0.0,0.05,0.05
685,Josh  Bruce,LW,SAS/VAN,18.41,6,1,0,0,1,1,0.17,0.0,0.0,0.17,0.17
686,Tanner Mole,RW,SC,17.946,42,0,1,0,1,1,0.0,0.015,0.0,0.015,0.015
687,Ty Westgard,RW,POR/VIC,18.322,7,1,0,0,1,1,0.14,0.0,0.0,0.14,0.14
688,Quinton Waitzner,C,SC,17.17,48,1,0,0,1,1,0.01,0.0,0.0,0.01,0.01
689,Mark Liwiski,C,EVT,16.104,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
690,Tyler Lowe,D,PA,16.98,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
691,Nick McCarry,C,MH,16.236,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
692,Jaxon Steele,C,MH,17.148,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
693,Drae Gardiner,D,MJ,16.6,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
694,Kelvin Hair,D,KEL,17.331,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
695,Kyle Crosbie,C,KEL,16.573,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
696,Aidan De La Gorgendiere,D,SAS,15.562,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
697,Nick Cicek,D,POR,17.298,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
698,Christian Reimer,D,SC,17.627,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
699,Logan Doust,C,SAS,16.386,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
700,Tyrel Bauer,D,SEA,15.483,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
701,Neithan Salame,D,BDN,16.704,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
702,Parker Hendren,D,VAN,16.482,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
