,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
500,Tommy Lemay,LW,SHA/VDO,19.467,47,6,2,4,8,12,43,13.95,0.13,0.04,0.09,0.17,0.26,0.91,5.87,0.12,533.64,11.35,0.67,0.22,0.45,0.9,1.35,4.83,0.66,16.09,17.06,47.37,49.56,4.26,55.26,21,17,2,10,20.0,1,7,14.29,3,26,11.54,6,11,54.55
501,William Rouleau,C,ROU,17.182,52,4,6,2,10,12,42,28.75,0.155,0.06,0.02,0.22,0.24,0.665,1.69,0.065,265.135,10.11,0.935,0.365,0.12,1.3,1.425,3.95,0.38,16.2,16.875,57.835,50.645,-3.65,57.76,20,11,2,4,66.665,1,8,6.25,1,30,1.725,66,147,42.63
502,Kynan Berger,LW,BAT,17.545,55,5,5,2,10,12,55,9.09,0.09,0.09,0.04,0.18,0.22,1.0,4.54,0.08,572.85,10.42,0.52,0.52,0.21,1.05,1.26,5.76,0.48,17.52,16.93,49.86,50.31,-12.28,40.48,17,25,1,5,20.0,2,11,18.18,2,39,5.13,93,217,42.86
503,Joakim Paradis,D,GAT/BAT/CHI/BAC/VDO,18.139,66,4,3,5,7,12,43,7.5,0.043,0.083,0.04,0.127,0.163,0.713,0.453,0.017,292.313,12.187,0.193,0.433,0.16,0.627,0.79,3.597,0.08,16.407,17.303,46.26,44.92,17.567,60.443,28,32,0,1,0.0,1,1,33.333,3,41,6.547,1,2,16.667
504,Charles Taillon,LW,SHA/MON,17.859,53,8,3,1,11,12,62,12.9,0.15,0.06,0.02,0.21,0.23,1.17,8.97,0.17,660.56,12.46,0.73,0.27,0.09,1.0,1.09,5.63,0.81,16.36,17.63,36.37,53.18,-4.03,33.85,22,43,7,15,46.67,0,10,0.0,1,37,2.7,21,54,38.89
505,Dillon Boucher,LW,CHA/CAP,19.417,56,4,3,5,7,12,53,7.55,0.07,0.05,0.09,0.12,0.21,0.95,5.57,0.1,642.42,11.47,0.37,0.28,0.47,0.65,1.12,4.95,0.52,17.01,17.35,50.25,50.13,-28.35,33.93,19,37,3,10,30.0,0,6,0.0,1,37,2.7,20,48,41.67
506,Charles-Olivier Ouimet,LW,GAT/DRU,18.651,52,5,3,4,8,12,106,4.72,0.1,0.06,0.08,0.15,0.23,2.04,10.35,0.2,684.79,13.17,0.44,0.26,0.35,0.7,1.05,9.29,0.91,17.79,17.83,43.69,53.76,0.54,41.82,23,32,1,12,8.33,2,22,9.09,2,72,2.78,165,325,50.77
507,Maxim Baillargeon,D,CAP/MON,19.45,65,1,6,5,7,12,52,1.92,0.02,0.09,0.08,0.11,0.18,0.8,1.91,0.03,1152.75,17.73,0.05,0.31,0.26,0.36,0.62,2.71,0.1,16.35,17.67,43.47,55.06,-14.31,28.47,39,98,0,1,0.0,1,3,33.33,0,48,0.0,0,0,0.0
508,Simon Dubois-Tiberghen,D,SHA,18.0,80,3,8,1,11,12,53,5.0,0.03,0.095,0.01,0.125,0.135,0.69,0.77,0.02,648.195,16.39,0.11,0.345,0.035,0.455,0.495,2.52,0.07,16.65,17.385,37.615,52.885,-6.105,33.115,46,87,0,0,0.0,0,0,0.0,3,53,5.0,0,0,0.0
509,Ryan MacLellan,D,CAP/ROU,17.616,76,2,7,3,9,12,42,3.03,0.017,0.07,0.023,0.087,0.11,0.677,0.47,0.023,340.007,13.753,0.08,0.3,0.12,0.38,0.503,2.95,0.11,16.493,17.28,59.427,52.33,5.847,57.153,40,32,0,0,0.0,0,2,0.0,2,40,3.333,0,0,0.0
