,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
170,Shane Bulitka,LW,SBY,35.376999999999995,127,15,24,15,39,54,142,21.17,0.22999999999999998,0.38,0.23,0.61,0.84,2.2,16.72,0.26,3,22,39.58,5,34,30.310000000000002,7,86,13.98,790,1535,100.85
171,Mathieu Henderson,D,FLNT,20.69,68,10,22,22,32,54,141,7.09,0.15,0.32,0.32,0.47,0.79,2.07,9.61,0.14,0,1,0.0,2,13,15.38,8,127,6.3,3,5,60.0
172,Patrick Fellows,LW,ER,39.494,116,20,22,12,42,54,168,25.0,0.35,0.34,0.2,0.69,0.89,2.82,21.060000000000002,0.35,7,38,35.900000000000006,5,31,54.35,8,99,15.079999999999998,71,209,67.35
173,Owen Headrick,D,ER,39.126999999999995,90,17,17,20,34,54,200,19.31,0.35,0.29,0.39,0.64,1.03,3.93,13.68,0.25,1,6,100.0,0,11,0.0,16,183,17.54,1,2,50.0
174,Cole Candella,D,HAM/SBY,38.175,133,8,22,23,30,53,244,6.46,0.12000000000000001,0.32999999999999996,0.35,0.45000000000000007,0.8,3.67,13.61,0.2,1,4,25.0,2,14,20.0,5,226,4.4799999999999995,1,3,100.0
175,Spencer Watson,RW,MISS,20.392,41,28,13,12,41,53,169,16.57,0.68,0.32,0.29,1.0,1.29,4.12,25.05,0.61,8,26,30.77,8,35,22.86,12,108,11.11,12,31,38.71
176,Mitchell Vande Sompel,D,LDN/OSH,19.592,67,20,13,20,33,53,165,12.12,0.3,0.19,0.3,0.49,0.79,2.46,14.18,0.21,3,6,50.0,3,9,33.33,14,150,9.33,1,6,16.67
177,Jacob Moverare,D,MISS,37.085,95,5,20,28,25,53,161,7.43,0.12,0.44,0.6,0.56,1.17,3.3899999999999997,9.75,0.21000000000000002,0,6,0.0,0,9,0.0,5,146,8.08,6,7,100.0
178,Mitchell Stephens,C,LDN/SAG,19.609,51,22,18,13,40,53,174,12.64,0.43,0.35,0.25,0.78,1.04,3.41,22.56,0.44,4,23,17.39,8,25,32.0,10,126,7.94,428,799,53.57
179,Matt Hotchkiss,LW,GUE/GUE/KGN,38.212999999999994,132,28,12,13,40,53,254,22.36,0.43,0.18,0.19,0.6100000000000001,0.8,3.87,29.91,0.45999999999999996,8,33,48.89,7,47,29.71,13,174,15.3,93,183,100.37
