,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
446,Spencer Stastney,LD,USA,17.198,57,2,6,12,8,20,41,5.025,0.035,0.115,0.245,0.155,0.4,0.725
447,Sean Harrison,RW,BLM,20.299,57,7,6,6,13,19,102,6.86,0.12,0.11,0.11,0.23,0.33,1.79
448,Marko Reifenberger,C/F,BLM/SF/CIL/SF,18.656,128,5,8,6,13,19,144,3.37,0.033,0.05,0.04,0.083,0.123,1.127
449,Wojciech Stachowiak,F,CIL,18.193,38,9,7,3,16,19,79,11.39,0.24,0.18,0.08,0.42,0.5,2.08
450,Ross Mitton,RW,FGO/LIN/FGO,17.696,71,8,5,6,13,19,81,9.43,0.105,0.07,0.095,0.175,0.275,1.095
451,Brendan Budy,F,TC,18.276,19,6,5,8,11,19,44,13.64,0.32,0.26,0.42,0.58,1.0,2.32
452,August Von Ungern-Sternberg,F,BLM,19.22,49,11,8,0,19,19,81,13.58,0.22,0.16,0.0,0.39,0.39,1.65
453,Logan WIll,F,OMA,17.754,48,8,8,3,16,19,58,17.23,0.18,0.14,0.04,0.32,0.36,1.095
454,Joey Cassetti,F,USA/WAT,18.047,58,9,10,0,19,19,77,9.52,0.125,0.115,0.0,0.24,0.24,1.365
455,Jack O'Leary,RW,CR,18.467,35,6,5,8,11,19,44,13.64,0.17,0.14,0.23,0.31,0.54,1.26
456,Igor Larionov,F,MUS,20.061,22,7,10,2,17,19,48,14.58,0.32,0.45,0.09,0.77,0.86,2.18
457,Matt Jones,C,DM,20.488,31,6,7,6,13,19,57,10.53,0.19,0.23,0.19,0.42,0.61,1.84
458,Joseph Campolieto,LD,TC,18.382,49,5,7,7,12,19,91,5.49,0.1,0.14,0.14,0.24,0.39,1.86
459,Cole Quisenberry,F,CHI,19.486,43,9,7,3,16,19,56,16.07,0.21,0.16,0.07,0.37,0.44,1.3
460,Ben Mirageas,LD,CHI/BLM,17.358,59,2,6,11,8,19,110,1.82,0.03,0.1,0.19,0.14,0.32,1.86
461,Josh Lopina,C,LIN,17.577,45,10,6,3,16,19,70,14.29,0.22,0.13,0.07,0.36,0.42,1.56
462,Jace Foskey,RD/D/RD,TC/MAD,17.29,115,3,6,10,9,19,117,2.63,0.02,0.047,0.087,0.067,0.157,1.073
463,Bray Crowder,RD,MUS,18.829,55,5,7,7,12,19,128,3.91,0.09,0.13,0.13,0.22,0.35,2.33
464,Nate Knoepke,LD,USA/SC,17.94,63,1,9,9,10,19,58,5.555,0.02,0.14,0.125,0.16,0.285,0.825
465,Kaden Bohlsen,F/C,DM/DM/FGO,17.179,66,11,3,5,14,19,87,11.22,0.15,0.04,0.065,0.19,0.255,1.26
466,Xander Lamppa,F,WAT,18.377,41,5,8,6,13,19,55,9.09,0.12,0.2,0.15,0.32,0.46,1.34
467,Derek Hamelin,LD,OMA,20.15,64,4,7,8,11,19,142,1.45,0.035,0.06,0.07,0.095,0.165,1.525
468,Logan Jenuwine,LW,WAT/FGO/LIN,18.839,74,6,11,2,17,19,102,4.35,0.06,0.13,0.03,0.195,0.225,1.365
469,Tyler Jubenvill,LD,CR,17.794,58,5,7,7,12,19,70,7.14,0.09,0.12,0.12,0.21,0.33,1.21
470,Jake Pivonka,C,USA,17.048,59,10,2,7,12,19,118,8.6,0.175,0.035,0.115,0.21,0.32,2.01
471,Benjamin Foley,LD,CR,19.792,59,2,9,8,11,19,78,2.56,0.03,0.15,0.14,0.19,0.32,1.32
472,Austin Heidemann,F,GB,19.22,41,12,2,5,14,19,89,13.48,0.29,0.05,0.12,0.34,0.46,2.17
473,Ryan Drkulec,F,WAT,17.98,43,8,6,4,14,18,62,12.9,0.19,0.14,0.09,0.33,0.42,1.44
474,Michael Graham,RW,FGO/MUS,19.306,35,10,2,6,12,18,73,7.81,0.16,0.03,0.095,0.195,0.29,2.155
475,Sam Hentges,LW,TC/DM,18.141,23,8,7,3,15,18,48,16.67,0.35,0.3,0.13,0.65,0.78,2.09
476,Jake Gingell,LD,YNG,20.092,107,4,8,6,12,18,82,4.77,0.04,0.075,0.055,0.115,0.17,0.77
477,Brendan Walkom,LW,MAD,19.631,53,4,13,1,17,18,68,5.88,0.08,0.25,0.02,0.32,0.34,1.28
478,Carson Dimoff,LW,SF,18.349,52,8,6,4,14,18,85,9.41,0.15,0.12,0.08,0.27,0.35,1.63
479,Nicholas Zabaneh,F,GB,17.471,39,10,5,3,15,18,73,13.7,0.26,0.13,0.08,0.38,0.46,1.87
480,Jason Dhooghe,F,GB,19.505,60,9,5,4,14,18,108,8.33,0.15,0.08,0.07,0.23,0.3,1.8
481,Michael Callahan,D,BLM/YNG/CIL,17.48,61,3,7,8,10,18,105,1.455,0.025,0.06,0.07,0.085,0.155,1.375
482,Christian Sarlo,F,CHI,17.213,31,10,3,5,13,18,48,20.83,0.32,0.1,0.16,0.42,0.58,1.55
483,Christian Evers,D,LIN,19.31,60,8,7,3,15,18,103,7.77,0.13,0.12,0.05,0.25,0.3,1.72
484,Matthew Barnaby,F,YNG/CHI,20.373,39,6,7,5,13,18,41,14.63,0.15,0.18,0.13,0.33,0.46,1.05
485,Justin Lee,D,LIN/FGO,18.506,43,4,5,9,9,18,95,4.21,0.09,0.12,0.21,0.21,0.42,2.21
486,Sam Renlund,LW,MUS/DM,17.949,43,9,5,4,14,18,67,7.5,0.12,0.065,0.055,0.185,0.235,1.49
487,Hunter Skinner,RD/D,MUS/MUS/LIN,16.88,68,4,8,6,12,18,59,3.92,0.055,0.11,0.08,0.16,0.245,0.82
488,Ryan Verrier,LD,GB,18.823,56,4,7,7,11,18,59,6.78,0.07,0.12,0.12,0.2,0.32,1.05
489,JC MacLean,C,SC,19.549,47,8,6,3,14,17,61,13.11,0.17,0.13,0.06,0.3,0.36,1.3
490,Josh Bohlin,C,CR/LIN/SC,18.096,84,3,9,5,12,17,101,3.455,0.035,0.1,0.055,0.135,0.19,1.12
491,Jason Smallidge,D,BLM/YNG/CIL,18.824,102,2,6,9,8,17,91,2.26,0.02,0.06,0.08,0.08,0.16,0.885
492,Dalton Hunter,LW,YNG/DBQ/YNG,19.47,54,10,1,6,11,17,93,29.945,0.335,0.01,0.3,0.345,0.645,1.375
493,Alexander Yakovenko,D,MUS,19.562,31,3,10,4,13,17,62,4.84,0.1,0.32,0.13,0.42,0.55,2.0
494,Mason Klee,RD,LIN,18.45,99,3,4,10,7,17,89,3.34,0.03,0.045,0.1,0.075,0.175,0.93
495,Alex Barber,C,YNG/CIL,18.577,55,7,4,6,11,17,59,11.86,0.13,0.07,0.11,0.2,0.31,1.07
496,Zach Dubinsky,LW,LIN,18.006,59,4,6,7,10,17,85,5.685,0.115,0.13,0.14,0.24,0.38,1.835
497,David Farrance,RD,USA,17.232,25,1,7,9,8,17,47,2.13,0.04,0.28,0.36,0.32,0.68,1.88
498,Nash Nienhuis,LD/D,MUS,18.28,97,2,4,11,6,17,84,1.885,0.025,0.04,0.125,0.065,0.19,0.945
499,Case McCarthy,RD,USA,16.538,38,4,8,5,12,17,48,8.35,0.105,0.215,0.13,0.325,0.455,1.305
500,Lukas Kalble,LD,FGO,18.924,38,4,8,5,12,17,75,5.33,0.11,0.21,0.13,0.32,0.45,1.97
501,Jack Babbage,D,SC,17.543,95,2,8,7,10,17,106,1.94,0.02,0.09,0.08,0.105,0.185,1.155
502,Alex Gaffney,F,MUS,16.225,40,12,3,2,15,17,50,24.0,0.3,0.07,0.05,0.38,0.42,1.25
503,Yuki Miura,C,WAT,20.159,53,7,6,4,13,17,60,11.67,0.13,0.11,0.08,0.25,0.32,1.13
504,Jacob Tortora,LW,USA,17.145,17,9,4,4,13,17,48,18.75,0.53,0.24,0.24,0.76,1.0,2.82
505,Aidan Fulp,RD/D/RD,DBQ/USA/DBQ/DBQ,17.545,76,3,8,5,11,16,61,3.233,0.03,0.083,0.06,0.113,0.173,0.603
506,Ian Malcolmson,RW,SC,19.628,42,7,7,2,14,16,67,10.45,0.17,0.17,0.05,0.33,0.38,1.6
507,Justin Cole,C,CR,20.376,43,8,6,2,14,16,79,10.13,0.19,0.14,0.05,0.33,0.37,1.84
508,Jack Summers,LD,TC,17.83,84,2,8,6,10,16,86,2.97,0.03,0.08,0.085,0.11,0.19,0.985
509,Adam Samuelsson,LD,USA/SC,17.235,49,2,5,9,7,16,29,4.167,0.027,0.07,0.14,0.097,0.237,0.533
510,Alex Mella,F/LW,CR/MAD,19.066,45,7,4,5,11,16,79,4.665,0.085,0.2,0.215,0.285,0.5,1.56
511,Mitchell Chaffee,RW,FGO/BLM,18.637,49,8,5,3,13,16,114,7.02,0.16,0.1,0.06,0.27,0.33,2.33
512,Liam Robertson,F,YNG,18.339,42,7,6,3,13,16,51,13.73,0.17,0.14,0.07,0.31,0.38,1.21
513,Logan Britt,D,LIN,19.595,44,4,7,5,11,16,55,7.27,0.09,0.16,0.11,0.25,0.36,1.25
514,Connor Marshall,F,OMA,18.596,46,8,5,3,13,16,43,18.6,0.17,0.11,0.07,0.28,0.35,0.93
515,Riese Zmolek,LD,CR,20.009,45,4,9,3,13,16,72,5.56,0.09,0.2,0.07,0.29,0.36,1.6
516,Joey Abate,C,OMA/YNG,18.971,51,6,6,4,12,16,79,7.59,0.12,0.12,0.08,0.24,0.31,1.55
517,Oliver MacDonald,F,MUS,17.354,37,5,5,6,10,16,55,4.715,0.07,0.07,0.085,0.14,0.22,1.735
518,Santeri Virtanen,C,DBQ,18.349,29,8,6,2,14,16,78,10.26,0.28,0.21,0.07,0.48,0.55,2.69
519,Dominic Dockery,LD,YNG,19.702,60,3,6,7,9,16,86,3.49,0.05,0.1,0.12,0.15,0.27,1.43
520,Luke Jaycox,D,LIN,19.075,59,1,8,7,9,16,72,1.39,0.02,0.14,0.12,0.15,0.27,1.22
521,Taylor Brierley,LD,DBQ,20.126,56,4,5,7,9,16,55,7.27,0.07,0.09,0.12,0.16,0.29,0.98
522,Drew Elser,LW,BLM/CIL,17.198,39,8,4,4,12,16,55,7.405,0.11,0.055,0.055,0.165,0.22,0.915
523,Derek Contessa,RW,DBQ,19.538,44,8,6,1,14,15,89,8.99,0.18,0.14,0.02,0.32,0.34,2.02
524,Carver Watson,LD,GB,19.538,53,3,8,4,11,15,55,5.45,0.06,0.15,0.08,0.21,0.28,1.04
525,Andrew Petrillo,RD,YNG/YNG/CIL,19.014,82,3,6,6,9,15,80,4.875,0.04,0.065,0.065,0.1,0.165,0.87
526,James McIsaac,F,MUS,19.382,39,7,7,1,14,15,52,13.46,0.18,0.18,0.03,0.36,0.38,1.33
527,Colton Kalezic,C,TC,19.154,35,10,4,1,14,15,34,29.41,0.29,0.11,0.03,0.4,0.43,0.97
528,Alex Green,D,LIN,18.245,43,1,6,8,7,15,54,1.85,0.02,0.14,0.19,0.16,0.35,1.26
529,Owen Power,D,CHI,15.814,39,7,2,6,9,15,48,14.58,0.18,0.05,0.15,0.23,0.38,1.23
530,Erlends Klavins,C,OMA,19.101,50,4,6,5,10,15,66,3.125,0.04,0.06,0.05,0.105,0.155,1.165
531,Michael Colella,F,TC/LIN/OMA,19.261,38,6,7,2,13,15,56,10.71,0.16,0.18,0.05,0.34,0.39,1.47
532,Bobby Kaiser,RW,MUS,19.854,87,8,5,2,13,15,122,4.04,0.065,0.04,0.015,0.11,0.125,1.25
533,Marcel Godbout,F,MAD/SC,20.282,33,9,3,3,12,15,83,10.84,0.27,0.09,0.09,0.36,0.45,2.52
534,Tony Malinowski,LD,TC/DM/DM,18.42,82,2,9,4,11,15,49,4.085,0.025,0.105,0.05,0.13,0.185,0.605
535,Chaz Smedsrud,LW,MAD,20.282,43,7,3,5,10,15,76,9.21,0.16,0.07,0.12,0.23,0.35,1.77
536,Lucas Breault,C,SF/CIL,18.325,59,6,4,5,10,15,60,10.0,0.1,0.07,0.08,0.17,0.25,1.02
537,Ben Schoen,F,YNG,16.329,37,2,5,8,7,15,35,5.71,0.05,0.14,0.22,0.19,0.41,0.95
538,Matyas Svoboda,F,SC/GB,19.202,44,6,4,5,10,15,63,6.385,0.105,0.07,0.115,0.17,0.29,1.345
539,Albin Nilsson,C,SC,19.992,42,5,6,4,11,15,59,8.47,0.12,0.14,0.1,0.26,0.36,1.4
540,Tony Stillwell,LD,GB/SC,19.412,50,2,7,6,9,15,42,4.76,0.04,0.14,0.12,0.18,0.3,0.84
541,Dylan Woolf,RD,LIN,20.37,58,5,4,6,9,15,86,5.81,0.09,0.07,0.1,0.16,0.26,1.48
542,Jack DeBoer,C,USA,16.58,59,6,6,3,12,15,45,14.5,0.115,0.105,0.06,0.22,0.28,0.77
543,Ryan Johnson,D,SF,17.145,35,5,7,3,12,15,41,12.2,0.14,0.2,0.09,0.34,0.43,1.17
544,Thomas Bordeleau,F,USA,17.539,21,9,3,3,12,15,60,15.0,0.43,0.14,0.14,0.57,0.71,2.86
545,Ian Murphy,RW,TC,19.445,45,5,7,2,12,14,62,8.06,0.11,0.16,0.04,0.27,0.31,1.38
546,Benji Eckerle,LW,TC,18.976,40,5,8,1,13,14,58,8.62,0.12,0.2,0.03,0.33,0.35,1.45
547,Hunter Lellig,RD,WAT,18.102,60,5,3,6,8,14,74,8.63,0.11,0.09,0.115,0.2,0.32,1.26
548,Max Gildon,LD,USA,17.334,26,5,7,2,12,14,45,11.11,0.19,0.27,0.08,0.46,0.54,1.73
549,Connor Caponi,F,USA/WAT,17.99,43,9,0,5,9,14,67,56.06,0.35,0.0,0.3,0.35,0.645,1.055
550,Matthew Barbolini,C,LIN,18.289,39,5,8,1,13,14,51,9.8,0.13,0.21,0.03,0.33,0.36,1.31
551,Brandon Tabakin,LD,SF,17.82,85,2,7,5,9,14,82,2.51,0.02,0.08,0.055,0.11,0.165,0.965
552,Scott Reedy,C,USA,17.451,21,10,1,3,11,14,39,25.64,0.48,0.05,0.14,0.52,0.67,1.86
553,Randy Hernandez,RW,USA/SC/LIN,18.675,92,3,8,3,11,14,65,2.44,0.023,0.087,0.023,0.11,0.133,0.61
554,Jackson Keane,C,SC,19.439,40,4,5,5,9,14,50,8.0,0.1,0.12,0.12,0.23,0.35,1.25
555,Brandon Estes,RD,YNG,19.587,60,1,7,6,8,14,55,1.82,0.02,0.12,0.1,0.13,0.23,0.92
556,Joey Matthews,LD,TC/SC,19.228,54,3,5,6,8,14,77,3.9,0.06,0.09,0.11,0.15,0.26,1.43
557,Justin Wells,LD,SF,18.128,58,2,6,6,8,14,72,2.78,0.03,0.1,0.1,0.14,0.24,1.24
