,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
1184,Gabe Vilardi,F,ONT,19.083,4,0,1,0,1,1,6,0.0,0.0,0.25,0.0,0.25,0.25,1.5
1185,Scott Moldenhauer,D,SD,24.354,7,0,1,0,1,1,1,0.0,0.0,0.14,0.0,0.14,0.14,0.14
1186,Ryan Culkin,D,LAV,24.751,5,1,0,0,1,1,9,11.11,0.2,0.0,0.0,0.2,0.2,1.8
1187,Giorgio Estephan,RW,TOR,21.613,3,0,1,0,1,1,3,0.0,0.0,0.33,0.0,0.33,0.33,1.0
1188,Tobias Geisser,D,HER,19.59,31,0,1,0,1,1,14,0.0,0.0,0.03,0.0,0.03,0.03,0.45
1189,Maxime Comtois,LW,SD,19.686,4,1,0,0,1,1,3,33.33,0.25,0.0,0.0,0.25,0.25,0.75
1190,Kevin Klima,C,TUC,21.279,4,0,1,0,1,1,2,0.0,0.0,0.25,0.0,0.25,0.25,0.5
1191,Conor Riley,F,BNG,25.936,2,1,0,0,1,1,3,33.33,0.5,0.0,0.0,0.5,0.5,1.5
1192,Jared VanWormer,RW,MIL,26.021,4,0,1,0,1,1,2,0.0,0.0,0.25,0.0,0.25,0.25,0.5
1193,Brandon Davidson,D,RFD,27.07,5,1,0,0,1,1,9,11.11,0.2,0.0,0.0,0.2,0.2,1.8
1194,J.J. Piccinich,RW,TOR,22.259,6,0,1,0,1,1,4,0.0,0.0,0.17,0.0,0.17,0.17,0.67
1195,Dennis Everberg,RW,MB,26.708,11,0,0,1,0,1,11,0.0,0.0,0.0,0.09,0.0,0.09,1.0
1196,Justin Wade,D,CLE,24.425,8,0,0,1,0,1,4,0.0,0.0,0.0,0.12,0.0,0.12,0.5
1197,Logan Pyett,D,HER,30.306,10,0,0,1,0,1,7,0.0,0.0,0.0,0.1,0.0,0.1,0.7
1198,Gustav Olofsson,D,LAV,23.79,2,0,0,1,0,1,1,0.0,0.0,0.0,0.5,0.0,0.5,0.5
1199,Kevin Schulze,D,WBS,24.381,12,0,0,1,0,1,9,0.0,0.0,0.0,0.08,0.0,0.08,0.75
1200,Johnny Austin,D,LAV,22.152,9,0,0,1,0,1,14,0.0,0.0,0.0,0.11,0.0,0.11,1.56
1201,Ty Ronning,RW,HFD,20.404,11,1,0,0,1,1,23,4.165,0.06,0.0,0.0,0.06,0.06,2.585
1202,Kelly Zajac,C,HER,29.276,2,0,1,0,1,1,4,0.0,0.0,0.5,0.0,0.5,0.5,2.0
1203,Brian Ferlin,RW,BAK,25.285,7,1,0,0,1,1,8,12.5,0.14,0.0,0.0,0.14,0.14,1.14
1204,Steve McParland,RW/LW,TEX/SD,27.088,6,1,0,0,1,1,5,12.5,0.1,0.0,0.0,0.1,0.1,0.9
1205,Judd Peterson,C/RW,RCH/ROC,24.468,4,1,0,0,1,1,6,50.0,0.25,0.0,0.0,0.25,0.25,1.5
1206,Evan Jasper,LW,HFD,25.63,3,0,0,1,0,1,2,0.0,0.0,0.0,0.33,0.0,0.33,0.67
1207,Cory Ward,C,ONT/SPR,24.397,23,1,0,0,1,1,23,4.35,0.04,0.0,0.0,0.04,0.04,1.0
1208,Joey Leach,D,HFD/HER,26.13,22,0,1,0,1,1,21,0.0,0.0,0.03,0.0,0.03,0.03,0.97
1209,Adam Plant,D,LAV,22.854,21,0,0,1,0,1,32,0.0,0.0,0.0,0.035,0.0,0.035,1.86
1210,Ryan Penny,F,BNG,23.018,11,0,1,0,1,1,18,0.0,0.0,0.09,0.0,0.09,0.09,1.64
1211,Justin Woods,D,MB,24.09,7,0,1,0,1,1,3,0.0,0.0,0.085,0.0,0.085,0.085,0.25
1212,Steve Johnson,D,ONT/HER,23.72,13,0,0,1,0,1,14,0.0,0.0,0.0,0.055,0.0,0.055,0.985
1213,Dylan Olsen,D,BNG,26.7,7,0,0,1,0,1,8,0.0,0.0,0.0,0.14,0.0,0.14,1.14
1214,Kris Bindulis,D,HER,22.495,16,0,1,0,1,1,14,0.0,0.0,0.04,0.0,0.04,0.04,0.75
1215,Dylan Sadowy,RW/LW,GR,21.954,26,1,0,0,1,1,37,2.78,0.04,0.0,0.0,0.04,0.04,1.42
1216,Joe Faust,D,UTI,25.835,2,0,0,1,0,1,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
1217,Paul Geiger,D,HER,25.134,5,0,0,1,0,1,7,0.0,0.0,0.0,0.2,0.0,0.2,1.4
1218,Yan-Pavel Laplante,LW,UTI,22.399,5,0,0,1,0,1,4,0.0,0.0,0.0,0.2,0.0,0.2,0.8
1219,Dylan Zink,D,WBS,24.937,7,0,0,1,0,1,3,0.0,0.0,0.0,0.14,0.0,0.14,0.43
1220,Brock Trotter,C,CHI,30.665,4,0,0,1,0,1,1,0.0,0.0,0.0,0.25,0.0,0.25,0.25
1221,Jan Drozg,RW,WBS,18.459,1,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1222,Jimmy Lodge,RW,MB,22.533,6,0,1,0,1,1,2,0.0,0.0,0.17,0.0,0.17,0.17,0.33
1223,Trevor Yates,C,GR,23.03,4,0,0,1,0,1,5,0.0,0.0,0.0,0.25,0.0,0.25,1.25
1224,Nicolas Hague,D,CHI,18.779,5,0,0,1,0,1,2,0.0,0.0,0.0,0.2,0.0,0.2,0.4
1225,Drew Melanson,LW,HFD,23.18,10,0,0,1,0,1,7,0.0,0.0,0.0,0.1,0.0,0.1,0.7
