"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Jake Bean","D","TC/CGY","19.269","57","12","18","18","30","48","0.21","0.32","0.32","0.53","0.84"
"","Turner Ottenbreit","D","SEA","20.187","64","9","21","17","30","47","0.14","0.33","0.27","0.47","0.73"
"","Conner Bruggen-Cate","LW","KEL","18.007","70","18","12","15","30","45","0.26","0.17","0.21","0.43","0.64"
"","Juuso Valimaki","LD","TC","18.944","43","14","16","15","30","45","0.33","0.37","0.35","0.7","1.05"
"","Artyom Minulin","D","SC","18.957","64","13","17","13","30","43","0.2","0.27","0.2","0.47","0.67"
"","Luka Burzan","C","BDN/MJ","17.69","72","15","15","10","30","40","0.21","0.21","0.14","0.42","0.56"
"","Jake McGrew","RW","SPO","18.555","65","19","11","8","30","38","0.29","0.17","0.12","0.46","0.58"
"","Beck Malenstyn","LW","SC/CGY","19.612","42","17","13","2","30","32","0.4","0.31","0.05","0.71","0.76"
"","Taylor Ross","LW","LET/SPO","19.568","64","21","8","13","29","42","0.33","0.12","0.2","0.45","0.66"
"","Eli Zummack","C","SPO","17.484","58","15","14","12","29","41","0.26","0.24","0.21","0.5","0.71"
"","Jackson Leppard","LW","PG","17.66","68","15","14","7","29","36","0.22","0.21","0.1","0.43","0.53"
"","Conner McDonald","D","EDM","18.295","71","10","18","14","28","42","0.14","0.25","0.2","0.39","0.59"
"","Alex Overhardt","C","POR","20.666","70","15","13","12","28","40","0.21","0.19","0.17","0.4","0.57"
"","Brayden Watts","LW","VAN","18.566","70","17","11","11","28","39","0.24","0.16","0.16","0.4","0.56"
"","Aaron Boyd","LW","PG","20.313","67","14","14","10","28","38","0.21","0.21","0.15","0.42","0.57"
"","Zach Fischer","RW","MH/SPO","20.159","46","22","6","8","28","36","0.48","0.13","0.17","0.61","0.78"
"","Dawson Davidson","D","REG/SAS","19.442","69","10","17","16","27","43","0.14","0.25","0.23","0.39","0.62"
"","Joel Lakusta","D","PG","19.228","70","9","18","15","27","42","0.13","0.26","0.21","0.39","0.6"
"","Zane Franklin","C","LET","18.694","67","14","13","11","27","38","0.21","0.19","0.16","0.4","0.57"
"","Kaden Elder","C","SC","19.502","67","18","9","5","27","32","0.27","0.13","0.07","0.4","0.48"
"","Vojtech Budik","D","PA","19.628","63","14","12","15","26","41","0.22","0.19","0.24","0.41","0.65"
"","Vladislav Yeryomenko","D","CGY","18.399","63","13","13","15","26","41","0.21","0.21","0.24","0.41","0.65"
"","Nolan Foote","LW","KEL","16.794","50","13","13","14","26","40","0.26","0.26","0.28","0.52","0.8"
"","Brodi Stuart","LW","KAM","17.517","70","16","10","12","26","38","0.23","0.14","0.17","0.37","0.54"
"","Josh Curtis","RW","PG","18.976","72","9","17","10","26","36","0.12","0.24","0.14","0.36","0.5"
"","Cole Reinhardt","LW","BDN","17.621","68","19","7","8","26","34","0.28","0.1","0.12","0.38","0.5"
"","Jaeger White","C","MH","19.453","68","10","16","8","26","34","0.15","0.24","0.12","0.38","0.5"
"","Bradly Goethals","C","SAS","19.247","69","15","11","6","26","32","0.22","0.16","0.09","0.38","0.46"
"","Conner Chaulk","C","SC/CGY","20.323","56","16","10","5","26","31","0.29","0.18","0.09","0.46","0.55"
"","Libor Hajek","D","REG/SAS","19.612","58","12","13","14","25","39","0.21","0.22","0.24","0.43","0.67"
"","Vince Loschiavo","C","MJ/KTN","19.488","68","19","6","11","25","36","0.28","0.09","0.16","0.37","0.53"
"","Brett Kemp","C","EDM","17.482","69","17","8","11","25","36","0.25","0.12","0.16","0.36","0.52"
"","Tyler Preziuso","RW","MH","18.656","66","17","8","8","25","33","0.26","0.12","0.12","0.38","0.5"
"","Baron Thompson","RW","BDN","18.571","60","13","12","1","25","26","0.22","0.2","0.02","0.42","0.43"
"","Jake Elmer","RW","LET","18.708","70","18","6","13","24","37","0.26","0.09","0.19","0.34","0.53"
"","Dawson Holt","C","VAN","18.579","65","12","12","10","24","34","0.18","0.18","0.15","0.37","0.52"
"","Brett Leason","RW","TC/PA","18.38","66","16","8","9","24","33","0.24","0.12","0.14","0.36","0.5"
"","Lane Zablocki","RW","LET/VIC/RD","18.719","65","12","12","7","24","31","0.18","0.18","0.11","0.37","0.48"
"","Sean Montgomery","C","PA","19.527","72","12","12","5","24","29","0.17","0.17","0.07","0.33","0.4"
"","Jarret Tyszka","D","SEA","18.506","70","8","15","17","23","40","0.11","0.21","0.24","0.33","0.57"
"","Dillon Hamaliuk","LW","SEA","16.876","72","15","8","16","23","39","0.21","0.11","0.22","0.32","0.54"
"","Nolan Kneen","D","KAM","18.486","68","7","16","14","23","37","0.1","0.24","0.21","0.34","0.54"
"","Alexander Alexeyev","D","RD","17.835","45","7","16","14","23","37","0.16","0.36","0.31","0.51","0.82"
"","Nolan Reid","D","SPO","19.48","72","14","9","13","23","36","0.19","0.12","0.18","0.32","0.5"
"","Nick Henry","RW","REG","18.202","53","14","9","6","23","29","0.26","0.17","0.11","0.43","0.55"
"","Dylan Plouffe","D","VAN","18.388","60","9","13","18","22","40","0.15","0.22","0.3","0.37","0.67"
"","Keoni Texeira","D","POR","20.48","64","9","13","11","22","33","0.14","0.2","0.17","0.34","0.52"
"","Vladislav Mikhalchuk","RW","PG","17.917","60","14","8","11","22","33","0.23","0.13","0.18","0.37","0.55"
"","Carson Focht","C","TC/CGY","17.613","69","13","9","11","22","33","0.19","0.13","0.16","0.32","0.48"
"","Max Martin","D","PA","18.144","72","8","14","10","22","32","0.11","0.19","0.14","0.31","0.44"
"","Robbie Holmes","LW","REG","18.152","68","16","6","7","22","29","0.24","0.09","0.1","0.32","0.43"
"","Josh Tarzwell","C","LET/RD","17.602","69","10","12","5","22","27","0.14","0.17","0.07","0.32","0.39"
"","Jared Dmytriw","RW","VAN/RD","19.278","71","15","7","4","22","26","0.21","0.1","0.06","0.31","0.37"
"","Chaz Reddekopp","D","VIC","20.704","46","7","14","10","21","31","0.15","0.3","0.22","0.46","0.67"
"","Ilijah Colina","C","POR/PG","17.575","66","11","10","10","21","31","0.17","0.15","0.15","0.32","0.47"
"","Ondrej Vala","D","KAM/EVT","19.425","59","7","14","7","21","28","0.12","0.24","0.12","0.36","0.47"
"","Liam Kindree","RW","KEL","17.703","50","8","13","6","21","27","0.16","0.26","0.12","0.42","0.54"
"","Orrin Centazzo","LW","KAM/EVT","17.413","72","11","10","5","21","26","0.15","0.14","0.07","0.29","0.36"
"","Riley Sawchuk","C","TC","18.497","70","15","6","3","21","24","0.21","0.09","0.04","0.3","0.34"
"","Filip Kral","D","SPO","17.906","54","9","11","15","20","35","0.17","0.2","0.28","0.37","0.65"
"","Jack Cowell","LW","KEL","18.374","71","10","10","14","20","34","0.14","0.14","0.2","0.28","0.48"
"","Jared Freadrich","D","VIC","19.535","71","12","8","12","20","32","0.17","0.11","0.17","0.28","0.45"
"","Jadon Joseph","C","LET","18.319","53","9","11","12","20","32","0.17","0.21","0.23","0.38","0.6"
"","Brendan Semchuk","RW","VAN/EDM","18.566","49","12","8","6","20","26","0.24","0.16","0.12","0.41","0.53"
"","Hayden Ostir","RW","MH/SPO","18.196","41","9","11","6","20","26","0.22","0.27","0.15","0.49","0.63"
"","Sasha Mutala","RW","TC","16.362","68","11","9","6","20","26","0.16","0.13","0.09","0.29","0.38"
"","David Kope","RW","EDM","16.931","63","14","6","5","20","25","0.22","0.1","0.08","0.32","0.4"
