"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Liam Peyton","LW","CHA","18.462","48","8","0","3","8","11","67","11.94","0.17","0.0","0.06","0.17","0.23","1.4","7.62","0.16","490.77","10.22","0.98","0.0","0.37","0.98","1.34","8.19","0.93","13.74","14.03","54.08","49.91","-4.89","50.0","19","19","6","22","27.27","2","14","14.29","0","31","0.0","1","4","25.0"
"","Emile Lauzon","C","VDO","17.35","50","2","6","3","8","11","58","3.45","0.04","0.12","0.06","0.16","0.22","1.16","4.34","0.09","567.92","11.36","0.21","0.63","0.32","0.85","1.16","6.13","0.46","14.26","13.68","35.29","51.36","-13.55","25.0","13","39","1","5","20.0","0","11","0.0","1","42","2.38","263","531","49.53"
"","Aiden MacIntosh","C","SNB","17.446","40","5","3","2","8","10","20","25.0","0.12","0.07","0.05","0.2","0.25","0.5","1.56","0.04","391.83","9.8","0.77","0.46","0.31","1.23","1.53","3.06","0.24","13.64","13.84","32.52","51.5","-6.28","30.95","13","29","3","5","60.0","1","3","33.33","1","12","8.33","54","121","44.63"
"","Nathan Ouellet","RW","RIM","18.308","53","5","3","2","8","10","46","10.87","0.09","0.06","0.04","0.15","0.19","0.87","3.36","0.06","465.13","8.78","0.64","0.39","0.26","1.03","1.29","5.93","0.43","13.45","13.33","61.83","49.11","-4.75","60.71","17","11","2","15","13.33","1","5","20.0","2","26","7.69","2","4","50.0"
"","Marc-Antoine Brouillette","RW","BAC/VIC","18.788","32","6","2","2","8","10","39","15.38","0.19","0.06","0.06","0.25","0.31","1.22","3.69","0.12","333.89","10.43","1.08","0.36","0.36","1.44","1.8","7.01","0.66","14.17","13.58","49.95","40.49","-1.95","59.26","16","11","1","3","33.33","4","8","50.0","1","28","3.57","2","6","33.33"
"","Mathieu Sevigny","LW","VIC","20.512","18","2","6","2","8","10","31","6.45","0.11","0.33","0.11","0.44","0.56","1.72","2.66","0.15","295.21","16.4","0.41","1.22","0.41","1.63","2.03","6.3","0.54","14.1","14.07","46.64","46.46","-6.59","55.17","16","13","1","6","16.67","0","5","0.0","1","20","5.0","112","200","56.0"
"","Felix Pare","RW","VIC","18.467","53","5","3","1","8","9","52","9.62","0.09","0.06","0.02","0.15","0.17","0.98","1.71","0.03","584.49","11.03","0.51","0.31","0.1","0.82","0.92","5.34","0.18","13.98","13.87","44.43","52.48","-16.8","32.61","15","31","1","2","50.0","0","2","0.0","4","48","8.33","2","15","13.33"
"","James White","LW","SNB","17.972","47","6","2","0","8","8","67","8.96","0.13","0.04","0.0","0.17","0.17","1.43","6.8","0.14","530.43","11.29","0.68","0.23","0.0","0.9","0.9","7.58","0.77","13.68","14.04","32.57","54.57","1.19","33.9","20","39","3","14","21.43","2","14","14.29","1","39","2.56","4","7","57.14"
"","Liam Leonard","C","BAT","18.467","53","5","2","6","7","13","66","7.58","0.09","0.04","0.11","0.13","0.25","1.25","4.23","0.08","652.87","12.32","0.46","0.18","0.55","0.64","1.19","6.07","0.39","14.05","14.1","33.83","53.13","6.32","33.33","23","46","1","4","25.0","4","16","25.0","0","46","0.0","12","31","38.71"
"","Jeremie Jacob","C","SNB","17.38","49","5","2","5","7","12","45","11.11","0.1","0.04","0.1","0.14","0.24","0.92","3.58","0.07","513.96","10.49","0.58","0.23","0.58","0.82","1.4","5.25","0.42","13.95","13.87","34.2","51.59","2.23","35.71","20","36","1","10","10.0","0","3","0.0","4","32","12.5","76","178","42.7"
