,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
129,Patrik Hrehorcak,RW/LW,ROU,9.498,114,31,16,8,47,55,263,5.877,0.14,0.073,0.035,0.21,0.245,1.17,6.965,0.122,338.742,5.958,0.7,0.355,0.17,1.057,1.228,5.87,0.615,6.842,6.765,31.075,24.65,0.345,32.222,73,41,10,37,12.422,7,50,7.0,14,176,3.965,16,47,16.285
130,Brad Chenier,LW,NB,38.306,117,32,14,9,46,55,243,26.35,0.5599999999999999,0.24,0.16999999999999998,0.8,0.97,4.3,24.6,0.43000000000000005,1589.15,27.369999999999997,2.45,1.05,0.7,3.5,4.2,18.61,1.8800000000000001,29.310000000000002,28.060000000000002,94.91999999999999,100.86000000000001,11.91,101.05000000000001,86,84,10,29,70.83,9,41,44.29,13,173,14.83,17,41,81.12
131,Joseph Veleno,C,DRU,18.673,47,24,16,15,40,55,139,17.27,0.51,0.34,0.32,0.85,1.17,2.96,12.13,0.26,726.5,15.46,1.98,1.32,1.24,3.3,4.54,11.48,1.0,14.55,14.01,64.87,46.91,7.31,72.53,66,25,8,29,27.59,6,24,25.0,10,86,11.63,309,609,50.74
132,Ryan Roth,RW,SSM,35.311,123,27,15,12,42,54,165,33.59,0.45,0.25,0.19,0.7,0.89,2.68,17.34,0.28,1459.8400000000001,23.83,2.25,1.25,0.98,3.5,4.48,13.52,1.43,29.810000000000002,28.42,119.66,100.31,11.719999999999999,127.09,99,57,9,34,52.94,4,30,27.78,14,101,29.75,10,21,86.66
133,Ryan Cranford,RW,KGN,39.872,122,25,15,14,40,54,309,16.16,0.41000000000000003,0.26,0.22999999999999998,0.6599999999999999,0.8899999999999999,5.07,25.57,0.42000000000000004,1777.22,29.45,1.6800000000000002,1.02,0.94,2.7,3.6500000000000004,20.82,1.72,28.58,28.17,83.53999999999999,102.86,4.199999999999999,83.83000000000001,74,104,9,23,83.33,3,45,14.0,13,241,10.66,13,34,87.56
134,Jan Drozg,LW,SHA,9.479,109,17,23,14,40,54,180,4.725,0.08,0.108,0.065,0.185,0.25,0.84,4.762,0.088,361.84,6.73,0.353,0.478,0.29,0.83,1.118,3.73,0.392,6.71,6.82,18.515,26.17,3.558,20.975,70,99,6,18,17.532,5,35,7.5,6,127,2.37,59,147,21.605
135,Connor McMichael,C,HAM/LDN/LDN,34.331,114,28,24,2,52,54,209,25.509999999999998,0.5,0.43000000000000005,0.04,0.9299999999999999,0.97,3.71,23.86,0.42000000000000004,1406.1399999999999,24.85,2.3200000000000003,1.98,0.16,4.29,4.45,17.65,2.02,27.87,27.61,113.0,95.41999999999999,-6.3,106.3,83,66,14,38,67.31,5,47,21.369999999999997,9,124,14.17,340,675,97.86
136,Ivan Kosorenkov,RW,VIC,19.647000000000002,63,22,17,15,39,54,127,17.32,0.35,0.27,0.24,0.62,0.86,2.02,16.49,0.26,850.3,13.5,1.55,1.2,1.06,2.75,3.81,8.96,1.16,14.68,13.63,59.79,50.41,19.42,70.53,67,28,6,18,33.33,1,18,5.56,15,91,16.48,2,4,50.0
137,Domenico Commisso,C,OSH/GUE/OSH,40.141,111,23,17,14,40,54,197,22.11,0.39,0.29000000000000004,0.24,0.69,0.9199999999999999,3.56,23.310000000000002,0.41000000000000003,1400.8899999999999,25.1,1.83,1.3900000000000001,1.15,3.22,4.37,17.060000000000002,1.98,28.54,28.06,104.44,99.49000000000001,-16.89,91.43,72,84,8,33,46.66,8,35,44.0,7,129,10.57,704,1246,113.19999999999999
138,Pavel Koltygin,LW,DRU,9.538,115,25,18,11,43,54,169,7.26,0.108,0.08,0.045,0.185,0.23,0.735,4.422,0.075,326.562,5.688,0.562,0.412,0.245,0.978,1.222,3.882,0.397,6.788,6.685,31.095,23.68,0.263,31.655,87,50,3,22,6.623,11,32,16.343,11,115,4.775,289,551,26.432
