"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Joakim Paradis","D","GAT/BAT","17.139","18","1","0","0","1","1","8","12.5","0.06","0.0","0.0","0.06","0.06","0.44","0.3","0.02","203.89","11.33","0.29","0.0","0.0","0.29","0.29","2.35","0.09","16.45","17.29","48.04","53.26","-16.67","33.33","3","6","0","0","0.0","0","0","0.0","1","8","12.5","0","0","0.0"
"","Felix Pare","RW","VIC","16.469","7","1","0","0","1","1","5","20.0","0.14","0.0","0.0","0.14","0.14","0.71","0.59","0.08","78.32","11.19","0.77","0.0","0.0","0.77","0.77","3.83","0.45","16.05","15.91","45.26","44.1","8.97","50.0","3","3","0","0","0.0","0","1","0.0","1","4","25.0","0","1","0.0"
"","Silas Mattawashish","LW","VDO","18.443","33","0","1","0","1","1","9","0.0","0.0","0.03","0.0","0.03","0.03","0.27","0.69","0.02","324.64","9.84","0.0","0.18","0.0","0.18","0.18","1.66","0.13","15.73","16.61","41.87","51.48","-28.5","19.05","4","17","0","1","0.0","0","0","0.0","0","8","0.0","15","36","41.67"
"","Brendan Bornstein","D","MON","18.15","2","0","1","0","1","1","1","0.0","0.0","0.5","0.0","0.5","0.5","0.5","0.02","0.01","30.45","15.22","0.0","1.97","0.0","1.97","1.97","1.97","0.04","14.31","16.28","33.54","55.14","-12.82","33.33","1","2","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Jean-Simon Dionne","LW","DRU","19.319","18","1","0","0","1","1","34","2.94","0.06","0.0","0.0","0.06","0.06","1.89","2.65","0.15","213.22","11.85","0.28","0.0","0.0","0.28","0.28","9.57","0.75","16.06","16.37","45.7","46.75","-16.67","33.33","6","12","0","5","0.0","0","1","0.0","1","28","3.57","11","28","39.29"
"","Christopher Lanouette","D","VIC","19.414","16","0","1","0","1","1","4","0.0","0.0","0.06","0.0","0.06","0.06","0.25","0.29","0.02","191.72","11.98","0.0","0.31","0.0","0.31","0.31","1.25","0.09","16.2","17.46","47.28","49.56","12.8","54.55","6","5","0","1","0.0","0","0","0.0","0","3","0.0","0","0","0.0"
"","Alexis Arsenault","D","ROU","16.332","4","0","1","0","1","1","1","0.0","0.0","0.25","0.0","0.25","0.25","0.25","0.04","0.01","63.78","15.94","0.0","0.94","0.0","0.94","0.94","0.94","0.04","15.37","16.26","53.82","43.24","10.0","60.0","3","2","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Jacob Neveu","D","ROU","18.675","21","0","1","0","1","1","15","0.0","0.0","0.05","0.0","0.05","0.05","0.71","0.53","0.03","355.34","16.92","0.0","0.17","0.0","0.17","0.17","2.53","0.09","17.7","17.1","59.16","51.26","-23.99","43.75","14","18","0","0","0.0","0","1","0.0","0","14","0.0","0","0","0.0"
"","Zach Grzelewski","LW","SNB","19.384","12","0","1","0","1","1","21","0.0","0.0","0.08","0.0","0.08","0.08","1.75","3.41","0.28","130.47","10.87","0.0","0.46","0.0","0.46","0.46","9.66","1.57","17.25","17.63","56.42","53.44","16.74","71.43","5","2","0","8","0.0","0","1","0.0","0","12","0.0","1","3","33.33"
"","Ryan Mooney","D","MON","18.366","16","0","1","0","1","1","13","0.0","0.0","0.06","0.0","0.06","0.06","0.81","0.64","0.04","226.35","14.15","0.0","0.27","0.0","0.27","0.27","3.45","0.17","15.79","17.32","38.31","52.63","-17.78","22.22","4","14","0","1","0.0","0","0","0.0","0","12","0.0","0","0","0.0"
