"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Jasper Rannisto","D","BLB","17.796","38","1","4","4","5","9","33","3.03","0.03","0.11","0.11","0.13","0.24","0.87","0.97","0.03","699.84","18.42","0.09","0.34","0.34","0.43","0.77","2.83","0.08","16.78","17.67","44.33","54.36","-6.78","37.66","29","48","1","2","50.0","0","0","0.0","0","31","0.0","0","0","0.0"
"","Jocktan Chainey","D","HAL","19.02","27","1","4","4","5","9","42","2.38","0.04","0.15","0.15","0.19","0.33","1.56","1.92","0.07","490.06","18.15","0.12","0.49","0.49","0.61","1.1","5.14","0.23","17.61","17.82","65.59","51.98","-9.65","54.35","25","21","0","0","0.0","1","3","33.33","0","39","0.0","0","0","0.0"
"","Blake Richardson","C","BLB","17.139","19","1","4","4","5","9","24","4.17","0.05","0.21","0.21","0.26","0.47","1.26","2.15","0.11","277.87","14.62","0.22","0.86","0.86","1.08","1.94","5.18","0.46","16.17","17.47","42.44","53.06","7.33","42.11","16","22","0","6","0.0","1","3","33.33","0","15","0.0","72","150","48.0"
"","Sacha Roy","D","BAC","19.447","51","2","3","3","5","8","38","5.26","0.04","0.06","0.06","0.1","0.16","0.75","1.02","0.02","712.23","13.97","0.17","0.25","0.25","0.42","0.67","3.2","0.09","17.51","17.32","60.18","50.74","0.52","60.38","32","21","0","0","0.0","0","4","0.0","2","34","5.88","0","1","0.0"
"","Gabriel Belley-Pelletier","D","SHA","17.295","36","3","2","3","5","8","35","8.57","0.08","0.06","0.08","0.14","0.22","0.97","0.77","0.02","656.23","18.23","0.27","0.18","0.27","0.46","0.73","3.2","0.07","16.6","17.29","38.03","53.9","8.36","36.36","28","49","0","0","0.0","0","1","0.0","3","34","8.82","0","0","0.0"
"","Edouard Ouellet","RW","VIC","18.67","38","2","3","2","5","7","52","3.85","0.05","0.08","0.05","0.13","0.18","1.37","3.18","0.08","512.27","13.48","0.23","0.35","0.23","0.59","0.82","6.09","0.37","17.19","17.51","42.26","57.95","-21.81","24.39","10","31","2","6","33.33","0","8","0.0","0","38","0.0","8","31","25.81"
"","Cole Fraser","LW","BLB","17.64","43","3","2","2","5","7","35","8.57","0.07","0.05","0.05","0.12","0.16","0.81","2.84","0.07","470.61","10.94","0.38","0.25","0.25","0.64","0.89","4.46","0.36","16.56","17.7","41.75","56.19","-10.96","28.57","10","25","1","5","20.0","0","4","0.0","2","26","7.69","3","8","37.5"
"","Brendan St-Louis","D","BAC","18.021","28","3","2","2","5","7","12","25.0","0.11","0.07","0.07","0.18","0.25","0.43","0.67","0.02","354.19","12.65","0.51","0.34","0.34","0.85","1.19","2.03","0.11","18.01","16.77","63.82","45.19","1.31","66.67","16","8","0","1","0.0","1","2","50.0","2","9","22.22","0","0","0.0"
"","Jacob Stewart","C","MON","17.339","43","5","0","1","5","6","30","16.67","0.12","0.0","0.02","0.12","0.14","0.7","3.61","0.08","426.56","9.92","0.7","0.0","0.14","0.7","0.84","4.22","0.51","16.56","16.39","45.36","50.67","-12.43","40.0","10","15","3","12","25.0","1","9","11.11","1","9","11.11","150","309","48.54"
"","Michael Pellerin","D","CHI","17.254","37","4","1","1","5","6","46","8.7","0.11","0.03","0.03","0.14","0.16","1.24","1.11","0.03","614.0","16.59","0.39","0.1","0.1","0.49","0.59","4.5","0.11","16.91","16.73","50.18","50.38","-18.59","34.04","16","31","0","0","0.0","1","1","100.0","3","45","6.67","0","0","0.0"
"","Liam Kidney","LW","CAP","17.161","22","2","3","1","5","6","22","9.09","0.09","0.14","0.05","0.23","0.27","1.0","1.61","0.07","239.68","10.89","0.5","0.75","0.25","1.25","1.5","5.51","0.4","16.91","16.68","54.33","36.76","-7.53","52.94","9","8","0","5","0.0","1","2","50.0","1","15","6.67","4","9","44.44"
"","Ludovic Soucy","C","RIM","17.482","35","2","3","1","5","6","17","11.76","0.06","0.09","0.03","0.14","0.17","0.49","1.33","0.04","346.81","9.91","0.35","0.52","0.17","0.87","1.04","2.94","0.23","15.85","17.09","55.99","48.96","-15.28","52.38","11","10","1","2","50.0","0","3","0.0","1","12","8.33","117","239","48.95"
"","Marshall Lessard","RW","VDO","15.987","17","4","1","1","5","6","31","12.9","0.24","0.06","0.06","0.29","0.35","1.82","1.58","0.09","223.09","13.12","1.08","0.27","0.27","1.34","1.61","8.34","0.42","18.39","17.46","38.14","50.73","1.46","40.0","8","12","2","4","50.0","1","5","20.0","1","22","4.55","2","5","40.0"
"","Alexandre David","C","BAT","16.657","35","2","3","0","5","5","14","14.29","0.06","0.09","0.0","0.14","0.14","0.4","0.9","0.03","391.8","11.19","0.31","0.46","0.0","0.77","0.77","2.14","0.14","16.64","17.59","32.5","54.98","-5.96","24.24","8","25","1","3","33.33","0","1","0.0","1","10","10.0","58","161","36.02"
"","Jacob Neveu","D","ROU","20.674","55","1","3","11","4","15","62","1.61","0.02","0.05","0.2","0.07","0.27","1.13","1.92","0.03","1042.26","18.95","0.06","0.17","0.63","0.23","0.86","3.57","0.11","17.28","17.69","68.35","49.09","-14.24","59.26","64","44","0","3","0.0","1","4","25.0","0","55","0.0","0","0","0.0"
"","Jeremy Jacques","D","SHE","17.561","42","0","4","7","4","11","36","0.0","0.0","0.1","0.17","0.1","0.26","0.86","1.12","0.03","720.61","17.16","0.0","0.33","0.58","0.33","0.92","3.0","0.09","16.75","17.62","52.83","51.86","-2.85","48.72","38","40","0","0","0.0","0","1","0.0","0","35","0.0","0","0","0.0"
"","Oliver Turan","D","BAT/DRU","17.462","49","2","2","5","4","9","36","5.56","0.04","0.04","0.1","0.08","0.18","0.73","1.51","0.03","699.31","14.27","0.17","0.17","0.43","0.34","0.77","3.09","0.13","16.1","17.39","54.4","48.61","-7.94","46.67","28","32","0","0","0.0","2","4","50.0","0","32","0.0","0","0","0.0"
"","Enrico Di Cesare","C","VIC","17.714","33","1","3","5","4","9","27","3.7","0.03","0.09","0.15","0.12","0.27","0.82","1.98","0.06","421.8","12.78","0.14","0.43","0.71","0.57","1.28","3.84","0.28","17.41","17.54","41.73","52.66","8.97","50.0","18","18","0","2","0.0","1","4","25.0","0","21","0.0","78","228","34.21"
